Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,0.0,65.15,62.2,64.6,64.6,9324860
2019-09-12T00:00,64.45,65.2,63.0,63.8,63.8,11940537
2019-09-11T00:00,60.6,64.5,60.55,63.75,63.75,15589815
2019-09-09T00:00,58.45,60.7,58.3,60.15,60.15,7763407
2019-09-06T00:00,57.6,59.3,57.45,58.35,58.35,8465988
2019-09-05T00:00,56.85,57.65,56.5,57.15,57.15,5652967
2019-09-04T00:00,57.4,57.75,55.7,56.65,56.65,8412811
2019-09-03T00:00,57.65,58.85,57.15,57.4,57.4,7461344
2019-08-30T00:00,57.6,59.25,57.2,58.4,58.4,7908205
2019-08-29T00:00,59.0,59.65,56.1,57.35,57.35,7711499
2019-08-28T00:00,59.75,60.2,58.0,59.25,59.25,7236667
2019-08-27T00:00,59.1,60.8,58.85,59.95,59.95,8855769
2019-08-26T00:00,59.25,60.1,56.55,59.15,59.15,11589064
2019-08-23T00:00,57.0,59.2,55.15,58.6,58.6,8517451
2019-08-22T00:00,58.2,59.35,56.4,56.9,56.9,8491499
2019-08-21T00:00,58.25,58.9,57.55,58.25,58.25,5810634
2019-08-20T00:00,60.25,60.25,57.65,59.05,59.05,8870270
2019-08-19T00:00,58.8,61.1,58.65,60.3,60.3,7194834
2019-08-16T00:00,58.6,59.6,58.15,59.35,59.35,5694242
2019-08-14T00:00,59.0,59.45,57.6,59.2,59.2,8253507
2019-08-13T00:00,60.5,61.3,58.15,58.5,58.5,7997922
2019-08-09T00:00,60.5,61.75,59.6,60.55,60.55,9456081
2019-08-08T00:00,60.0,60.95,56.55,60.0,60.0,15486113
2019-08-07T00:00,59.7,62.0,58.4,59.4,59.4,13479811
2019-08-06T00:00,57.8,60.2,57.8,59.55,59.55,9394907
2019-08-05T00:00,60.85,60.85,56.9,58.3,58.3,18586749
2019-08-02T00:00,59.35,63.5,58.35,61.45,61.45,18806303
2019-08-01T00:00,61.0,61.1,58.1,59.4,59.4,11153236
2019-07-31T00:00,60.6,62.1,59.7,61.0,61.0,10839824
2019-07-30T00:00,61.7,62.25,60.2,60.65,60.65,8157234
2019-07-29T00:00,62.85,63.1,60.4,61.6,61.6,10450560
