Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,196.0,202.15,193.9,201.0,201.0,2242516
2019-09-12T00:00,197.5,200.2,195.1,195.75,195.75,2256605
2019-09-11T00:00,195.75,198.35,195.75,197.35,197.35,1746891
2019-09-09T00:00,195.0,197.8,193.65,195.5,195.5,1534947
2019-09-06T00:00,193.6,196.7,193.3,194.7,194.7,1565369
2019-09-05T00:00,192.55,193.8,190.4,193.2,193.2,2928347
2019-09-04T00:00,193.0,193.0,188.45,190.9,190.9,5847593
2019-09-03T00:00,200.0,200.65,192.3,193.35,193.35,5785632
2019-08-30T00:00,201.0,202.95,199.15,202.35,202.35,3324682
2019-08-29T00:00,203.55,205.15,199.4,200.05,200.05,3138802
2019-08-28T00:00,205.0,207.5,202.75,205.0,205.0,1674581
2019-08-27T00:00,203.5,207.7,202.85,205.1,205.1,2434000
2019-08-26T00:00,202.4,203.35,194.6,202.65,202.65,3332737
2019-08-23T00:00,196.6,199.7,196.05,197.3,197.3,5629349
2019-08-22T00:00,200.8,200.9,196.5,197.55,197.55,2970844
2019-08-21T00:00,206.0,206.75,200.5,201.1,201.1,2235406
2019-08-20T00:00,212.1,212.5,205.15,205.85,205.85,1823430
2019-08-19T00:00,214.4,216.6,211.3,212.0,212.0,1881382
2019-08-16T00:00,213.9,214.95,209.65,213.9,213.9,2152191
2019-08-14T00:00,208.45,215.2,208.45,214.0,214.0,3676384
2019-08-13T00:00,212.95,213.75,207.2,208.4,208.4,5125593
2019-08-09T00:00,208.0,214.9,208.0,212.95,212.95,5559737
2019-08-08T00:00,204.9,211.45,203.85,206.3,206.3,5105516
2019-08-07T00:00,202.3,206.25,201.45,204.9,204.9,6120163
2019-08-06T00:00,195.3,203.3,195.3,201.85,201.85,4770543
2019-08-05T00:00,197.6,199.5,194.85,197.25,197.25,2295191
2019-08-02T00:00,194.7,202.15,194.25,199.5,199.5,3109814
2019-08-01T00:00,201.7,201.95,194.1,196.8,196.8,4009344
2019-07-31T00:00,201.6,202.95,197.8,201.9,201.9,4384931
2019-07-30T00:00,205.9,208.0,201.1,202.1,202.1,2875238
2019-07-29T00:00,213.5,213.9,204.1,205.15,205.15,3642296
2019-07-26T00:00,215.3,215.6,209.1,213.45,213.45,4479103
2019-07-25T00:00,216.1,220.0,211.0,214.05,214.05,4148175
2019-07-24T00:00,217.5,218.95,213.45,215.7,215.7,1690968
2019-07-23T00:00,216.2,219.15,215.15,217.65,217.65,3846881
2019-07-22T00:00,213.5,216.7,210.55,215.8,215.8,2095341
2019-07-19T00:00,222.0,223.8,212.05,214.0,214.0,7523729
2019-07-18T00:00,219.0,221.2,215.1,216.95,216.95,3614814
2019-07-17T00:00,220.0,221.7,216.8,219.25,219.25,2325693
2019-07-16T00:00,219.75,220.75,216.55,219.9,219.9,3230318
2019-07-15T00:00,215.0,219.9,211.2,219.6,219.6,2672310
2019-07-12T00:00,213.3,216.25,212.5,214.2,214.2,2316539
2019-07-11T00:00,209.65,212.8,209.55,211.7,211.7,874940
2019-07-10T00:00,211.8,211.95,207.9,208.85,208.85,1424627
2019-07-09T00:00,205.75,211.9,203.75,211.1,211.1,2289398
2019-07-08T00:00,209.85,209.85,203.8,205.4,205.4,2756090
2019-07-05T00:00,217.3,218.95,209.4,210.2,210.2,2278543
2019-07-04T00:00,215.4,217.5,214.5,216.1,216.1,2031484
2019-07-03T00:00,215.0,215.75,213.1,214.95,214.95,1379872
2019-07-02T00:00,213.8,215.0,213.35,214.95,214.95,1735201
2019-07-01T00:00,214.45,216.0,211.5,212.95,212.95,2294542
2019-06-28T00:00,219.5,219.5,212.05,212.85,212.85,1995352
2019-06-27T00:00,218.5,219.9,216.6,218.45,218.45,2614407
2019-06-26T00:00,215.0,219.9,214.5,219.35,219.35,2806007
2019-06-25T00:00,214.35,216.0,211.3,215.15,215.15,2274581
2019-06-24T00:00,213.1,216.9,212.5,215.0,215.0,2639044
2019-06-21T00:00,213.7,215.2,211.9,212.85,212.85,4181731
2019-06-20T00:00,207.2,214.3,204.8,213.7,213.7,1857056
2019-06-19T00:00,211.25,212.45,205.3,206.45,206.45,3145947
2019-06-18T00:00,205.7,210.9,205.7,210.0,210.0,1935444
2019-06-17T00:00,215.4,215.4,204.8,205.6,205.6,3979462
2019-06-14T00:00,220.0,220.8,213.25,214.2,214.2,1998514
2019-06-13T00:00,220.95,222.0,216.15,220.45,220.45,1941299
2019-06-12T00:00,219.55,222.8,219.55,220.55,220.55,1890005
2019-06-11T00:00,224.0,224.9,221.55,223.25,223.25,1805276
2019-06-10T00:00,222.45,225.0,221.75,223.1,223.1,2438810
2019-06-07T00:00,222.5,226.95,220.9,222.25,222.25,2565750
2019-06-06T00:00,228.75,228.75,220.0,221.75,221.75,4193682
2019-06-04T00:00,235.25,237.85,226.3,226.95,226.95,3043423
2019-06-03T00:00,232.9,237.8,229.4,237.15,237.15,2560455
2019-05-31T00:00,234.95,235.0,228.0,230.6,230.6,2038520
2019-05-30T00:00,233.9,235.25,232.1,233.0,233.0,2792300
2019-05-29T00:00,238.2,238.4,233.15,233.85,233.85,1736796
2019-05-28T00:00,238.0,240.25,235.7,238.4,238.4,5089113
2019-05-27T00:00,233.0,239.9,231.15,239.15,239.15,2276077
2019-05-24T00:00,223.2,232.8,222.55,231.65,231.65,5347116
2019-05-23T00:00,224.35,230.8,221.6,222.55,222.55,5029385
2019-05-22T00:00,220.5,223.1,218.7,220.55,220.55,1891609
2019-05-21T00:00,225.1,227.05,219.15,220.45,220.45,3868084
2019-05-20T00:00,224.0,228.85,220.0,224.2,224.2,6025899
2019-05-17T00:00,214.45,220.0,213.2,219.0,219.0,3107238
2019-05-16T00:00,208.6,216.95,208.2,215.25,215.25,2642018
2019-05-15T00:00,213.15,213.95,208.75,209.75,209.75,3417094
2019-05-14T00:00,209.9,214.95,208.05,213.1,213.1,1809112
2019-05-13T00:00,214.1,215.7,208.95,210.0,210.0,1616073
2019-05-10T00:00,213.95,215.9,213.1,214.75,214.75,1105200
2019-05-09T00:00,212.5,214.75,210.55,213.95,213.95,1599486
2019-05-08T00:00,218.25,219.1,212.4,213.35,213.35,3350658
2019-05-07T00:00,221.25,222.45,217.5,218.2,218.2,1610402
2019-05-06T00:00,220.25,221.25,218.05,219.7,219.7,1376657
2019-05-03T00:00,221.5,223.3,220.15,221.7,221.7,1515314
2019-05-02T00:00,219.5,225.95,218.05,221.05,221.05,5897979
2019-04-30T00:00,227.0,227.7,217.6,220.5,220.5,9288005
2019-04-26T00:00,223.0,226.55,221.75,226.0,226.0,2114460
2019-04-25T00:00,222.35,229.85,219.5,220.55,220.55,7167694
2019-04-24T00:00,223.0,226.35,216.05,224.1,224.1,6235599
2019-04-23T00:00,226.45,228.85,225.6,226.8,226.8,965185
2019-04-22T00:00,231.5,232.1,225.1,226.1,226.1,1348195
2019-04-18T00:00,232.0,235.25,230.0,233.4,233.4,2742711
2019-04-16T00:00,228.4,233.0,227.65,232.0,232.0,4568324
