Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,52.25,54.4,51.15,53.6,53.6,4381317
2019-09-12T00:00,52.2,53.45,51.0,52.25,52.25,4567719
2019-09-11T00:00,51.0,53.6,50.75,51.9,51.9,3130697
2019-09-09T00:00,50.8,51.5,50.05,50.8,50.8,2654252
2019-09-06T00:00,49.75,51.0,48.2,50.6,50.6,3997457
2019-09-05T00:00,46.35,50.75,46.35,49.45,49.45,9051961
2019-09-04T00:00,46.7,47.8,45.5,46.6,46.6,5515888
2019-09-03T00:00,48.0,48.65,46.35,46.75,46.75,4233962
2019-08-30T00:00,48.0,49.6,47.5,48.45,48.45,8679889
2019-08-29T00:00,46.15,48.8,45.7,48.35,48.35,5211016
2019-08-28T00:00,48.4,48.95,45.8,46.55,46.55,5865763
2019-08-27T00:00,50.0,50.0,47.6,48.55,48.55,6926349
2019-08-26T00:00,48.15,49.45,46.4,48.8,48.8,4825321
2019-08-23T00:00,45.5,48.2,44.55,47.85,47.85,7182405
2019-08-22T00:00,48.35,48.45,45.25,45.75,45.75,6327541
2019-08-21T00:00,49.9,50.1,47.3,48.35,48.35,8059920
2019-08-20T00:00,50.45,50.8,48.45,50.3,50.3,5576916
2019-08-19T00:00,50.95,52.25,49.55,50.25,50.25,6928772
2019-08-16T00:00,50.9,51.35,49.25,50.9,50.9,3197667
2019-08-14T00:00,50.55,52.15,49.7,51.3,51.3,3737559
2019-08-13T00:00,54.85,55.4,49.5,50.55,50.55,7318677
2019-08-09T00:00,54.55,56.2,53.2,54.15,54.15,5816380
2019-08-08T00:00,55.5,56.9,52.5,54.8,54.8,7734302
2019-08-07T00:00,53.8,60.9,53.4,56.15,56.15,16441920
2019-08-06T00:00,55.65,55.9,52.45,53.8,53.8,8781823
2019-08-05T00:00,56.0,56.65,53.3,55.85,55.85,5189912
2019-08-02T00:00,55.45,57.3,53.8,56.2,56.2,3148877
2019-08-01T00:00,54.85,57.0,54.3,56.5,56.5,4784779
2019-07-31T00:00,54.0,55.95,52.6,54.95,54.95,3738607
2019-07-30T00:00,53.9,56.35,53.25,54.1,54.1,10280946
2019-07-29T00:00,59.45,59.6,52.25,53.7,53.7,9860610
2019-07-26T00:00,58.75,61.75,58.1,60.9,58.9,7245762
2019-07-25T00:00,58.6,60.25,57.75,58.5,56.5788,5754687
2019-07-24T00:00,60.0,60.5,56.7,58.3,56.3854,5193665
2019-07-23T00:00,59.3,61.6,58.75,60.15,58.1746,4469296
2019-07-22T00:00,57.65,60.25,55.65,59.3,57.3525,6411959
2019-07-19T00:00,59.75,60.85,56.15,57.4,55.5149,5848454
