Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,62.5,64.2,62.35,63.45,63.45,41339414
2019-09-12T00:00,63.55,64.7,62.1,62.5,62.5,32625992
2019-09-11T00:00,62.0,64.7,60.2,63.7,63.7,62192949
2019-09-09T00:00,62.6,63.35,62.0,62.9,62.9,29769848
2019-09-06T00:00,62.5,64.4,62.25,63.9,63.9,32439839
2019-09-05T00:00,62.6,63.5,62.3,63.05,63.05,32336123
2019-09-04T00:00,64.65,64.9,61.15,62.6,62.6,43789525
2019-09-03T00:00,63.5,66.7,61.8,65.35,65.35,47837128
2019-08-30T00:00,65.65,65.9,63.05,64.45,64.45,25897781
2019-08-29T00:00,65.9,66.3,64.35,65.75,65.75,20369412
2019-08-28T00:00,67.0,67.55,65.65,66.75,66.75,31618285
2019-08-27T00:00,63.45,68.05,63.3,66.65,66.65,61055999
2019-08-26T00:00,65.0,66.25,59.6,63.15,63.15,85564840
2019-08-23T00:00,57.25,60.7,56.95,60.25,60.25,37001588
2019-08-22T00:00,62.3,62.5,57.4,57.9,57.9,33586076
2019-08-21T00:00,64.0,64.05,61.25,61.9,61.9,26647994
2019-08-20T00:00,64.5,64.6,63.0,63.85,63.85,17439363
2019-08-19T00:00,63.75,65.25,63.4,64.5,64.5,24171538
2019-08-16T00:00,61.8,64.45,61.35,63.65,63.65,30292259
2019-08-14T00:00,62.0,63.6,60.3,62.55,62.55,30875450
2019-08-13T00:00,64.5,64.65,61.3,61.55,61.55,22999939
2019-08-09T00:00,64.15,65.85,63.15,64.3,64.3,46588899
2019-08-08T00:00,61.65,63.95,60.8,63.55,63.55,32732676
2019-08-07T00:00,63.5,64.5,60.7,61.15,61.15,32589803
2019-08-06T00:00,63.4,65.1,62.7,63.45,63.45,37426726
2019-08-05T00:00,63.9,64.3,61.65,63.95,63.95,38872870
2019-08-02T00:00,68.7,68.8,60.85,64.4,64.4,140584299
2019-08-01T00:00,69.9,73.15,67.15,68.85,68.85,58774538
2019-07-31T00:00,67.95,70.85,67.55,69.85,69.85,30181821
2019-07-30T00:00,71.5,72.45,68.0,68.55,68.55,28661597
2019-07-29T00:00,74.1,74.15,70.7,71.65,71.65,21564172
2019-07-26T00:00,72.5,74.9,72.35,74.2,74.2,20215434
2019-07-25T00:00,72.55,73.2,71.55,72.3,72.3,17574892
2019-07-24T00:00,74.85,75.3,71.9,72.55,72.55,29917145
2019-07-23T00:00,77.8,77.8,74.6,75.0,71.9,33574191
2019-07-22T00:00,79.85,80.5,78.15,79.35,73.0983,19431095
2019-07-19T00:00,82.0,82.45,79.0,79.35,73.0983,22863618
2019-07-18T00:00,85.45,85.45,81.05,81.45,75.0329,24405105
2019-07-17T00:00,85.5,86.65,85.0,85.45,78.7177,11901649
2019-07-16T00:00,82.45,86.65,82.2,86.35,79.5468,28109904
2019-07-15T00:00,85.4,86.15,84.8,85.45,78.7177,11215658
2019-07-12T00:00,84.6,85.65,83.7,84.9,78.2111,17694386
2019-07-11T00:00,85.95,85.95,83.25,85.15,78.4414,21121339
2019-07-10T00:00,84.0,85.65,83.55,84.8,78.1189,14004112
2019-07-09T00:00,85.1,86.2,82.85,83.8,77.1977,17891519
2019-07-08T00:00,86.0,86.2,83.7,84.8,78.1189,15584784
2019-07-05T00:00,90.05,90.45,86.5,87.05,80.1917,14998747
2019-07-04T00:00,90.1,90.55,88.9,89.95,82.8632,12528964
2019-07-03T00:00,88.0,91.0,87.9,90.3,83.1856,24266937
2019-07-02T00:00,87.05,88.1,86.1,87.85,80.9287,12608552
2019-07-01T00:00,87.85,88.5,86.5,87.1,80.2377,14004525
2019-06-28T00:00,88.65,88.65,86.25,87.25,80.3759,14814608
2019-06-27T00:00,86.05,88.45,85.8,88.0,81.0668,23155847
2019-06-26T00:00,85.65,86.4,84.8,85.7,78.948,20424534
2019-06-25T00:00,85.8,89.9,85.1,85.7,78.948,20836957
2019-06-24T00:00,86.65,87.2,85.2,85.8,79.0402,11625336
2019-06-21T00:00,86.95,87.6,85.75,86.5,79.685,18399090
2019-06-20T00:00,80.7,88.55,80.4,87.8,80.8826,39656557
2019-06-19T00:00,84.15,84.8,81.75,82.9,76.3686,17456059
2019-06-18T00:00,82.7,84.65,82.65,83.65,77.0596,16736759
2019-06-17T00:00,87.5,87.65,83.15,83.65,77.0596,24248588
2019-06-14T00:00,87.6,88.8,87.2,87.65,80.7444,11149101
2019-06-13T00:00,89.05,89.2,87.05,88.1,81.159,14582200
2019-06-12T00:00,90.6,91.3,88.85,89.25,82.2184,13506820
2019-06-11T00:00,90.9,91.75,89.75,91.2,84.0147,14535974
2019-06-10T00:00,91.45,91.6,89.25,90.7,83.5541,15352497
2019-06-07T00:00,91.15,91.75,89.1,90.0,82.9093,16922481
2019-06-06T00:00,93.05,93.15,90.4,91.3,84.1068,19319345
2019-06-04T00:00,91.85,93.75,91.35,93.05,85.719,24114157
2019-06-03T00:00,88.85,92.3,87.8,91.85,84.6135,34358814
2019-05-31T00:00,90.45,90.55,87.65,88.85,81.8499,20759367
2019-05-30T00:00,89.9,90.75,89.2,90.45,83.3238,19711797
2019-05-29T00:00,90.8,91.0,89.05,89.7,82.6329,15951343
2019-05-28T00:00,92.0,93.85,90.8,91.2,84.0147,30575742
2019-05-27T00:00,91.7,91.75,89.55,91.15,83.9687,37249413
2019-05-24T00:00,88.85,95.0,88.85,93.8,86.4099,53728065
2019-05-23T00:00,90.0,91.85,88.4,88.85,81.8499,31464067
2019-05-22T00:00,88.85,89.0,85.9,87.85,80.9287,18235187
2019-05-21T00:00,88.4,89.8,87.2,88.25,81.2971,27443220
2019-05-20T00:00,87.8,88.3,86.2,87.55,80.6523,34895381
2019-05-17T00:00,83.1,85.05,82.6,84.5,77.8426,13305907
2019-05-16T00:00,81.95,83.95,81.4,82.9,76.3686,14994353
2019-05-15T00:00,85.0,85.8,81.45,81.95,75.4935,17950986
2019-05-14T00:00,83.0,85.6,82.05,84.6,77.9347,18328116
2019-05-13T00:00,85.8,86.5,82.6,83.0,76.4608,13918199
2019-05-10T00:00,84.85,86.25,84.85,85.9,79.1323,13767863
2019-05-09T00:00,85.6,85.95,83.0,84.85,78.165,22648198
2019-05-08T00:00,85.35,86.4,84.95,85.95,79.1783,13038488
2019-05-07T00:00,88.7,88.8,85.6,85.95,79.1783,14500613
2019-05-06T00:00,88.95,89.4,87.75,88.05,81.1129,12211735
2019-05-03T00:00,90.0,91.0,88.6,89.6,82.5408,23708069
2019-05-02T00:00,87.1,91.8,85.8,89.55,82.4947,58223470
2019-04-30T00:00,87.9,88.35,85.3,86.95,80.0996,19935462
2019-04-26T00:00,89.75,90.15,88.1,88.5,81.5274,16125203
2019-04-25T00:00,91.45,92.5,89.55,89.85,82.7711,23972672
2019-04-24T00:00,91.6,92.5,90.55,91.25,84.0608,17671024
2019-04-23T00:00,92.5,93.25,91.2,91.55,84.3371,19425738
2019-04-22T00:00,95.8,95.85,91.8,92.15,84.8899,19341457
2019-04-18T00:00,97.0,97.2,94.05,95.75,88.2062,19780948
2019-04-16T00:00,96.1,97.75,95.6,96.35,88.759,25209332
