Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,67.85,69.65,66.0,69.1,69.1,7533904
2019-09-12T00:00,68.3,69.75,67.9,68.25,68.25,8691894
2019-09-11T00:00,66.15,68.45,65.85,68.15,68.15,6813652
2019-09-09T00:00,63.45,66.35,63.1,66.1,66.1,7933209
2019-09-06T00:00,63.8,64.9,62.8,63.7,63.7,6979117
2019-09-05T00:00,64.1,64.3,62.4,63.7,63.7,6886376
2019-09-04T00:00,63.05,64.5,62.1,63.85,63.85,7188225
2019-09-03T00:00,63.15,65.45,62.4,62.85,62.85,7387096
2019-08-30T00:00,66.6,67.0,63.75,65.55,65.55,10180707
2019-08-29T00:00,67.25,68.05,64.65,65.9,65.9,6960975
2019-08-28T00:00,69.25,70.65,66.7,67.7,67.7,7898518
2019-08-27T00:00,67.5,69.95,67.15,69.3,69.3,9111173
2019-08-26T00:00,67.95,68.35,65.05,66.85,66.85,13280468
2019-08-23T00:00,62.4,64.95,61.4,64.4,64.4,8929326
2019-08-22T00:00,65.0,65.25,61.75,62.4,62.4,8158794
2019-08-21T00:00,66.55,67.65,64.35,65.05,65.05,7592307
2019-08-20T00:00,68.85,69.0,65.6,66.55,66.55,8621332
2019-08-19T00:00,69.7,70.4,68.5,69.0,69.0,5732410
2019-08-16T00:00,67.25,70.0,66.45,69.4,69.4,7078429
2019-08-14T00:00,67.1,68.2,66.25,67.75,67.75,6393034
2019-08-13T00:00,69.2,69.45,66.1,66.7,66.7,5875135
2019-08-09T00:00,69.25,70.15,67.2,68.05,68.05,8803936
2019-08-08T00:00,67.5,69.45,66.4,68.85,68.85,7998702
2019-08-07T00:00,70.0,70.9,66.35,66.75,66.75,9827192
2019-08-06T00:00,68.5,70.5,68.05,69.9,69.9,7955510
2019-08-05T00:00,69.0,69.6,66.1,68.95,68.95,8773480
2019-08-02T00:00,69.75,71.2,68.1,69.75,69.75,9706091
2019-08-01T00:00,71.9,71.95,69.25,70.2,70.2,8692057
2019-07-31T00:00,70.95,72.5,70.3,72.2,72.2,9210827
2019-07-30T00:00,75.95,76.5,69.8,70.8,70.8,25218546
2019-07-29T00:00,76.5,76.9,74.25,75.7,75.7,7533538
2019-07-26T00:00,75.65,78.3,74.85,76.05,76.05,10020072
2019-07-25T00:00,76.65,77.5,74.4,75.4,75.4,7457025
