Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,237.5,236.85,230.45,232.65,232.65,4256919
2019-09-12T00:00,235.75,236.85,230.05,232.2,232.2,3058722
2019-09-11T00:00,233.6,238.8,232.05,234.8,234.8,3450784
2019-09-09T00:00,236.95,237.2,232.0,233.45,233.45,2259752
2019-09-06T00:00,230.55,237.0,229.35,236.45,236.45,3702650
2019-09-05T00:00,232.0,232.7,227.7,229.55,229.55,2314469
2019-09-04T00:00,226.9,232.0,223.05,231.3,231.3,3538906
2019-09-03T00:00,226.1,233.0,224.15,225.4,225.4,3311896
2019-08-30T00:00,227.95,237.2,224.5,235.6,235.6,3564896
2019-08-29T00:00,218.9,228.95,218.9,227.95,227.95,4041972
2019-08-28T00:00,228.8,228.8,218.65,220.85,220.85,3686564
2019-08-27T00:00,223.9,229.9,221.25,228.85,228.85,3895225
2019-08-26T00:00,228.0,228.0,216.8,221.95,221.95,4012642
2019-08-23T00:00,222.0,225.2,215.05,224.15,224.15,4049142
2019-08-22T00:00,224.7,226.25,218.05,221.9,221.9,6412842
2019-08-21T00:00,220.95,227.0,219.3,223.45,223.45,9297994
2019-08-20T00:00,215.0,220.45,211.05,218.2,218.2,10072138
2019-08-19T00:00,231.4,231.4,214.9,216.25,216.25,5925621
2019-08-16T00:00,225.1,231.45,224.0,228.0,228.0,4433182
2019-08-14T00:00,225.5,235.8,222.15,232.45,232.45,3091928
2019-08-13T00:00,230.6,232.25,222.8,224.05,224.05,2119261
2019-08-09T00:00,232.35,233.55,227.5,228.9,228.9,1976395
2019-08-08T00:00,226.35,232.3,224.5,231.25,231.25,2693736
2019-08-07T00:00,225.2,231.65,222.9,224.95,224.95,3647449
2019-08-06T00:00,227.0,229.4,223.7,225.3,225.3,2369955
2019-08-05T00:00,228.05,235.25,223.1,228.45,228.45,3725062
2019-08-02T00:00,221.0,234.0,217.05,231.25,231.25,5716497
2019-08-01T00:00,226.0,226.45,221.25,223.55,223.55,3423702
2019-07-31T00:00,233.0,233.6,224.35,226.55,226.55,4007230
2019-07-30T00:00,240.0,243.6,232.8,234.1,234.1,3066345
2019-07-29T00:00,243.3,243.3,234.0,237.05,237.05,4152112
2019-07-26T00:00,251.35,251.6,240.2,241.85,241.85,10202100
2019-07-25T00:00,238.2,239.9,233.0,238.6,238.6,3109298
2019-07-24T00:00,243.2,243.2,235.1,238.2,238.2,1769322
2019-07-23T00:00,247.7,247.7,238.2,241.95,241.95,2476080
2019-07-22T00:00,240.0,247.3,236.6,246.5,246.5,4151155
2019-07-19T00:00,263.25,264.7,238.0,240.3,240.3,17950305
2019-07-18T00:00,263.0,265.5,260.5,263.05,263.05,2702868
2019-07-17T00:00,259.95,263.8,259.0,262.9,262.4,3398831
2019-07-16T00:00,252.95,258.8,250.0,258.15,257.659,2314557
2019-07-15T00:00,254.25,254.85,249.2,252.7,252.2194,1652668
2019-07-12T00:00,252.15,255.7,251.55,253.6,253.1177,2274950
2019-07-11T00:00,247.2,254.25,246.9,252.65,252.1695,2645060
2019-07-10T00:00,245.65,247.95,244.5,246.6,246.131,1261188
2019-07-09T00:00,240.7,247.15,238.6,244.95,244.4841,2057019
2019-07-08T00:00,230.0,243.45,230.0,240.3,239.843,3786185
2019-07-05T00:00,249.0,250.35,238.85,240.1,239.6434,2035287
2019-07-04T00:00,249.5,250.95,246.8,248.95,248.4765,1646732
2019-07-03T00:00,254.25,254.95,248.25,248.85,248.3767,1853775
2019-07-02T00:00,253.0,255.65,250.1,254.3,253.8164,2097823
2019-07-01T00:00,251.05,253.05,249.45,252.2,251.7204,1285096
2019-06-28T00:00,248.35,252.15,247.35,250.55,250.0735,2143049
2019-06-27T00:00,252.95,253.0,247.35,248.35,247.8777,2117103
2019-06-26T00:00,246.2,253.75,244.5,252.75,252.2693,3178466
2019-06-25T00:00,249.0,250.0,245.2,246.3,245.8316,1754510
2019-06-24T00:00,249.0,250.8,246.3,249.5,249.0255,1812625
2019-06-21T00:00,253.0,253.95,248.15,249.55,249.0754,1982582
2019-06-20T00:00,250.95,254.0,246.6,253.2,252.7184,3452192
2019-06-19T00:00,244.2,252.5,242.7,250.95,250.4727,4023193
2019-06-18T00:00,247.05,247.4,239.0,243.2,242.7375,3112519
2019-06-17T00:00,248.0,248.3,244.25,245.3,244.8335,1917379
2019-06-14T00:00,257.3,258.55,247.0,248.3,247.8278,3790765
2019-06-13T00:00,256.9,258.7,250.05,257.0,256.5112,4247264
2019-06-12T00:00,269.9,271.35,256.05,257.9,257.4095,4531522
2019-06-11T00:00,266.75,272.175,262.75,268.55,268.0392,7107350
2019-06-10T00:00,265.2,266.85,262.5,265.175,264.6707,3235478
2019-06-07T00:00,272.975,273.0,262.5,264.425,263.9221,5270454
2019-06-06T00:00,272.0,276.5,270.55,272.25,271.7322,4672504
2019-06-04T00:00,278.65,280.25,270.0,270.325,269.8109,4738490
2019-06-03T00:00,273.0,279.4,270.5,276.7,276.1738,4095406
2019-05-31T00:00,272.0,273.5,269.175,270.95,270.4347,1755052
2019-05-30T00:00,271.5,275.35,270.5,271.45,270.9337,4315506
2019-05-29T00:00,270.55,274.675,269.3,270.85,270.3349,3711044
2019-05-28T00:00,275.0,278.9,266.825,270.55,270.0354,6397988
2019-05-27T00:00,267.3,276.725,265.95,275.45,274.9261,5533128
2019-05-24T00:00,255.925,267.975,255.775,267.3,266.7916,6214188
2019-05-23T00:00,262.975,263.0,254.25,255.3,254.8145,3678966
2019-05-22T00:00,260.425,261.975,258.0,259.175,258.6821,2192792
2019-05-21T00:00,264.5,265.925,258.825,259.425,258.9316,3075850
2019-05-20T00:00,266.5,266.5,254.375,261.525,261.0276,5642580
2019-05-17T00:00,261.75,262.5,257.85,260.375,259.8798,4112592
2019-05-16T00:00,265.5,266.5,259.6,262.775,262.2752,3848124
2019-05-15T00:00,266.225,268.45,262.525,265.3,264.7954,2609224
2019-05-14T00:00,262.6,268.975,259.1,264.7,264.1966,3463746
2019-05-13T00:00,269.0,270.475,260.275,262.6,262.1006,2362374
2019-05-10T00:00,266.0,272.425,265.7,269.475,268.9625,4127272
2019-05-09T00:00,272.5,273.95,261.1,265.625,265.1198,7588682
2019-05-08T00:00,277.5,280.0,271.65,272.85,272.3311,4941092
2019-05-07T00:00,274.25,279.475,272.625,275.45,274.9261,5387214
2019-05-06T00:00,274.0,277.5,270.075,271.675,271.1583,5272432
2019-05-03T00:00,279.0,281.5,274.6,275.525,275.001,8856308
2019-05-02T00:00,296.95,296.95,277.0,278.925,278.3945,10658318
2019-04-30T00:00,309.9,309.9,292.7,296.75,296.1856,7935554
2019-04-26T00:00,314.0,314.0,305.55,310.3,309.7098,8819548
2019-04-25T00:00,310.525,311.85,307.25,310.1,309.5102,4641322
2019-04-24T00:00,308.5,308.55,304.75,306.7,306.1167,2798844
2019-04-23T00:00,309.0,309.55,304.8,306.85,306.2664,3874316
2019-04-22T00:00,307.75,307.75,303.325,303.875,303.2971,1981688
2019-04-18T00:00,312.0,312.45,306.2,307.6,307.015,1609038
2019-04-16T00:00,312.125,313.175,309.9,311.25,310.6581,1429346
