Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,72.2,74.6,71.35,74.15,74.15,846299
2019-09-12T00:00,72.6,73.45,71.15,72.15,72.15,835550
2019-09-11T00:00,71.45,73.25,70.25,72.65,72.65,1064652
2019-09-09T00:00,70.15,72.25,69.0,71.55,71.55,966307
2019-09-06T00:00,66.0,71.2,65.9,70.2,70.2,981694
2019-09-05T00:00,64.45,67.45,64.0,65.7,65.7,699679
2019-09-04T00:00,65.7,65.8,62.5,64.45,64.45,1441852
2019-09-03T00:00,65.5,67.55,64.3,66.5,66.5,361457
2019-08-30T00:00,67.0,67.0,64.05,65.95,65.95,797203
2019-08-29T00:00,65.25,67.8,64.2,67.05,67.05,1246279
2019-08-28T00:00,65.0,68.6,63.15,66.95,66.95,1107641
2019-08-27T00:00,65.7,67.95,63.55,64.55,64.55,1644755
2019-08-26T00:00,61.55,67.0,60.75,65.7,65.7,839402
2019-08-23T00:00,59.0,62.0,57.55,61.45,61.45,708910
2019-08-22T00:00,59.95,60.5,58.1,58.95,58.95,1055583
2019-08-21T00:00,60.95,61.05,57.75,60.0,60.0,1565952
2019-08-20T00:00,62.2,62.95,60.1,60.95,60.95,757077
2019-08-19T00:00,61.05,64.45,58.05,62.95,62.95,2682295
2019-08-16T00:00,60.1,61.5,57.8,60.85,60.85,1239323
2019-08-14T00:00,59.9,60.6,57.5,60.2,60.2,1016256
2019-08-13T00:00,62.75,62.8,59.05,60.0,60.0,1481701
2019-08-09T00:00,65.0,65.9,58.25,62.85,62.85,4538573
2019-08-08T00:00,68.65,69.15,63.25,64.4,64.4,3089340
2019-08-07T00:00,74.35,74.4,68.2,69.05,69.05,1919586
2019-08-06T00:00,71.2,74.9,70.6,74.35,74.35,909266
2019-08-05T00:00,72.0,73.15,70.1,72.3,72.3,942146
2019-08-02T00:00,75.15,75.9,69.2,72.35,72.35,3212979
2019-08-01T00:00,74.5,76.7,73.2,75.35,75.35,1189837
2019-07-31T00:00,74.1,76.5,73.8,74.5,74.5,2607003
2019-07-30T00:00,74.3,76.5,73.05,74.7,74.7,1838466
2019-07-29T00:00,75.0,76.8,74.0,75.7,73.7,576955
2019-07-26T00:00,74.55,76.85,73.5,75.0,73.0185,2167025
2019-07-25T00:00,74.15,76.25,74.15,75.15,73.1645,1051157
2019-07-24T00:00,76.0,76.2,73.55,75.1,73.1159,1328816
2019-07-23T00:00,76.0,76.55,74.55,75.65,73.6513,897740
2019-07-22T00:00,74.0,77.45,71.6,76.35,74.3328,861622
2019-07-19T00:00,75.45,75.8,72.35,73.75,71.8015,1494238
2019-07-18T00:00,75.35,77.2,74.2,75.45,73.4566,612615
2019-07-17T00:00,75.9,77.95,74.0,75.6,73.6026,1247506
2019-07-16T00:00,72.2,77.9,71.65,76.0,73.9921,3160932
2019-07-15T00:00,75.1,75.35,68.6,72.2,70.2925,3073186
2019-07-12T00:00,74.7,76.45,73.35,74.6,72.6291,1046637
2019-07-11T00:00,77.9,77.9,72.7,74.7,72.7264,2582751
2019-07-10T00:00,81.85,82.8,74.0,76.95,74.917,2331589
2019-07-09T00:00,82.8,82.9,80.3,81.55,79.3954,817773
2019-07-08T00:00,88.95,88.95,81.9,82.25,80.0769,1346818
2019-07-05T00:00,92.2,92.25,88.15,88.9,86.5513,427949
2019-07-04T00:00,89.5,92.25,88.85,91.75,89.326,472026
2019-07-03T00:00,91.3,93.0,89.3,90.1,87.7196,917587
2019-07-02T00:00,89.0,91.4,88.5,90.9,88.4984,861234
2019-07-01T00:00,86.0,90.2,86.0,89.7,87.3301,1055209
2019-06-28T00:00,90.05,90.1,86.0,86.3,84.02,668842
2019-06-27T00:00,88.6,90.85,88.5,90.25,87.8656,584524
2019-06-26T00:00,89.0,90.15,87.5,88.55,86.2105,938844
2019-06-25T00:00,90.45,90.6,88.3,89.35,86.9894,1140047
2019-06-24T00:00,91.15,92.6,90.5,90.95,88.5471,383263
2019-06-21T00:00,94.8,94.8,90.45,91.65,89.2286,668376
2019-06-20T00:00,90.0,95.0,89.55,94.8,92.2954,749897
