Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,0.0,826.9,801.15,824.95,824.95,550622
2019-09-12T00:00,817.95,833.0,800.8,805.1,805.1,1102402
2019-09-11T00:00,799.0,821.35,798.0,815.65,815.65,609057
2019-09-09T00:00,785.0,811.95,784.6,799.95,799.95,731940
2019-09-06T00:00,768.0,793.0,764.0,784.6,784.6,253691
2019-09-05T00:00,759.0,768.0,755.15,764.8,764.8,104316
2019-09-04T00:00,763.1,769.7,751.4,754.1,754.1,279879
2019-09-03T00:00,767.05,798.5,759.0,763.05,763.05,676964
2019-08-30T00:00,760.45,780.0,760.0,774.5,774.5,403306
2019-08-29T00:00,765.6,766.0,748.1,756.7,756.7,223527
2019-08-28T00:00,777.0,781.2,762.3,765.6,765.6,265699
2019-08-27T00:00,775.7,783.95,770.3,775.75,775.75,280061
2019-08-26T00:00,771.95,776.4,746.8,769.6,769.6,332161
2019-08-23T00:00,752.1,763.15,750.2,756.65,756.65,319398
2019-08-22T00:00,766.0,778.0,750.3,755.6,755.6,398894
2019-08-21T00:00,770.6,784.8,768.3,772.95,772.95,370022
2019-08-20T00:00,800.0,801.95,764.45,778.25,778.25,598240
2019-08-19T00:00,793.85,817.15,791.05,798.2,798.2,1135957
2019-08-16T00:00,758.3,811.95,755.9,788.95,788.95,1277371
2019-08-14T00:00,740.0,772.0,740.0,763.85,763.85,498841
2019-08-13T00:00,755.0,770.65,737.05,740.6,740.6,221579
2019-08-09T00:00,758.1,776.95,753.2,754.65,754.65,270587
2019-08-08T00:00,746.0,758.9,742.75,753.95,753.95,345993
2019-08-07T00:00,756.5,763.2,742.15,743.85,743.85,179724
2019-08-06T00:00,738.2,761.0,738.2,753.0,753.0,205580
2019-08-05T00:00,745.6,753.4,720.25,742.45,742.45,389427
2019-08-02T00:00,743.15,756.2,724.2,750.85,750.85,192355
2019-08-01T00:00,743.0,751.7,729.0,748.85,748.85,273811
2019-07-31T00:00,718.5,747.05,714.7,744.1,744.1,225624
2019-07-30T00:00,734.6,744.8,719.6,723.3,723.3,216648
2019-07-29T00:00,750.2,754.95,731.35,734.8,734.8,149293
