Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,0.0,543.45,511.0,532.3,532.3,1391428
2019-09-12T00:00,518.0,528.45,517.9,519.5,519.5,643887
2019-09-11T00:00,512.7,521.25,508.05,517.85,517.85,503353
2019-09-09T00:00,500.0,515.0,498.5,514.2,514.2,502793
2019-09-06T00:00,517.4,518.35,502.25,504.5,504.5,995080
2019-09-05T00:00,504.9,521.8,498.35,515.15,515.15,1173111
2019-09-04T00:00,493.1,505.45,492.0,502.9,502.9,592028
2019-09-03T00:00,507.7,507.7,489.5,491.95,491.95,532959
2019-08-30T00:00,497.0,510.45,494.2,508.3,508.3,1177972
2019-08-29T00:00,485.0,499.85,482.15,496.75,496.75,638774
2019-08-28T00:00,498.85,499.4,482.05,485.2,485.2,687754
2019-08-27T00:00,490.1,501.0,482.75,495.8,495.8,1115041
2019-08-26T00:00,491.05,503.0,480.5,489.75,489.75,783583
2019-08-23T00:00,482.0,510.05,475.7,487.75,487.75,1305391
2019-08-22T00:00,482.95,488.0,480.0,482.3,482.3,805042
2019-08-21T00:00,477.0,486.25,475.05,483.0,483.0,1721523
2019-08-20T00:00,462.95,476.9,462.95,475.15,475.15,1306549
2019-08-19T00:00,464.1,471.4,460.0,465.15,465.15,458256
2019-08-16T00:00,477.9,477.9,467.5,469.05,460.5,545392
2019-08-14T00:00,474.0,479.85,466.0,475.9,467.2251,949104
2019-08-13T00:00,488.0,488.0,470.55,474.05,465.4088,535974
2019-08-09T00:00,484.75,491.0,482.0,485.6,476.7483,387709
2019-08-08T00:00,480.0,485.8,473.0,482.35,473.5576,583859
2019-08-07T00:00,496.8,502.45,481.65,483.4,474.5884,632838
2019-08-06T00:00,496.05,504.0,483.0,497.65,488.5786,1308432
2019-08-05T00:00,498.4,508.3,491.0,500.8,491.6712,1091013
2019-08-02T00:00,510.0,514.5,488.4,503.7,494.5184,1264393
2019-08-01T00:00,501.35,520.0,500.05,515.45,506.0542,1368061
2019-07-31T00:00,510.0,515.7,500.65,511.8,502.4707,754148
2019-07-30T00:00,516.5,516.5,510.1,513.15,503.7961,216924
2019-07-29T00:00,514.2,519.55,510.0,515.5,506.1033,583615
2019-07-26T00:00,524.9,525.9,512.25,519.15,509.6868,1356495
2019-07-25T00:00,530.5,535.5,524.9,528.0,518.3754,1724285
