Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,0.0,583.5,564.25,581.4,581.4,285835
2019-09-12T00:00,585.9,585.9,565.0,568.4,568.4,471362
2019-09-11T00:00,583.6,588.3,571.6,582.15,582.15,405311
2019-09-09T00:00,574.0,583.9,568.1,577.55,577.55,394221
2019-09-06T00:00,565.65,580.5,565.65,574.25,574.25,296872
2019-09-05T00:00,558.5,569.15,558.25,565.65,565.65,249684
2019-09-04T00:00,558.9,567.0,555.65,563.8,563.8,411708
2019-09-03T00:00,570.0,577.0,557.35,558.95,558.95,421955
2019-08-30T00:00,569.0,581.0,560.5,574.75,574.75,390456
2019-08-29T00:00,571.05,577.75,562.55,569.6,569.6,739941
2019-08-28T00:00,565.3,578.35,556.0,569.6,569.6,915923
2019-08-27T00:00,569.65,575.4,562.1,568.2,568.2,513900
2019-08-26T00:00,585.0,586.0,566.05,569.7,569.7,435842
2019-08-23T00:00,568.15,585.5,559.0,576.05,576.05,200232
2019-08-22T00:00,565.0,574.8,555.25,568.75,568.75,363030
2019-08-21T00:00,575.0,579.6,565.9,570.0,570.0,381769
2019-08-20T00:00,582.2,590.35,574.7,579.9,579.9,363981
2019-08-19T00:00,598.0,599.55,585.0,587.45,587.45,189335
2019-08-16T00:00,585.0,597.0,582.25,594.7,594.7,522937
2019-08-14T00:00,587.0,599.6,583.0,588.1,588.1,658260
2019-08-13T00:00,604.0,604.65,589.1,591.3,591.3,560460
2019-08-09T00:00,605.0,616.3,595.35,599.8,599.8,849885
2019-08-08T00:00,652.0,661.15,587.25,603.15,603.15,2876701
2019-08-07T00:00,674.1,676.95,645.4,652.5,652.5,1556926
2019-08-06T00:00,669.15,686.7,662.65,672.85,672.85,240062
2019-08-05T00:00,665.0,675.15,655.5,669.15,669.15,376349
2019-08-02T00:00,688.5,691.1,662.2,669.35,669.35,564001
2019-08-01T00:00,705.6,712.95,688.1,693.4,693.4,191024
2019-07-31T00:00,697.0,712.5,684.45,709.0,699.0,144624
2019-07-30T00:00,727.9,728.2,699.95,702.05,682.2891,269161
2019-07-29T00:00,736.0,748.9,720.0,723.85,703.4754,172792
2019-07-26T00:00,741.1,748.85,732.4,739.15,718.3448,280334
2019-07-25T00:00,731.0,765.0,731.0,750.7,729.5697,812365
2019-07-24T00:00,729.7,737.65,717.2,731.9,711.2989,213315
2019-07-23T00:00,730.5,733.4,721.55,725.75,705.322,81297
2019-07-22T00:00,734.4,734.4,720.2,726.15,705.7107,176754
2019-07-19T00:00,741.0,751.45,725.75,728.5,707.9946,335455
2019-07-18T00:00,755.9,755.9,736.55,739.5,718.6849,114109
2019-07-17T00:00,741.1,757.0,731.3,752.4,731.2219,468551
2019-07-16T00:00,740.4,752.0,710.95,745.1,724.1273,1114126
2019-07-15T00:00,759.0,759.0,742.9,752.45,731.2704,108856
2019-07-12T00:00,757.7,766.8,751.0,755.6,734.3318,203110
2019-07-11T00:00,746.0,759.15,741.45,756.85,735.5466,211383
2019-07-10T00:00,745.1,750.9,740.2,741.9,721.0174,235558
2019-07-09T00:00,748.3,752.95,734.3,747.05,726.0224,298463
2019-07-08T00:00,731.4,764.0,720.0,750.2,729.0838,741644
2019-07-05T00:00,757.0,766.4,731.0,736.65,715.9152,375590
2019-07-04T00:00,757.9,766.0,747.5,760.3,738.8995,504244
2019-07-03T00:00,778.9,782.0,763.35,768.9,747.2574,312629
2019-07-02T00:00,773.35,782.9,767.45,778.9,756.976,205384
2019-07-01T00:00,767.85,781.0,765.3,773.05,751.2906,297182
2019-06-28T00:00,779.0,785.75,760.0,764.05,742.5439,216647
2019-06-27T00:00,774.4,788.0,764.75,775.6,753.7688,562369
2019-06-26T00:00,757.45,777.0,757.0,770.55,748.861,366850
2019-06-25T00:00,756.0,772.0,751.85,757.45,736.1297,544083
2019-06-24T00:00,744.0,759.95,738.0,754.95,733.7001,265761
2019-06-21T00:00,748.95,751.05,736.35,740.9,720.0455,225874
2019-06-20T00:00,737.2,748.6,733.55,746.55,725.5365,417376
2019-06-19T00:00,736.0,742.6,730.0,737.2,716.4497,423021
2019-06-18T00:00,747.0,753.1,729.75,735.95,715.2349,311818
2019-06-17T00:00,763.0,763.0,740.9,747.85,726.7999,334824
2019-06-14T00:00,745.0,767.0,744.0,763.8,742.301,354599
2019-06-13T00:00,748.1,753.95,742.5,745.85,724.8562,381810
2019-06-12T00:00,760.0,761.9,746.25,752.15,730.9789,396240
2019-06-11T00:00,774.3,775.0,762.0,764.15,742.6411,135792
2019-06-10T00:00,765.2,783.35,765.2,773.7,751.9224,214328
2019-06-07T00:00,774.0,776.0,757.15,763.9,742.3982,275004
2019-06-06T00:00,777.0,788.5,768.4,771.2,749.4927,498732
2019-06-04T00:00,766.2,784.3,766.2,778.1,756.1984,331838
2019-06-03T00:00,785.1,794.7,767.3,772.4,750.6589,305759
2019-05-31T00:00,767.0,801.05,760.65,790.05,767.8121,1052607
2019-05-30T00:00,760.0,772.0,751.1,763.15,741.6693,442380
2019-05-29T00:00,794.0,794.0,761.55,766.1,744.5362,227871
2019-05-28T00:00,791.1,799.8,777.0,796.0,773.5946,652924
2019-05-27T00:00,750.0,791.0,747.05,788.45,766.2571,1025360
2019-05-24T00:00,724.6,761.45,723.05,757.85,736.5184,1023069
2019-05-23T00:00,730.0,746.0,715.65,720.95,700.6571,815182
2019-05-22T00:00,745.95,745.95,723.6,729.15,708.6263,290108
2019-05-21T00:00,760.1,762.0,741.6,745.4,724.4189,260421
2019-05-20T00:00,720.0,771.0,716.55,766.05,744.4876,958987
2019-05-17T00:00,697.0,713.8,696.55,709.85,689.8694,176988
2019-05-16T00:00,700.0,707.75,692.65,696.85,677.2354,140474
2019-05-15T00:00,700.0,710.0,697.5,701.05,681.3172,123829
2019-05-14T00:00,688.25,706.0,682.35,697.75,678.11,193371
2019-05-13T00:00,703.9,703.95,685.75,691.15,671.6959,367480
2019-05-10T00:00,702.5,707.95,698.0,699.85,680.1509,100645
2019-05-09T00:00,698.1,706.3,696.7,700.75,681.0256,148422
2019-05-08T00:00,703.95,706.95,695.75,700.1,680.3939,264029
2019-05-07T00:00,714.15,715.3,699.05,703.15,683.3581,254971
2019-05-06T00:00,710.0,718.0,705.95,710.85,690.8413,153585
2019-05-03T00:00,706.0,723.0,704.8,715.1,694.9717,260527
2019-05-02T00:00,725.0,725.0,696.25,704.75,684.9131,536875
2019-04-30T00:00,750.0,750.0,723.3,726.65,706.1967,204392
2019-04-26T00:00,737.9,749.0,728.3,746.95,725.9252,230789
2019-04-25T00:00,735.0,740.9,730.2,733.7,713.0482,187105
2019-04-24T00:00,741.6,749.8,718.75,739.0,718.199,598989
2019-04-23T00:00,723.9,748.0,713.1,741.6,720.7258,541271
2019-04-22T00:00,742.0,742.0,717.0,721.2,700.9001,140938
2019-04-18T00:00,732.5,749.5,724.05,739.75,718.9279,267126
2019-04-16T00:00,756.95,757.0,731.55,734.1,713.4369,418706
