Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,0.0,51.75,48.65,50.9,50.9,16735441
2019-09-12T00:00,51.0,52.45,49.35,51.25,51.25,15794169
2019-09-11T00:00,48.7,52.75,48.7,50.7,50.7,21401494
2019-09-09T00:00,45.9,51.95,45.35,48.95,48.95,25542392
2019-09-06T00:00,47.65,47.95,45.65,46.6,46.6,9225491
2019-09-05T00:00,47.95,48.5,46.75,47.6,47.6,8844529
2019-09-04T00:00,48.0,48.4,46.45,47.2,47.2,10159015
2019-09-03T00:00,47.0,49.35,46.25,47.95,47.95,15886512
2019-08-30T00:00,47.25,48.9,46.5,47.65,47.65,10504873
2019-08-29T00:00,48.1,49.2,46.5,47.25,47.25,15285533
2019-08-28T00:00,48.0,49.2,46.0,48.4,48.4,16935967
2019-08-27T00:00,45.9,51.65,44.7,48.35,48.35,30532890
2019-08-26T00:00,43.9,46.15,41.7,45.65,45.65,24543881
2019-08-23T00:00,39.9,42.35,37.2,40.7,40.7,22180120
2019-08-22T00:00,45.75,45.8,39.0,39.8,39.8,20450162
2019-08-21T00:00,47.2,47.9,44.75,45.55,45.55,17724049
2019-08-20T00:00,46.55,47.95,45.15,46.5,46.5,22159219
2019-08-19T00:00,47.0,52.45,46.5,49.05,49.05,43260481
2019-08-16T00:00,45.8,46.95,45.0,45.95,45.95,11417576
2019-08-14T00:00,47.0,49.0,45.35,46.9,46.9,15677539
2019-08-13T00:00,48.75,50.9,45.0,46.45,46.45,22376401
2019-08-09T00:00,45.35,52.85,45.35,48.75,48.75,35264165
2019-08-08T00:00,50.15,51.3,45.35,47.6,47.6,21977050
2019-08-07T00:00,56.0,56.75,48.7,49.4,49.4,48227981
2019-08-06T00:00,41.1,58.4,41.1,55.35,55.35,67314072
2019-08-05T00:00,42.0,43.7,40.8,41.95,41.95,19769923
2019-08-02T00:00,47.7,48.95,45.75,46.65,46.65,19809564
2019-08-01T00:00,49.8,50.9,47.4,48.65,48.65,14257476
2019-07-31T00:00,49.7,50.95,48.65,49.3,49.3,19155433
2019-07-30T00:00,53.0,54.7,48.55,49.95,49.95,26751782
2019-07-29T00:00,55.0,56.0,51.7,52.2,52.2,23004731
2019-07-26T00:00,55.0,56.65,53.45,55.0,55.0,26021137
2019-07-25T00:00,55.45,57.8,53.45,55.2,55.2,37378917
2019-07-24T00:00,59.65,63.35,55.6,56.55,56.55,51356424
2019-07-23T00:00,52.4,63.0,50.5,60.0,60.0,93508202
2019-07-22T00:00,54.15,56.0,50.7,52.5,52.5,44747551
2019-07-19T00:00,56.2,56.5,51.35,53.55,53.55,34724014
2019-07-18T00:00,54.8,58.6,53.55,56.25,56.25,46389916
2019-07-17T00:00,51.0,59.7,50.15,56.25,56.25,88858329
2019-07-16T00:00,46.4,51.85,44.5,50.6,50.6,73302325
2019-07-15T00:00,61.65,61.65,46.15,48.5,48.5,75262386
