Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,23.3,23.6,22.55,23.3,23.3,16644017
2019-09-12T00:00,23.5,23.7,22.8,23.1,23.1,17104356
2019-09-11T00:00,23.5,24.4,23.1,23.4,23.4,21928939
2019-09-09T00:00,22.95,24.15,22.6,23.4,23.4,24738050
2019-09-06T00:00,22.8,24.4,22.2,22.75,22.75,35553240
2019-09-05T00:00,20.6,23.8,20.4,22.35,22.35,43670489
2019-09-04T00:00,20.8,21.0,19.8,20.8,20.8,25588206
2019-09-03T00:00,21.9,22.1,20.65,20.8,20.8,22246451
2019-08-30T00:00,22.55,22.75,21.15,21.9,21.9,27779595
2019-08-29T00:00,23.0,23.35,21.4,22.35,22.35,27042747
2019-08-28T00:00,24.35,24.8,22.7,23.0,23.0,22537161
2019-08-27T00:00,26.15,26.15,24.0,24.3,24.3,33931696
2019-08-26T00:00,23.4,26.75,22.85,26.15,26.15,39383654
2019-08-23T00:00,21.45,23.7,21.15,23.3,23.3,27295648
2019-08-22T00:00,22.35,23.15,21.25,21.65,21.65,24620778
2019-08-21T00:00,23.45,23.45,21.85,22.35,22.35,17747095
2019-08-20T00:00,24.1,24.25,22.8,23.45,23.45,20218158
2019-08-19T00:00,24.5,24.8,23.9,24.1,24.1,16899833
2019-08-16T00:00,24.35,24.7,23.5,24.3,24.3,20299449
2019-08-14T00:00,23.0,24.85,22.7,24.55,24.55,33623270
2019-08-13T00:00,22.5,23.45,21.35,22.65,22.65,32871639
2019-08-09T00:00,23.55,24.5,23.0,23.35,23.35,29163596
2019-08-08T00:00,22.75,23.9,22.3,23.45,23.45,25532679
2019-08-07T00:00,23.7,24.45,22.3,22.7,22.7,33208580
2019-08-06T00:00,22.3,24.25,22.05,23.4,23.4,36981671
2019-08-05T00:00,24.4,24.4,21.65,22.95,22.95,37523205
2019-08-02T00:00,25.3,26.0,24.45,24.65,24.65,30827334
2019-08-01T00:00,27.0,27.4,25.3,25.7,25.7,31682563
2019-07-31T00:00,28.0,30.1,26.1,27.4,27.4,46158014
2019-07-30T00:00,29.65,30.1,27.95,28.4,28.4,24720615
2019-07-29T00:00,31.7,32.0,29.25,29.5,29.5,24509050
2019-07-26T00:00,32.25,32.5,30.3,31.4,31.4,20513790
2019-07-25T00:00,32.35,32.75,31.8,32.25,32.25,16827494
2019-07-24T00:00,32.95,33.85,31.8,32.15,32.15,30963634
2019-07-23T00:00,33.3,33.85,32.5,32.9,32.9,24191525
2019-07-22T00:00,31.75,34.2,31.05,33.75,33.75,39343337
2019-07-19T00:00,33.95,34.2,29.15,31.55,31.55,55423719
2019-07-18T00:00,32.8,34.8,32.6,34.15,34.15,45620901
2019-07-17T00:00,32.8,33.65,31.85,32.95,32.95,29808257
2019-07-16T00:00,33.4,33.9,32.55,32.95,32.95,36948764
2019-07-15T00:00,31.05,33.95,29.85,32.9,32.9,53318133
2019-07-12T00:00,30.45,32.35,30.3,31.1,31.1,60382376
2019-07-11T00:00,26.0,31.1,25.85,30.35,30.35,67240155
2019-07-10T00:00,28.05,28.4,25.6,26.15,26.15,37696600
2019-07-09T00:00,28.1,30.15,27.4,27.9,27.9,42138711
2019-07-08T00:00,30.0,30.2,27.4,28.3,28.3,25561943
2019-07-05T00:00,31.7,31.95,30.05,30.35,30.35,18773400
2019-07-04T00:00,32.35,33.7,31.0,31.55,31.55,53358614
2019-07-03T00:00,29.5,32.15,29.4,31.25,31.25,35373655
2019-07-02T00:00,28.9,30.25,28.25,29.75,29.75,36358352
2019-07-01T00:00,27.1,29.35,26.45,28.75,28.75,21912952
2019-06-28T00:00,28.35,28.8,26.65,27.05,27.05,27017197
2019-06-27T00:00,27.45,28.9,27.2,28.4,28.4,27731140
2019-06-26T00:00,26.45,27.9,25.85,27.4,27.4,29219750
2019-06-25T00:00,26.7,26.9,25.3,26.45,26.45,27654220
2019-06-24T00:00,27.5,28.0,26.5,26.95,26.95,18687686
2019-06-21T00:00,28.2,28.45,27.2,27.5,27.5,17885285
2019-06-20T00:00,27.3,28.8,26.7,28.45,28.45,17459273
2019-06-19T00:00,27.25,27.95,26.2,27.15,27.15,17739785
2019-06-18T00:00,28.25,29.9,25.7,27.1,27.1,33240748
2019-06-17T00:00,28.65,29.15,27.5,28.75,28.75,14755869
2019-06-14T00:00,30.55,30.85,28.15,28.65,28.65,23507909
2019-06-13T00:00,30.25,31.1,28.8,30.45,30.45,16576001
2019-06-12T00:00,30.2,31.65,29.55,30.2,30.2,30426911
2019-06-11T00:00,26.85,30.5,26.0,30.0,30.0,28349694
2019-06-10T00:00,28.15,28.15,24.35,26.8,26.8,31396564
2019-06-07T00:00,27.4,29.0,26.75,28.25,28.25,19657094
2019-06-06T00:00,27.6,28.4,26.6,27.55,27.55,15934605
2019-06-04T00:00,28.55,29.0,27.2,27.5,27.5,12513091
2019-06-03T00:00,29.25,29.45,28.2,28.7,28.7,12797888
2019-05-31T00:00,31.35,31.45,28.55,29.1,29.1,18134011
2019-05-30T00:00,31.65,32.25,30.25,31.05,31.05,13672997
2019-05-29T00:00,32.45,32.85,30.55,31.75,31.75,16390710
2019-05-28T00:00,31.25,33.0,30.4,32.45,32.45,27903538
2019-05-27T00:00,29.2,32.9,28.9,31.0,31.0,25394278
2019-05-24T00:00,30.6,32.25,29.5,31.2,31.2,21893492
2019-05-23T00:00,29.4,31.6,29.15,30.45,30.45,23451996
2019-05-22T00:00,28.9,29.65,28.0,29.0,29.0,14278289
2019-05-21T00:00,30.7,31.05,28.45,28.85,28.85,16701595
2019-05-20T00:00,31.0,31.3,28.9,30.6,30.6,23592464
2019-05-17T00:00,28.8,29.9,28.0,29.25,29.25,15589732
2019-05-16T00:00,28.0,29.45,26.9,28.65,28.65,30190060
2019-05-15T00:00,31.0,31.3,27.55,27.85,27.85,34143339
2019-05-14T00:00,31.15,31.6,29.55,30.75,30.75,23467922
2019-05-13T00:00,34.75,34.95,30.55,31.05,31.05,16338020
2019-05-10T00:00,34.0,35.4,33.65,34.8,34.8,21517443
2019-05-09T00:00,31.35,35.8,31.05,33.7,33.7,30756016
2019-05-08T00:00,31.3,32.4,29.1,31.15,31.15,37024351
2019-05-07T00:00,35.05,35.15,30.75,31.65,31.65,30917993
2019-05-06T00:00,35.9,35.9,34.6,35.0,35.0,5893957
2019-05-03T00:00,35.9,36.6,35.4,35.85,35.85,7498989
2019-05-02T00:00,36.0,37.05,35.35,35.7,35.7,14503586
2019-04-30T00:00,36.2,37.2,34.4,36.0,36.0,17920008
2019-04-26T00:00,36.45,36.75,35.9,36.15,36.15,8249236
2019-04-25T00:00,37.5,37.5,35.55,36.2,36.2,14661219
2019-04-24T00:00,37.05,37.25,35.75,36.9,36.9,19426910
2019-04-23T00:00,37.1,38.65,36.55,36.9,36.9,22469611
2019-04-22T00:00,38.0,38.4,36.65,36.95,36.95,12213766
2019-04-18T00:00,40.2,40.35,37.5,37.9,37.9,17892285
2019-04-16T00:00,39.85,41.0,39.25,40.2,40.2,15212698
