Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,0.0,379.8,365.2,368.9,368.9,2095906
2019-09-12T00:00,383.2,389.4,380.2,382.15,382.15,954743
2019-09-11T00:00,389.0,391.0,382.5,384.75,384.75,1206799
2019-09-09T00:00,392.9,392.9,381.2,384.6,384.6,635977
2019-09-06T00:00,389.3,393.75,382.4,390.95,390.95,675693
2019-09-05T00:00,383.1,391.8,383.1,390.0,390.0,452389
2019-09-04T00:00,392.3,392.3,372.4,382.65,382.65,1296542
2019-09-03T00:00,385.95,394.85,382.0,390.85,390.85,717621
2019-08-30T00:00,384.9,391.75,379.8,384.3,384.3,1328650
2019-08-29T00:00,376.5,386.0,376.05,383.15,383.15,1477289
2019-08-28T00:00,376.5,381.95,371.8,378.4,378.4,769987
2019-08-27T00:00,376.55,383.35,372.5,374.85,374.85,1535990
2019-08-26T00:00,368.0,380.8,359.4,378.25,378.25,824461
2019-08-23T00:00,361.9,370.4,353.5,368.15,368.15,1190796
2019-08-22T00:00,363.5,365.65,356.3,359.9,359.9,1002173
2019-08-21T00:00,374.7,377.15,360.9,363.1,363.1,1219825
2019-08-20T00:00,370.0,375.85,365.8,374.2,374.2,1538093
2019-08-19T00:00,360.8,372.3,359.1,368.15,368.15,1893825
2019-08-16T00:00,379.95,381.9,356.2,361.15,361.15,4823411
2019-08-14T00:00,401.0,406.85,379.5,384.2,384.2,3867432
2019-08-13T00:00,426.2,436.0,412.0,415.6,415.6,1649499
2019-08-09T00:00,428.8,435.75,422.55,426.2,426.2,816459
2019-08-08T00:00,414.4,430.0,414.35,426.15,426.15,854250
2019-08-07T00:00,415.05,417.7,410.2,414.35,414.35,715457
2019-08-06T00:00,412.5,421.4,412.5,415.05,415.05,668926
2019-08-05T00:00,419.85,429.35,408.35,412.2,412.2,884840
2019-08-02T00:00,420.0,429.6,417.5,424.95,424.95,478131
2019-08-01T00:00,422.7,433.0,417.4,423.2,423.2,797884
2019-07-31T00:00,412.0,427.5,405.8,426.05,426.05,980592
2019-07-30T00:00,424.1,437.35,410.2,417.9,417.9,1163187
2019-07-29T00:00,425.0,426.05,417.95,422.45,422.45,567263
2019-07-26T00:00,425.6,434.0,424.75,426.15,426.15,629174
2019-07-25T00:00,418.0,431.0,415.0,425.6,425.6,1201471
2019-07-24T00:00,421.4,426.55,415.05,417.6,417.6,1214708
2019-07-23T00:00,429.65,431.8,418.55,421.35,421.35,903952
2019-07-22T00:00,432.8,432.9,420.5,427.5,427.5,843733
2019-07-19T00:00,440.8,446.8,431.0,432.85,432.85,719816
2019-07-18T00:00,446.7,448.5,438.25,440.85,440.85,783574
2019-07-17T00:00,453.3,457.0,445.75,446.55,446.55,738913
2019-07-16T00:00,443.5,456.3,443.0,453.3,453.3,968731
2019-07-15T00:00,451.25,453.55,443.0,445.7,445.7,489116
2019-07-12T00:00,456.0,457.55,448.0,451.35,451.35,1294664
2019-07-11T00:00,449.95,458.6,448.8,451.3,451.3,1901817
2019-07-10T00:00,451.0,451.0,441.0,445.9,445.9,1068742
2019-07-09T00:00,438.85,452.75,436.55,449.2,449.2,2423296
2019-07-08T00:00,429.0,438.8,423.65,436.55,436.55,932003
2019-07-05T00:00,441.7,443.3,429.2,430.55,430.55,841708
2019-07-04T00:00,444.55,445.85,439.55,440.2,440.2,673117
2019-07-03T00:00,440.2,446.4,439.05,443.4,443.4,1011096
2019-07-02T00:00,445.15,445.2,438.1,440.9,440.9,1921264
2019-07-01T00:00,443.3,447.85,439.0,441.25,441.25,2091239
2019-06-28T00:00,450.95,455.3,442.0,443.35,443.35,1875368
2019-06-27T00:00,456.3,456.95,446.75,448.2,448.2,2011422
