Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,16.75,17.15,16.35,17.05,17.05,35566330
2019-09-12T00:00,16.95,17.1,16.45,16.7,16.7,48966895
2019-09-11T00:00,15.8,17.0,15.65,16.9,16.9,18399337
2019-09-09T00:00,15.6,15.85,15.4,15.8,15.8,7125757
2019-09-06T00:00,14.95,15.65,14.95,15.55,15.55,10090076
2019-09-05T00:00,14.75,15.0,14.7,14.9,14.9,10677975
2019-09-04T00:00,14.8,14.85,14.55,14.7,14.7,8238147
2019-09-03T00:00,15.0,15.0,14.7,14.8,14.8,18983709
2019-08-30T00:00,15.15,15.35,14.9,15.05,15.05,11954037
2019-08-29T00:00,15.2,15.3,14.75,15.1,15.1,25951683
2019-08-28T00:00,15.45,15.6,15.15,15.25,15.25,6463307
2019-08-27T00:00,15.25,15.7,15.2,15.45,15.45,18581085
2019-08-26T00:00,15.0,15.3,14.65,15.2,15.2,11257939
2019-08-23T00:00,14.75,15.1,14.45,14.95,14.95,24054836
2019-08-22T00:00,14.8,15.05,14.45,14.7,14.7,35282914
2019-08-21T00:00,15.2,15.25,14.6,14.7,14.7,13055059
2019-08-20T00:00,15.9,16.0,15.1,15.15,15.15,11904738
2019-08-19T00:00,15.25,16.2,15.1,15.9,15.9,20536116
2019-08-16T00:00,15.0,15.4,14.8,15.25,15.25,8272210
2019-08-14T00:00,15.0,15.1,14.7,15.05,15.05,6833370
2019-08-13T00:00,15.15,15.45,14.9,14.95,14.95,8105559
2019-08-09T00:00,14.9,15.5,14.85,15.15,15.15,10658464
2019-08-08T00:00,14.75,14.9,14.65,14.85,14.85,6104772
2019-08-07T00:00,14.8,14.95,14.65,14.75,14.75,5395152
2019-08-06T00:00,14.75,15.0,14.75,14.85,14.85,6970913
2019-08-05T00:00,14.85,15.0,14.6,14.75,14.75,23626278
2019-08-02T00:00,14.9,15.2,14.8,15.1,15.1,16865114
2019-08-01T00:00,14.95,15.25,14.8,15.0,15.0,25465414
2019-07-31T00:00,14.45,15.05,14.4,14.95,14.95,39072726
2019-07-30T00:00,14.6,14.8,14.3,14.45,14.45,32777643
2019-07-29T00:00,14.6,14.75,14.35,14.65,14.65,14394299
2019-07-26T00:00,14.6,14.75,14.5,14.65,14.65,8379443
2019-07-25T00:00,14.55,14.9,14.5,14.6,14.6,12530295
2019-07-24T00:00,14.8,14.85,14.4,14.5,14.5,19419904
2019-07-23T00:00,14.75,14.9,14.65,14.8,14.8,5713485
2019-07-22T00:00,14.75,14.85,14.55,14.75,14.75,7692672
2019-07-19T00:00,14.95,14.95,14.6,14.8,14.8,10022220
2019-07-18T00:00,15.0,15.15,14.7,14.85,14.85,9267276
2019-07-17T00:00,15.0,15.2,14.95,15.05,15.05,4829553
2019-07-16T00:00,15.0,15.1,14.95,15.05,15.05,2890753
2019-07-15T00:00,15.15,15.25,14.9,15.0,15.0,3575780
2019-07-12T00:00,15.1,15.25,15.0,15.1,15.1,4705811
2019-07-11T00:00,15.1,15.25,14.9,15.1,15.1,4697041
2019-07-10T00:00,15.4,15.4,15.0,15.05,15.05,6198754
2019-07-09T00:00,14.9,15.4,14.8,15.3,15.3,8500098
2019-07-08T00:00,15.0,15.1,14.55,15.05,15.05,16726319
2019-07-05T00:00,15.8,16.05,15.0,15.1,15.1,39198724
2019-07-04T00:00,15.1,15.25,15.05,15.1,15.1,4982805
2019-07-03T00:00,15.05,15.25,14.95,15.1,15.1,5459504
2019-07-02T00:00,15.15,15.15,14.8,15.05,15.05,14226562
2019-07-01T00:00,15.05,15.3,14.75,15.1,15.1,10645371
2019-06-28T00:00,15.3,15.3,14.7,14.9,14.9,21345507
2019-06-27T00:00,15.4,15.6,15.2,15.3,15.3,13790465
2019-06-26T00:00,15.2,15.7,15.15,15.35,15.35,19826642
2019-06-25T00:00,15.3,15.45,15.0,15.1,15.1,14871099
2019-06-24T00:00,15.45,15.6,15.25,15.35,15.35,5555927
2019-06-21T00:00,15.3,15.6,15.1,15.5,15.5,11458183
2019-06-20T00:00,14.6,15.4,14.55,15.3,15.3,20546891
2019-06-19T00:00,15.0,15.05,14.05,14.8,14.8,65758163
2019-06-18T00:00,14.95,15.2,14.65,14.85,14.85,13385760
2019-06-17T00:00,14.85,15.25,14.55,15.05,15.05,21177215
2019-06-14T00:00,15.1,15.1,14.7,14.8,14.8,12506656
2019-06-13T00:00,15.0,15.1,14.6,15.05,15.05,14715045
2019-06-12T00:00,15.0,15.2,14.85,14.95,14.95,9566752
2019-06-11T00:00,14.85,15.1,14.6,15.0,15.0,12987278
2019-06-10T00:00,14.8,14.95,14.6,14.75,14.75,13872131
2019-06-07T00:00,15.0,15.05,14.5,14.75,14.75,11113635
2019-06-06T00:00,15.4,15.4,14.8,14.95,14.95,19898072
2019-06-04T00:00,15.4,15.65,15.25,15.3,15.3,9105185
2019-06-03T00:00,15.55,15.65,15.2,15.4,15.4,11515811
2019-05-31T00:00,16.05,16.2,15.35,15.5,15.5,14460123
2019-05-30T00:00,16.05,16.5,15.7,16.05,16.05,23827886
2019-05-29T00:00,16.6,16.65,15.9,16.05,16.05,15088647
2019-05-28T00:00,17.1,17.2,16.55,16.65,16.65,20531926
2019-05-27T00:00,16.95,17.45,16.85,17.0,17.0,20187783
2019-05-24T00:00,15.95,16.9,15.85,16.8,16.8,15538307
2019-05-23T00:00,15.7,16.75,15.6,15.85,15.85,36572082
2019-05-22T00:00,15.45,15.55,15.2,15.4,15.4,10620518
2019-05-21T00:00,15.9,15.9,15.25,15.4,15.4,12665182
2019-05-20T00:00,15.55,16.1,15.55,15.7,15.7,21244187
2019-05-17T00:00,15.45,15.6,15.15,15.25,15.25,13725912
2019-05-16T00:00,15.45,15.5,15.15,15.35,15.35,14009459
2019-05-15T00:00,15.85,15.85,15.3,15.4,15.4,9840880
2019-05-14T00:00,15.25,15.9,14.9,15.8,15.8,27841831
2019-05-13T00:00,16.1,16.1,15.15,15.3,15.3,11409435
2019-05-10T00:00,16.0,16.3,15.85,16.1,16.1,7705137
2019-05-09T00:00,15.85,16.25,15.65,16.05,16.05,9317526
2019-05-08T00:00,16.0,16.15,15.7,15.85,15.85,9537037
2019-05-07T00:00,16.5,16.85,15.8,16.0,16.0,15953295
2019-05-06T00:00,16.45,16.6,16.25,16.4,16.4,6195624
2019-05-03T00:00,16.55,16.9,16.45,16.5,16.5,11471376
2019-05-02T00:00,16.6,16.95,16.55,16.75,16.75,10507102
2019-04-30T00:00,17.05,17.1,16.45,16.65,16.65,8603058
2019-04-26T00:00,17.15,17.2,16.8,16.95,16.95,14425204
2019-04-25T00:00,17.5,17.75,16.95,17.05,17.05,22816769
2019-04-24T00:00,17.6,17.7,17.35,17.4,17.4,14177837
2019-04-23T00:00,17.95,18.0,17.3,17.4,17.4,20702021
2019-04-22T00:00,18.3,18.3,17.75,17.8,17.8,10784248
2019-04-18T00:00,18.55,18.65,18.0,18.35,18.35,15684926
2019-04-16T00:00,18.6,18.8,18.4,18.55,18.55,9689072
