Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,0.0,723.45,704.15,721.9,721.9,1942923
2019-09-12T00:00,712.0,728.8,712.0,717.55,717.55,1805426
2019-09-11T00:00,708.5,716.5,706.8,711.5,711.5,1293216
2019-09-09T00:00,703.7,711.9,696.45,705.75,705.75,1043818
2019-09-06T00:00,702.15,711.45,699.65,703.7,703.7,1248530
2019-09-05T00:00,694.2,705.6,691.6,697.1,697.1,1185595
2019-09-04T00:00,698.0,701.9,688.5,694.05,694.05,1517327
2019-09-03T00:00,706.0,711.9,693.4,696.25,696.25,2353131
2019-08-30T00:00,713.0,716.0,699.05,710.95,710.95,1418816
2019-08-29T00:00,713.5,713.5,695.0,708.85,708.85,1512720
2019-08-28T00:00,725.45,732.7,708.1,713.5,713.5,1394469
2019-08-27T00:00,744.0,749.75,720.9,723.95,723.95,2227803
2019-08-26T00:00,724.3,741.0,705.1,737.3,737.3,1838549
2019-08-23T00:00,691.4,740.0,680.05,719.45,719.45,3098860
2019-08-22T00:00,691.9,708.8,681.25,688.55,688.55,2271012
2019-08-21T00:00,727.1,729.9,695.0,698.8,698.8,1959791
2019-08-20T00:00,738.0,738.25,719.85,729.25,729.25,1404475
2019-08-19T00:00,756.95,759.8,731.3,732.35,732.35,1629089
2019-08-16T00:00,725.1,757.35,719.25,752.25,752.25,2543244
2019-08-14T00:00,709.65,744.65,709.0,734.5,734.5,2951315
2019-08-13T00:00,748.0,750.0,705.7,709.65,709.65,1354220
2019-08-09T00:00,739.0,767.0,739.0,746.5,746.5,2039108
2019-08-08T00:00,739.0,742.85,716.1,737.45,737.45,2497125
2019-08-07T00:00,757.85,763.0,733.0,737.95,730.95,1631724
2019-08-06T00:00,742.4,770.4,740.0,761.5,754.2766,1513792
2019-08-05T00:00,772.9,772.9,746.65,749.45,742.3409,1098832
2019-08-02T00:00,772.0,786.85,751.05,778.0,770.6201,1926892
2019-08-01T00:00,777.0,783.0,764.35,774.55,767.2028,1034634
2019-07-31T00:00,760.0,791.7,756.5,788.35,780.8719,2571268
2019-07-30T00:00,791.0,817.0,758.0,762.55,755.3166,5210662
2019-07-29T00:00,874.0,875.95,789.15,795.65,788.1027,5673730
2019-07-26T00:00,870.05,879.9,867.05,874.95,866.6505,707596
2019-07-25T00:00,878.5,885.9,863.2,868.65,860.4103,969227
2019-07-24T00:00,880.0,885.65,866.1,878.45,870.1173,1003677
2019-07-23T00:00,892.5,898.45,878.8,883.5,875.1194,696883
2019-07-22T00:00,879.0,895.15,863.1,892.15,883.6873,897469
2019-07-19T00:00,915.0,925.0,875.0,879.95,871.603,1232651
2019-07-18T00:00,924.95,926.45,905.45,907.7,899.0898,692689
2019-07-17T00:00,929.4,939.0,921.45,926.7,917.9096,570804
2019-07-16T00:00,923.6,937.35,918.65,930.5,921.6735,1207966
2019-07-15T00:00,919.0,927.6,916.0,922.3,913.5513,665164
2019-07-12T00:00,920.0,927.85,911.25,916.05,907.3606,1140047
2019-07-11T00:00,919.9,924.65,909.65,919.25,910.5303,783442
2019-07-10T00:00,907.7,918.9,904.75,913.45,904.7853,990345
2019-07-09T00:00,887.0,913.5,882.5,910.95,902.309,1303425
2019-07-08T00:00,918.2,920.0,877.95,888.55,880.1215,1889892
2019-07-05T00:00,943.0,949.5,917.1,927.05,918.2562,1720225
2019-07-04T00:00,930.1,945.8,925.6,941.6,932.6682,1405857
2019-07-03T00:00,924.0,934.0,920.6,927.9,919.0982,1449541
2019-07-02T00:00,923.0,929.8,915.35,919.8,911.075,1027807
2019-07-01T00:00,919.5,926.0,905.45,920.0,911.2731,832301
2019-06-28T00:00,924.8,927.4,905.0,914.1,905.4291,1678795
2019-06-27T00:00,924.95,937.8,916.05,921.8,913.056,2075769
2019-06-26T00:00,897.1,920.0,897.1,919.15,910.4312,1829768
2019-06-25T00:00,886.55,906.45,877.05,902.15,893.5925,1020230
2019-06-24T00:00,900.6,909.3,880.0,886.65,878.2395,1069347
2019-06-21T00:00,896.05,913.8,893.75,897.75,889.2342,1827826
2019-06-20T00:00,876.15,905.6,870.0,900.8,892.2552,1415049
2019-06-19T00:00,883.0,888.4,872.85,882.05,873.6831,954317
2019-06-18T00:00,0.0,0.0,0.0,0.0,0.0,0
2019-06-17T00:00,897.1,900.0,873.8,879.35,871.0087,1482691
2019-06-14T00:00,904.0,906.6,892.9,899.0,890.4724,1850574
2019-06-13T00:00,884.0,907.5,869.7,904.6,896.0192,1516431
2019-06-12T00:00,886.0,895.95,877.3,888.3,879.8738,821912
2019-06-11T00:00,884.95,895.8,876.5,890.1,881.6567,1278396
2019-06-10T00:00,876.8,884.45,864.85,880.95,872.5936,1270546
2019-06-07T00:00,872.0,877.35,856.95,871.45,863.1837,1244825
2019-06-06T00:00,889.9,889.9,852.35,869.55,861.3017,2884482
2019-06-04T00:00,890.0,903.9,883.3,886.5,878.0909,997897
2019-06-03T00:00,890.1,896.9,885.0,895.05,886.5598,1327630
2019-05-31T00:00,912.5,913.0,878.8,886.1,877.6947,2989460
2019-05-30T00:00,912.0,919.8,898.7,911.45,902.8043,2245342
2019-05-29T00:00,911.0,915.5,901.55,910.5,901.8632,1351790
2019-05-28T00:00,938.0,938.0,907.75,910.95,902.309,5213864
2019-05-27T00:00,905.0,959.8,896.55,935.3,926.428,3423163
2019-05-24T00:00,892.05,914.55,878.0,910.05,901.4175,2194830
2019-05-23T00:00,872.0,905.7,861.55,886.55,878.1404,3420575
2019-05-22T00:00,868.6,868.6,849.0,857.35,849.2174,1361942
2019-05-21T00:00,902.7,902.7,862.0,865.6,857.3892,1265452
2019-05-20T00:00,843.0,894.0,843.0,890.3,881.8549,1949145
2019-05-17T00:00,819.0,833.6,814.3,828.95,821.0869,1774033
2019-05-16T00:00,815.0,826.7,804.85,820.1,812.3207,1463357
2019-05-15T00:00,846.0,847.0,810.1,814.8,807.071,1299508
2019-05-14T00:00,840.15,851.25,817.7,845.55,837.5294,1341517
2019-05-13T00:00,854.3,854.4,833.35,837.95,830.0015,652682
2019-05-10T00:00,874.95,875.0,853.3,857.6,849.465,633012
2019-05-09T00:00,864.0,873.0,857.05,869.0,860.7569,854077
2019-05-08T00:00,874.8,879.8,862.0,870.95,862.6884,1170460
2019-05-07T00:00,900.0,906.9,865.5,872.35,864.0751,1375348
2019-05-06T00:00,888.75,898.5,885.35,896.55,888.0456,872860
2019-05-03T00:00,900.0,909.95,881.55,898.65,890.1257,1083056
2019-05-02T00:00,900.0,907.15,891.35,899.3,890.7695,1021401
2019-04-30T00:00,918.0,923.8,896.75,901.2,892.6515,1444739
2019-04-26T00:00,926.45,934.0,898.1,913.45,904.7853,2545038
2019-04-25T00:00,876.1,940.0,876.1,924.8,916.0276,7135560
2019-04-24T00:00,867.5,887.0,849.6,880.55,872.1973,1831558
2019-04-23T00:00,864.0,873.8,856.3,869.45,861.2026,1220925
2019-04-22T00:00,866.5,871.4,855.1,863.9,855.7053,871986
2019-04-18T00:00,887.4,887.9,861.6,867.25,859.0235,1047651
2019-04-16T00:00,869.9,885.0,866.05,883.55,875.1689,1633282
