Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,0.0,681.5,662.55,673.1,673.1,1294067
2019-09-12T00:00,668.9,673.0,665.65,669.3,669.3,747885
2019-09-11T00:00,660.8,667.3,653.45,665.1,665.1,1408705
2019-09-09T00:00,661.0,662.95,655.5,660.8,660.8,898804
2019-09-06T00:00,653.0,665.35,653.0,659.85,659.85,751108
2019-09-05T00:00,637.0,654.65,636.8,651.9,651.9,982353
2019-09-04T00:00,654.0,658.55,627.7,636.0,636.0,1741506
2019-09-03T00:00,673.6,673.6,649.0,652.6,652.6,890541
2019-08-30T00:00,664.95,684.5,662.5,679.05,679.05,1109302
2019-08-29T00:00,662.0,676.7,654.5,664.55,664.55,1777130
2019-08-28T00:00,663.5,671.85,660.0,666.2,666.2,999474
2019-08-27T00:00,666.0,670.0,652.0,660.45,660.45,1768474
2019-08-26T00:00,665.0,672.5,635.45,652.75,652.75,1858199
2019-08-23T00:00,658.0,659.4,629.0,647.2,647.2,1669934
2019-08-22T00:00,647.5,665.0,643.35,657.2,657.2,1541113
2019-08-21T00:00,680.3,687.0,641.5,650.65,650.65,2521998
2019-08-20T00:00,666.0,686.8,666.0,677.2,677.2,3208690
2019-08-19T00:00,653.8,671.95,649.0,663.7,663.7,1048662
2019-08-16T00:00,652.9,661.5,648.0,651.35,651.35,932235
2019-08-14T00:00,650.0,659.5,642.3,654.55,654.55,735271
2019-08-13T00:00,655.8,665.6,644.4,647.9,647.9,543712
2019-08-09T00:00,660.0,668.95,653.25,656.95,656.95,1126655
2019-08-08T00:00,648.0,661.95,640.3,656.3,656.3,1157834
2019-08-07T00:00,648.75,651.75,637.25,644.55,644.55,899989
2019-08-06T00:00,633.0,650.05,632.0,646.85,646.85,1476032
2019-08-05T00:00,640.0,641.7,623.25,634.65,634.65,1746630
2019-08-02T00:00,640.0,652.5,633.6,646.1,646.1,1138191
2019-08-01T00:00,640.6,654.0,638.35,647.75,647.75,1742201
2019-07-31T00:00,633.45,649.35,622.65,645.3,645.3,1430832
2019-07-30T00:00,659.95,663.8,626.05,636.35,636.35,3626875
2019-07-29T00:00,674.85,680.0,647.05,665.35,665.35,5803699
2019-07-26T00:00,689.0,704.0,678.5,698.25,698.25,1731276
2019-07-25T00:00,695.8,698.7,688.1,691.45,691.45,990859
2019-07-24T00:00,711.8,716.65,687.05,695.8,695.8,1865065
2019-07-23T00:00,722.0,724.95,708.2,713.85,713.85,1130636
2019-07-22T00:00,710.05,726.05,706.55,722.7,722.7,687666
2019-07-19T00:00,718.2,722.7,705.1,717.05,717.05,1223141
2019-07-18T00:00,726.15,734.3,712.95,717.55,717.55,1120030
2019-07-17T00:00,735.95,735.95,728.0,729.85,725.35,864861
2019-07-16T00:00,719.0,737.75,715.45,736.2,731.6609,1572980
2019-07-15T00:00,713.0,720.9,706.3,719.15,714.716,894955
2019-07-12T00:00,719.05,721.75,709.5,710.45,706.0696,1494283
2019-07-11T00:00,730.9,732.6,704.3,719.1,714.6663,3290480
2019-07-10T00:00,741.8,742.0,720.0,726.55,722.0704,1930823
2019-07-09T00:00,750.0,752.0,724.0,738.85,734.2945,1790858
2019-07-08T00:00,761.5,761.95,742.15,746.55,741.947,2175311
2019-07-05T00:00,788.45,788.45,762.75,765.55,760.8299,1832108
2019-07-04T00:00,794.0,794.0,781.7,783.8,778.9673,924125
2019-07-03T00:00,794.0,794.9,785.15,790.45,785.5764,644218
2019-07-02T00:00,787.0,796.0,781.35,791.0,786.123,649068
2019-07-01T00:00,790.9,797.5,783.4,787.05,782.1973,1283928
2019-06-28T00:00,795.0,806.85,782.65,786.15,781.3029,2058566
2019-06-27T00:00,792.0,797.0,784.05,794.4,789.5021,1279424
2019-06-26T00:00,782.8,795.9,778.6,788.15,783.2906,894834
2019-06-25T00:00,782.55,786.25,766.75,783.95,779.1165,847570
2019-06-24T00:00,781.3,791.35,781.0,785.4,780.5576,770379
2019-06-21T00:00,785.75,790.8,775.55,786.15,781.3029,1056822
2019-06-20T00:00,780.2,788.0,776.0,785.75,780.9053,776309
2019-06-19T00:00,775.15,788.0,775.15,784.0,779.1661,871474
2019-06-18T00:00,766.0,777.15,763.05,774.45,769.675,769415
2019-06-17T00:00,777.0,777.0,768.3,771.05,766.296,709196
2019-06-14T00:00,783.3,784.2,774.9,777.75,772.9547,833824
2019-06-13T00:00,781.0,786.75,777.2,783.5,778.6693,762234
2019-06-12T00:00,789.0,789.0,775.55,781.9,777.0791,1322564
2019-06-11T00:00,790.25,796.8,786.1,792.75,787.8622,900879
2019-06-10T00:00,789.55,797.4,787.7,792.05,787.1665,1193650
2019-06-07T00:00,778.3,793.65,773.0,788.65,783.7875,1545527
2019-06-06T00:00,777.1,787.75,768.5,781.25,776.4331,1696697
2019-06-04T00:00,762.0,786.4,762.0,779.9,775.0914,1967107
2019-06-03T00:00,749.8,772.0,743.45,769.95,765.2028,1983755
2019-05-31T00:00,722.25,752.0,722.25,747.95,743.3384,2684803
2019-05-30T00:00,732.0,733.0,709.2,720.4,715.9583,3946788
2019-05-29T00:00,723.0,737.85,713.85,730.95,726.4432,5535514
2019-05-28T00:00,733.0,735.45,720.0,723.75,719.2877,2310127
2019-05-27T00:00,741.0,743.7,731.1,733.9,729.3751,1366286
2019-05-24T00:00,752.85,754.9,739.1,743.55,738.9655,1289373
2019-05-23T00:00,762.55,768.95,738.15,751.5,746.8665,2408480
2019-05-22T00:00,758.25,765.5,748.1,755.55,750.8915,1314488
2019-05-21T00:00,758.0,766.75,754.0,757.9,753.2271,1326127
2019-05-20T00:00,747.0,758.9,737.75,755.55,750.8915,1914254
2019-05-17T00:00,724.8,739.0,723.0,734.55,730.0211,2154835
2019-05-16T00:00,722.25,727.65,713.5,725.2,720.7287,1334637
2019-05-15T00:00,723.6,728.9,717.65,721.15,716.7037,1162137
2019-05-14T00:00,735.95,735.95,717.1,723.5,719.0392,1345068
2019-05-13T00:00,731.9,739.0,728.5,732.25,727.7352,504109
2019-05-10T00:00,735.0,742.55,725.25,739.0,734.4436,1193585
2019-05-09T00:00,727.55,745.7,724.65,741.7,737.127,769103
2019-05-08T00:00,739.75,739.9,724.8,734.15,729.6235,1053351
2019-05-07T00:00,752.5,754.7,735.1,739.1,734.543,1054648
2019-05-06T00:00,750.0,767.85,745.0,751.0,746.3696,928783
2019-05-03T00:00,766.25,774.35,765.55,770.3,765.5506,814205
2019-05-02T00:00,778.8,778.85,765.0,771.0,766.2463,1287836
2019-04-30T00:00,760.0,778.25,760.0,774.65,769.8738,827106
2019-04-26T00:00,778.0,778.0,760.2,766.8,762.0722,334371
2019-04-25T00:00,778.1,780.5,770.5,772.9,768.1346,1084251
2019-04-24T00:00,765.0,776.0,759.0,774.05,769.2775,1637003
2019-04-23T00:00,762.55,766.0,755.0,761.5,756.8049,648985
2019-04-22T00:00,757.5,764.0,754.0,761.45,756.7552,784837
2019-04-18T00:00,751.15,767.6,751.15,757.7,753.0283,1341325
2019-04-16T00:00,756.0,760.25,751.35,758.15,753.4756,1088041
