Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,0.0,29.45,27.45,28.85,28.85,8059923
2019-09-12T00:00,28.4,28.95,27.85,28.25,28.25,5970430
2019-09-11T00:00,27.95,28.8,27.75,28.3,28.3,5318779
2019-09-09T00:00,27.8,28.15,27.15,28.0,28.0,5511760
2019-09-06T00:00,27.6,28.15,27.2,27.85,27.85,7484781
2019-09-05T00:00,27.2,27.95,26.35,27.35,27.35,10382497
2019-09-04T00:00,28.8,28.8,26.9,27.05,27.05,15774305
2019-09-03T00:00,26.8,30.65,26.05,28.75,28.75,23604631
2019-08-30T00:00,26.0,27.0,25.8,26.8,26.8,7186758
2019-08-29T00:00,26.5,26.7,25.7,26.1,26.1,8269439
2019-08-28T00:00,28.5,28.7,26.0,26.75,26.75,19404546
2019-08-27T00:00,28.2,30.5,27.65,29.55,29.55,15973827
2019-08-26T00:00,26.3,28.35,24.9,28.05,28.05,20856697
2019-08-23T00:00,24.4,25.2,23.65,24.7,24.7,6711554
2019-08-22T00:00,25.2,25.35,24.05,24.45,24.45,4736522
2019-08-21T00:00,26.5,26.5,25.15,25.4,25.4,8770984
2019-08-20T00:00,27.75,27.8,26.15,26.7,26.7,10554458
2019-08-19T00:00,24.85,28.45,24.85,27.95,27.95,22083774
2019-08-16T00:00,24.6,25.5,23.95,24.9,24.9,19838462
2019-08-14T00:00,26.8,27.5,26.6,27.2,27.2,4701570
2019-08-13T00:00,27.3,27.45,26.6,26.75,26.75,3563436
2019-08-09T00:00,27.9,28.3,27.0,27.4,27.4,5347647
2019-08-08T00:00,27.2,28.0,26.65,27.75,27.75,5906800
2019-08-07T00:00,28.05,28.2,26.5,27.4,27.4,5626542
2019-08-06T00:00,27.8,28.65,27.75,28.2,28.2,7625839
2019-08-05T00:00,27.5,28.75,26.6,28.15,28.15,10780904
2019-08-02T00:00,28.0,28.9,27.5,28.1,28.1,8925512
2019-08-01T00:00,27.55,28.65,27.05,28.25,28.25,7668523
2019-07-31T00:00,27.2,28.4,26.5,27.8,27.8,13932119
2019-07-30T00:00,30.15,30.35,27.2,27.6,27.6,12489481
2019-07-29T00:00,31.3,31.3,30.0,30.15,30.15,4409915
2019-07-26T00:00,30.65,32.5,30.2,31.15,31.15,7786552
2019-07-25T00:00,31.95,31.95,30.0,30.8,30.8,9328187
2019-07-24T00:00,32.65,33.3,31.6,31.8,31.8,9514098
2019-07-23T00:00,33.35,33.55,32.25,32.7,32.7,4552660
2019-07-22T00:00,33.6,34.1,33.0,33.4,33.4,4525932
2019-07-19T00:00,34.45,34.8,33.65,33.95,33.95,4202982
2019-07-18T00:00,35.0,35.05,34.3,34.45,34.45,2088363
2019-07-17T00:00,34.8,35.4,34.3,35.2,35.2,3785194
2019-07-16T00:00,34.6,35.45,34.45,35.0,35.0,3849340
2019-07-15T00:00,35.0,35.15,34.2,34.7,34.7,2672661
2019-07-12T00:00,34.85,35.5,34.55,34.95,34.95,2500996
2019-07-11T00:00,34.45,35.45,34.2,34.9,34.9,4969214
2019-07-10T00:00,34.9,35.3,34.15,34.45,34.45,4008700
2019-07-09T00:00,34.3,35.0,33.9,34.75,34.75,4516154
2019-07-08T00:00,35.5,35.65,33.9,34.25,34.25,6110689
2019-07-05T00:00,37.6,37.7,35.5,35.95,35.95,6666453
2019-07-04T00:00,36.95,37.85,36.8,37.65,37.65,7015717
2019-07-03T00:00,36.15,37.2,36.1,36.95,36.95,6825602
2019-07-02T00:00,35.9,36.4,35.25,36.15,36.15,6832773
2019-07-01T00:00,35.6,36.2,35.0,35.95,35.95,6141429
2019-06-28T00:00,35.85,37.5,35.25,35.5,35.5,12052180
2019-06-27T00:00,35.8,36.65,35.3,35.85,35.85,9571772
2019-06-26T00:00,35.1,36.35,35.0,36.05,36.05,9762231
2019-06-25T00:00,34.4,36.7,34.0,35.15,35.15,12653250
2019-06-24T00:00,34.7,35.4,34.1,34.4,34.4,3523077
2019-06-21T00:00,34.1,34.8,33.8,34.6,34.6,2719481
2019-06-20T00:00,33.75,34.45,33.55,34.3,34.3,3688825
2019-06-19T00:00,35.0,35.3,33.7,34.0,34.0,3168213
2019-06-18T00:00,35.3,35.35,34.6,34.8,34.8,2475719
2019-06-17T00:00,35.7,35.9,34.7,35.15,35.15,5169936
2019-06-14T00:00,36.05,36.5,35.5,35.8,35.8,8856665
2019-06-13T00:00,36.35,36.6,35.25,36.1,36.1,6945430
2019-06-12T00:00,36.5,36.75,36.0,36.45,36.45,7136704
2019-06-11T00:00,36.7,37.45,36.15,36.9,36.9,5496843
2019-06-10T00:00,37.25,37.85,36.1,36.45,36.45,4961706
2019-06-07T00:00,37.6,37.6,36.0,36.7,36.7,6725225
2019-06-06T00:00,39.65,39.65,36.75,37.3,37.3,15454314
2019-06-04T00:00,36.55,40.7,36.55,39.7,39.7,28869821
2019-06-03T00:00,37.6,37.9,36.5,36.85,36.85,6499164
2019-05-31T00:00,37.5,38.1,36.2,37.6,37.6,14186113
2019-05-30T00:00,36.8,38.3,36.6,38.0,38.0,6233955
2019-05-29T00:00,38.15,38.2,36.3,36.9,36.9,4149847
2019-05-28T00:00,37.95,38.25,37.3,37.85,37.85,8110483
2019-05-27T00:00,37.4,38.35,37.1,37.8,37.8,6290025
2019-05-24T00:00,36.6,37.6,36.3,37.4,37.4,6788832
2019-05-23T00:00,37.5,38.25,35.85,36.15,36.15,15056367
2019-05-22T00:00,35.55,36.9,34.65,36.55,36.55,12574403
2019-05-21T00:00,37.8,37.95,35.2,35.45,35.45,6025909
2019-05-20T00:00,35.1,38.0,35.1,37.6,37.6,6995445
2019-05-17T00:00,34.5,35.0,33.7,34.4,34.4,4124102
2019-05-16T00:00,34.55,34.85,33.9,34.45,34.45,3228985
2019-05-15T00:00,36.35,36.45,34.2,34.4,34.4,5740945
2019-05-14T00:00,33.9,36.75,33.25,36.3,36.3,9015221
2019-05-13T00:00,37.15,37.15,34.25,34.45,34.45,6277464
2019-05-10T00:00,37.6,38.4,36.75,37.25,37.25,5233900
2019-05-09T00:00,36.65,37.75,36.65,37.45,37.45,4172940
2019-05-08T00:00,37.4,37.55,36.75,37.05,37.05,3990622
2019-05-07T00:00,38.7,38.95,37.05,37.25,37.25,4297219
2019-05-06T00:00,39.4,39.85,38.3,38.6,38.6,4017719
2019-05-03T00:00,40.05,40.55,39.4,39.95,39.95,4704049
2019-05-02T00:00,39.1,40.65,39.0,40.05,40.05,4686712
2019-04-30T00:00,42.7,42.75,39.1,39.35,39.35,11608561
2019-04-26T00:00,44.05,44.4,42.35,42.85,42.85,7717077
2019-04-25T00:00,43.25,44.1,43.0,43.8,43.8,6664970
2019-04-24T00:00,42.5,43.5,42.15,43.25,43.25,4866342
2019-04-23T00:00,43.0,43.0,42.1,42.45,42.45,4771397
2019-04-22T00:00,43.3,43.3,42.3,42.5,42.5,5521798
2019-04-18T00:00,44.0,44.15,43.15,43.3,43.3,3123982
2019-04-16T00:00,44.1,44.45,43.8,43.95,43.95,2507082
