Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,5.55,5.6,5.25,5.4,5.4,73158902
2019-09-12T00:00,5.8,6.05,5.45,5.55,5.55,110173392
2019-09-11T00:00,5.35,5.85,5.35,5.75,5.75,108222094
2019-09-09T00:00,5.2,5.4,5.1,5.3,5.3,56036851
2019-09-06T00:00,5.1,5.4,5.1,5.15,5.15,66907745
2019-09-05T00:00,5.05,5.2,4.95,5.1,5.1,56157581
2019-09-04T00:00,5.15,5.2,4.9,5.0,5.0,53057113
2019-09-03T00:00,5.4,5.4,5.05,5.1,5.1,58510935
2019-08-30T00:00,4.9,5.45,4.9,5.35,5.35,126453633
2019-08-29T00:00,5.0,5.3,4.8,4.85,4.85,163803711
2019-08-28T00:00,5.3,5.35,4.95,5.0,5.0,153324776
2019-08-27T00:00,5.6,5.75,5.2,5.3,5.3,154864384
2019-08-26T00:00,5.85,6.05,5.25,5.5,5.5,154474776
2019-08-23T00:00,5.2,5.9,5.0,5.75,5.75,138118662
2019-08-22T00:00,5.55,5.75,5.2,5.3,5.3,132541611
2019-08-21T00:00,5.8,5.8,5.5,5.6,5.6,84350479
2019-08-20T00:00,5.95,6.2,5.45,5.85,5.85,154625376
2019-08-19T00:00,6.4,6.45,5.85,6.0,6.0,131624842
2019-08-16T00:00,5.65,6.85,5.4,6.45,6.45,253502013
2019-08-14T00:00,5.1,5.8,5.05,5.65,5.65,137424280
2019-08-13T00:00,5.4,5.45,4.8,5.0,5.0,169808065
2019-08-09T00:00,5.7,5.95,5.3,5.35,5.35,137510852
2019-08-08T00:00,5.3,5.8,5.2,5.65,5.65,151450330
2019-08-07T00:00,5.6,5.6,5.1,5.35,5.35,134873257
2019-08-06T00:00,5.9,6.05,5.5,5.65,5.65,141607241
2019-08-05T00:00,6.25,6.25,5.9,6.0,6.0,101217920
2019-08-02T00:00,6.6,6.7,6.2,6.35,6.35,138890327
2019-08-01T00:00,6.9,6.95,6.45,6.65,6.65,115818792
2019-07-31T00:00,6.85,7.1,6.6,6.85,6.85,157323663
2019-07-30T00:00,6.85,7.05,6.0,6.5,6.5,371103251
2019-07-29T00:00,8.75,8.9,6.55,6.75,6.75,669682147
2019-07-26T00:00,9.7,10.0,9.1,9.25,9.25,86263682
2019-07-25T00:00,9.95,10.15,9.65,9.7,9.7,75424647
2019-07-24T00:00,10.5,10.65,9.85,9.95,9.95,117809888
2019-07-23T00:00,10.85,10.95,10.45,10.55,10.55,65505254
2019-07-22T00:00,10.9,11.0,10.65,10.75,10.75,43637335
2019-07-19T00:00,11.45,11.55,10.7,10.95,10.95,80656229
2019-07-18T00:00,11.95,11.95,11.2,11.3,11.3,41704209
2019-07-17T00:00,11.75,12.5,11.65,11.95,11.95,57441442
2019-07-16T00:00,11.85,11.9,11.55,11.8,11.8,27234136
2019-07-15T00:00,11.7,12.0,11.65,11.75,11.75,24805672
2019-07-12T00:00,11.65,12.05,11.55,11.7,11.7,31470511
2019-07-11T00:00,11.3,11.8,11.25,11.65,11.65,30842594
2019-07-10T00:00,11.35,11.5,11.2,11.25,11.25,33210775
2019-07-09T00:00,11.4,11.55,11.25,11.35,11.35,34589764
2019-07-08T00:00,11.95,11.95,11.4,11.45,11.45,49904183
2019-07-05T00:00,12.3,12.55,11.9,12.0,12.0,59585610
2019-07-04T00:00,11.95,13.15,11.8,12.35,12.35,142320663
2019-07-03T00:00,11.7,12.0,11.6,11.95,11.95,29759766
2019-07-02T00:00,12.05,12.1,11.6,11.7,11.7,36003888
2019-07-01T00:00,12.1,12.15,11.8,12.0,12.0,33179163
2019-06-28T00:00,12.3,12.4,12.05,12.15,12.15,36562073
2019-06-27T00:00,12.3,12.65,12.15,12.35,12.35,156191134
2019-06-26T00:00,12.05,12.45,12.0,12.35,12.35,50150199
2019-06-25T00:00,12.0,12.3,11.85,12.1,12.1,34910618
2019-06-24T00:00,12.15,12.25,11.95,12.1,12.1,36858260
2019-06-21T00:00,11.9,12.4,11.75,12.15,12.15,71979075
2019-06-20T00:00,11.3,11.95,11.25,11.9,11.9,33264078
2019-06-19T00:00,11.95,12.25,11.1,11.4,11.4,50447027
2019-06-18T00:00,12.0,12.1,11.8,11.95,11.95,37194394
2019-06-17T00:00,12.45,12.45,12.0,12.1,12.1,34319913
2019-06-14T00:00,12.85,12.9,12.3,12.5,12.5,35801366
2019-06-13T00:00,12.8,13.05,12.75,12.9,12.9,32447299
2019-06-12T00:00,13.15,13.2,12.8,12.85,12.85,22813410
2019-06-11T00:00,12.95,13.25,12.6,13.15,13.15,43370155
2019-06-10T00:00,13.3,13.55,12.65,12.8,12.8,49800929
2019-06-07T00:00,13.45,13.55,13.2,13.4,13.4,35136898
2019-06-06T00:00,13.9,14.0,13.2,13.45,13.45,69427339
2019-06-04T00:00,14.05,14.4,13.8,13.85,13.85,64187215
2019-06-03T00:00,13.95,14.15,13.8,14.0,14.0,55031122
2019-05-31T00:00,13.6,14.05,13.45,13.95,13.95,151171664
2019-05-30T00:00,13.2,13.65,12.95,13.3,13.3,273542405
2019-05-29T00:00,13.7,13.75,13.15,13.2,13.2,50735753
2019-05-28T00:00,13.05,13.8,13.0,13.65,13.65,170049972
2019-05-27T00:00,12.65,13.25,12.6,13.05,13.05,99540754
2019-05-24T00:00,12.85,13.25,12.55,12.85,12.85,91577582
2019-05-23T00:00,12.3,13.0,12.25,12.75,12.75,132685065
2019-05-22T00:00,11.85,12.3,11.5,12.15,12.15,133499642
2019-05-21T00:00,12.6,12.65,11.7,11.8,11.8,94310446
2019-05-20T00:00,12.25,13.0,11.8,12.55,12.55,137707027
2019-05-17T00:00,12.4,12.45,11.6,11.85,11.85,180983160
2019-05-16T00:00,13.0,13.0,12.05,12.2,12.2,161982330
2019-05-15T00:00,14.05,14.15,12.8,12.9,12.9,148791000
2019-05-14T00:00,14.45,14.55,13.0,14.0,14.0,243253187
2019-05-13T00:00,14.05,15.0,14.05,14.45,14.45,200282034
2019-05-10T00:00,14.3,14.3,13.55,14.05,14.05,229057148
2019-05-09T00:00,14.2,14.5,13.95,14.3,14.3,157917034
2019-05-08T00:00,15.4,15.4,13.65,14.3,14.3,240357694
2019-05-07T00:00,16.4,16.6,15.5,15.6,15.6,36753133
2019-05-06T00:00,17.15,17.15,16.25,16.35,16.35,45839027
2019-05-03T00:00,16.25,16.5,15.9,16.15,16.15,26630328
2019-05-02T00:00,15.35,16.55,15.15,16.2,16.2,62636435
2019-04-30T00:00,16.1,16.2,15.25,15.45,15.45,33729371
2019-04-26T00:00,16.75,16.85,16.05,16.25,16.25,35364872
2019-04-25T00:00,16.75,17.25,16.3,16.85,16.85,69215591
2019-04-24T00:00,17.25,17.75,17.0,17.15,17.15,52632586
2019-04-23T00:00,17.15,17.25,16.85,17.05,17.05,34255032
2019-04-22T00:00,17.35,17.4,16.85,17.15,17.15,55102622
2019-04-18T00:00,18.1,18.15,16.95,17.25,17.25,73204505
2019-04-16T00:00,17.0,18.15,16.75,17.95,17.95,119864982
