Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,43.2,43.3,41.55,42.3,42.3,20822260
2019-09-12T00:00,43.9,44.35,42.9,43.15,43.15,16906131
2019-09-11T00:00,43.1,44.15,43.0,43.85,43.85,11140259
2019-09-09T00:00,43.0,43.3,42.55,43.15,43.15,8626137
2019-09-06T00:00,43.05,43.15,42.7,42.95,42.95,8867672
2019-09-05T00:00,42.75,43.25,42.55,42.9,42.9,10716116
2019-09-04T00:00,42.75,43.05,42.15,42.7,42.7,13115703
2019-09-03T00:00,43.05,43.4,42.35,43.0,43.0,15600945
2019-08-30T00:00,43.0,43.95,42.15,43.55,43.55,12953499
2019-08-29T00:00,42.0,43.45,41.7,43.0,43.0,15200063
2019-08-28T00:00,43.3,43.55,41.85,42.15,42.15,20933529
2019-08-27T00:00,43.9,44.2,43.1,43.25,43.25,15537047
2019-08-26T00:00,44.0,44.6,42.5,43.3,43.3,20858682
2019-08-23T00:00,43.0,44.0,41.7,43.5,43.5,17691784
2019-08-22T00:00,43.35,43.4,42.4,43.0,43.0,17864835
2019-08-21T00:00,44.75,44.8,43.3,43.45,43.45,12750198
2019-08-20T00:00,45.4,45.7,44.1,44.9,44.9,11037248
2019-08-19T00:00,46.0,46.75,45.1,45.45,45.45,14219593
2019-08-16T00:00,44.0,46.05,43.5,45.75,45.75,20583633
2019-08-14T00:00,43.15,44.45,42.75,44.3,44.3,12784523
2019-08-13T00:00,44.3,44.35,42.6,43.15,43.15,11314837
2019-08-09T00:00,42.75,44.55,42.5,44.35,44.35,20393917
2019-08-08T00:00,41.45,42.7,41.0,42.45,42.45,12322412
2019-08-07T00:00,41.55,42.5,41.1,41.35,41.35,13943998
2019-08-06T00:00,40.85,41.9,40.7,41.7,41.7,10386246
2019-08-05T00:00,40.95,41.5,39.6,41.1,41.1,17114883
2019-08-02T00:00,41.1,42.0,40.2,41.35,41.35,14145421
2019-08-01T00:00,41.95,42.4,40.6,41.55,41.55,14217805
2019-07-31T00:00,39.4,42.25,39.2,41.95,41.95,18874189
2019-07-30T00:00,41.55,41.95,39.6,39.8,39.8,15736314
2019-07-29T00:00,42.6,42.6,41.2,41.5,41.5,12814840
2019-07-26T00:00,38.55,42.95,38.55,42.35,42.35,43186274
2019-07-25T00:00,37.0,40.3,36.0,38.95,38.95,57402700
2019-07-24T00:00,38.85,39.0,37.3,37.6,37.6,24522959
2019-07-23T00:00,40.3,40.5,38.9,39.05,39.05,19318481
2019-07-22T00:00,40.15,40.5,39.4,40.15,40.15,15301508
2019-07-19T00:00,41.95,42.2,40.0,40.25,40.25,12143838
2019-07-18T00:00,42.9,43.0,41.6,41.8,41.8,11022699
2019-07-17T00:00,42.15,43.4,42.05,43.2,43.2,9498592
2019-07-16T00:00,42.4,42.5,41.75,42.05,42.05,7672664
2019-07-15T00:00,43.0,43.25,41.95,42.35,42.35,8494747
2019-07-12T00:00,42.85,43.3,42.45,43.1,43.1,6245648
2019-07-11T00:00,43.15,43.15,42.4,42.75,42.75,5974172
2019-07-10T00:00,42.85,43.5,42.3,42.65,42.65,9916305
2019-07-09T00:00,42.0,43.25,40.3,42.95,42.95,9672354
2019-07-08T00:00,43.1,43.45,41.8,42.1,42.1,10423871
2019-07-05T00:00,45.2,45.2,43.2,43.4,43.4,10220173
2019-07-04T00:00,45.25,45.75,44.7,45.0,45.0,9291774
2019-07-03T00:00,44.45,45.35,44.2,44.95,44.95,8489217
2019-07-02T00:00,44.6,44.8,43.6,44.4,44.4,8480158
2019-07-01T00:00,43.5,44.45,43.45,44.25,44.25,6960150
2019-06-28T00:00,42.9,43.5,42.7,43.25,43.25,6499934
2019-06-27T00:00,42.85,43.15,42.55,42.9,42.9,12509150
2019-06-26T00:00,42.1,43.05,42.1,42.85,42.85,8572859
2019-06-25T00:00,42.2,42.6,41.9,42.45,42.45,5297710
2019-06-24T00:00,42.4,42.65,42.05,42.4,42.4,4799647
2019-06-21T00:00,42.05,42.9,41.6,42.4,42.4,12427635
2019-06-20T00:00,40.5,42.3,40.05,42.1,42.1,10814263
2019-06-19T00:00,41.2,41.8,39.8,40.5,40.5,12784085
2019-06-18T00:00,41.25,41.75,40.65,40.95,40.95,8648911
2019-06-17T00:00,41.8,41.85,41.05,41.4,41.4,7047036
2019-06-14T00:00,42.05,42.65,41.5,41.8,41.8,6572973
