Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,0.0,831.05,817.5,829.3,829.3,4831358
2019-09-12T00:00,816.4,819.85,810.85,816.4,816.4,4400010
2019-09-11T00:00,822.3,828.55,814.15,820.1,820.1,7981036
2019-09-09T00:00,836.8,840.3,827.55,829.1,829.1,4377870
2019-09-06T00:00,843.3,847.0,835.05,840.15,840.15,6106841
2019-09-05T00:00,830.1,837.5,826.65,834.05,834.05,7926895
2019-09-04T00:00,810.75,822.45,810.25,821.3,821.3,6199015
2019-09-03T00:00,815.0,822.4,812.05,814.25,814.25,5647088
2019-08-30T00:00,810.0,817.35,802.0,814.9,814.9,8174186
2019-08-29T00:00,795.5,809.7,795.5,806.95,806.95,7830413
2019-08-28T00:00,787.4,805.0,786.3,802.5,802.5,5881134
2019-08-27T00:00,791.0,794.95,781.1,784.65,784.65,16061642
2019-08-26T00:00,795.9,806.8,786.9,802.55,802.55,5412074
2019-08-23T00:00,796.45,809.95,795.8,802.2,802.2,6895015
2019-08-22T00:00,799.9,801.3,792.35,795.7,795.7,5222488
2019-08-21T00:00,793.0,803.75,793.0,799.45,799.45,5926896
2019-08-20T00:00,785.2,798.0,783.85,792.75,792.75,8435344
2019-08-19T00:00,775.6,783.0,773.35,777.65,777.65,3881451
2019-08-16T00:00,780.0,780.05,762.5,774.55,774.55,5128088
2019-08-14T00:00,775.1,778.25,768.0,774.8,774.8,5940968
2019-08-13T00:00,784.15,786.0,760.15,764.75,764.75,7517099
2019-08-09T00:00,792.0,796.75,784.8,789.85,789.85,4362520
2019-08-08T00:00,782.7,792.75,781.25,788.75,788.75,8009009
2019-08-07T00:00,778.9,783.45,772.35,776.1,776.1,5130457
2019-08-06T00:00,778.8,783.7,769.8,774.45,774.45,9331718
2019-08-05T00:00,772.6,785.9,768.65,776.7,776.7,9976238
2019-08-02T00:00,765.05,779.9,762.25,775.6,775.6,10838336
2019-08-01T00:00,786.45,788.4,764.4,768.85,768.85,10066407
2019-07-31T00:00,790.85,799.8,781.6,793.65,793.65,7350584
2019-07-30T00:00,791.9,797.8,788.55,792.7,792.7,8673253
2019-07-29T00:00,789.5,796.95,786.2,791.45,791.45,6244316
2019-07-26T00:00,792.3,795.0,782.2,787.0,787.0,4941763
2019-07-25T00:00,788.25,800.2,787.65,794.5,794.5,9773568
2019-07-24T00:00,788.0,793.75,783.6,786.3,786.3,5745146
2019-07-23T00:00,787.0,804.0,785.55,790.05,790.05,10782564
2019-07-22T00:00,785.95,792.0,782.05,784.4,784.4,7107151
2019-07-19T00:00,788.7,794.5,781.25,785.4,785.4,6812754
2019-07-18T00:00,789.05,798.5,786.2,792.7,792.7,6534471
2019-07-17T00:00,783.9,795.0,776.75,794.15,794.15,6754348
2019-07-16T00:00,777.0,787.8,776.0,784.85,784.85,9924322
2019-07-15T00:00,763.0,781.65,754.2,779.35,779.35,31064152
2019-07-12T00:00,722.5,730.6,719.6,726.75,726.75,7874441
2019-07-11T00:00,719.45,723.5,709.6,721.5,721.5,6252688
2019-07-10T00:00,709.0,722.7,706.5,717.25,717.25,7573816
2019-07-09T00:00,718.0,719.85,709.05,715.5,715.5,5022638
2019-07-08T00:00,716.45,724.95,712.3,717.6,717.6,7177092
2019-07-05T00:00,735.0,736.4,713.5,718.0,718.0,4926289
2019-07-04T00:00,729.0,736.4,728.6,733.8,733.8,3274064
2019-07-03T00:00,741.0,743.2,730.0,731.3,731.3,5958379
2019-07-02T00:00,734.0,741.65,730.1,740.0,740.0,4837606
2019-07-01T00:00,735.0,737.5,729.85,731.3,731.3,3224968
2019-06-28T00:00,735.5,739.5,728.5,732.0,732.0,5919494
2019-06-27T00:00,742.0,744.7,728.15,730.55,730.55,11122346
2019-06-26T00:00,743.0,751.45,738.0,739.2,739.2,5447130
2019-06-25T00:00,744.0,750.9,737.3,748.1,748.1,3677911
2019-06-24T00:00,751.9,751.9,742.65,745.5,745.5,4758178
2019-06-21T00:00,755.0,755.0,747.15,750.2,750.2,13200318
2019-06-20T00:00,737.8,756.9,735.9,754.9,754.9,7148684
2019-06-19T00:00,752.5,755.4,748.6,751.9,751.9,4596253
2019-06-18T00:00,740.2,752.45,740.2,750.15,750.15,6202838
2019-06-17T00:00,743.0,744.5,737.8,740.55,740.55,3085588
2019-06-14T00:00,743.85,745.5,738.25,740.45,740.45,5556353
2019-06-13T00:00,740.0,747.2,740.0,742.65,742.65,4808577
2019-06-12T00:00,756.95,756.95,745.0,753.8,743.3,8738342
2019-06-11T00:00,755.0,759.0,750.5,754.9,744.3847,5733127
2019-06-10T00:00,740.1,754.1,740.1,753.5,743.0041,4435148
2019-06-07T00:00,735.85,743.95,735.85,739.1,728.8047,3218358
2019-06-06T00:00,736.5,744.65,733.65,735.6,725.3535,7563925
2019-06-04T00:00,737.25,739.45,733.15,735.3,725.0577,11733702
2019-06-03T00:00,729.8,750.9,729.0,744.65,734.2775,7744761
2019-05-31T00:00,736.5,742.95,733.2,737.75,727.4736,8290306
2019-05-30T00:00,727.0,737.25,722.55,733.55,723.332,15089296
2019-05-29T00:00,725.5,733.65,723.65,727.8,717.6622,10293077
2019-05-28T00:00,712.0,733.45,709.8,728.1,717.9579,23860490
2019-05-27T00:00,707.4,713.8,705.5,708.1,698.2366,10247544
2019-05-24T00:00,703.8,711.75,700.45,709.2,699.3213,7016424
2019-05-23T00:00,715.0,716.7,697.45,701.05,691.2848,7233736
2019-05-22T00:00,710.0,718.25,707.0,709.75,699.8636,5795713
2019-05-21T00:00,722.65,722.65,707.7,709.3,699.4199,8645535
2019-05-20T00:00,719.7,726.4,706.0,722.4,712.3374,11213708
2019-05-17T00:00,733.15,735.8,720.1,723.9,713.8165,8155948
2019-05-16T00:00,720.0,737.0,719.1,733.1,722.8883,6468556
2019-05-15T00:00,714.9,725.2,712.6,716.1,706.1251,6668929
2019-05-14T00:00,716.5,717.75,703.6,713.85,703.9064,10513001
2019-05-13T00:00,716.55,726.45,712.1,719.7,709.675,6808993
2019-05-10T00:00,720.8,726.0,715.0,716.85,706.8647,8352335
2019-05-09T00:00,719.15,730.3,715.8,721.05,711.0062,7396525
2019-05-08T00:00,721.0,726.0,716.5,719.35,709.3298,6247642
2019-05-07T00:00,720.4,727.9,718.7,724.55,714.4574,5747436
2019-05-06T00:00,715.0,721.8,710.65,718.4,708.3931,8858265
2019-05-03T00:00,722.9,731.0,718.2,723.6,713.5206,6348116
2019-05-02T00:00,747.0,748.4,729.5,730.8,720.6204,6351352
2019-04-30T00:00,738.0,753.8,738.0,751.35,740.8841,9920046
2019-04-26T00:00,731.0,739.8,729.0,738.0,727.7201,6895168
2019-04-25T00:00,736.45,737.65,727.05,728.55,718.4017,8005235
2019-04-24T00:00,728.2,737.9,724.0,736.45,726.1917,8285120
2019-04-23T00:00,723.9,730.0,718.4,728.2,718.0566,5516668
2019-04-22T00:00,717.05,725.75,715.0,721.05,711.0062,6455426
2019-04-18T00:00,722.5,722.5,712.75,717.05,707.0619,13801105
2019-04-16T00:00,727.9,727.9,714.1,724.1,714.0137,12524411
