Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,125.3,131.0,123.75,130.1,130.1,25522248
2019-09-12T00:00,126.7,129.0,124.0,124.4,124.4,11296228
2019-09-11T00:00,126.0,128.4,125.3,126.05,126.05,7651186
2019-09-09T00:00,127.05,127.75,125.55,126.65,126.65,5791185
2019-09-06T00:00,125.15,127.75,123.5,126.95,126.95,12641145
2019-09-05T00:00,120.6,129.2,120.6,124.7,124.7,25213247
2019-09-04T00:00,118.4,120.95,116.8,120.35,120.35,9544996
2019-09-03T00:00,117.75,119.35,116.25,117.25,117.25,13533847
2019-08-30T00:00,124.2,124.45,120.0,122.45,122.45,10241556
2019-08-29T00:00,123.2,128.2,121.55,123.65,123.65,38895602
2019-08-28T00:00,125.9,126.9,121.7,122.9,122.9,12405115
2019-08-27T00:00,126.45,128.0,125.0,125.75,125.75,16833528
2019-08-26T00:00,124.1,126.2,119.65,125.5,125.5,12876902
2019-08-23T00:00,117.0,124.15,116.25,122.8,122.8,8058075
2019-08-22T00:00,121.05,121.5,116.4,117.8,117.8,9252625
2019-08-21T00:00,123.9,124.2,120.4,121.05,121.05,11145804
2019-08-20T00:00,126.0,126.1,123.4,124.2,123.2,6521249
2019-08-19T00:00,126.35,127.4,125.3,125.8,124.7871,4774896
2019-08-16T00:00,127.0,127.4,125.25,126.25,125.2335,8055593
2019-08-14T00:00,125.9,128.4,124.2,126.45,125.4319,8302056
2019-08-13T00:00,130.3,131.85,125.05,125.9,124.8863,12546335
2019-08-09T00:00,130.6,131.3,129.05,130.5,129.4493,11774730
2019-08-08T00:00,130.4,131.2,127.65,130.85,129.7965,10341685
2019-08-07T00:00,133.5,133.5,128.5,129.0,127.9614,15967560
2019-08-06T00:00,131.85,133.85,130.45,132.4,131.334,12555118
2019-08-05T00:00,134.0,134.7,131.25,132.25,131.1852,10240058
2019-08-02T00:00,137.8,139.0,133.35,135.25,134.161,12930441
2019-08-01T00:00,137.95,141.9,135.1,136.95,135.8473,10582005
2019-07-31T00:00,132.0,140.4,132.0,139.3,138.1784,20572104
2019-07-30T00:00,139.0,139.0,133.05,133.5,132.4251,16988505
2019-07-29T00:00,143.0,143.0,136.45,138.25,137.1369,21413290
2019-07-26T00:00,146.25,146.35,141.1,141.8,140.6583,13556114
2019-07-25T00:00,148.0,148.0,145.35,146.65,145.4692,49924633
2019-07-24T00:00,146.8,148.75,145.0,147.95,146.7588,41373022
2019-07-23T00:00,147.65,148.7,145.1,147.35,146.1636,46671319
2019-07-22T00:00,145.0,151.3,144.95,147.95,146.7588,39717229
2019-07-19T00:00,148.6,149.95,144.6,146.5,145.3204,14030710
2019-07-18T00:00,146.85,148.85,145.2,147.6,146.4116,8934708
2019-07-17T00:00,149.25,149.25,145.7,146.85,145.6676,7908922
2019-07-16T00:00,146.0,148.0,145.45,147.05,145.866,7987718
2019-07-15T00:00,145.85,147.35,144.5,145.4,144.2293,8158174
2019-07-12T00:00,147.0,147.9,144.2,146.85,145.6676,33350342
2019-07-11T00:00,147.5,148.8,145.75,147.9,146.7092,11238050
2019-07-10T00:00,150.5,151.85,144.6,148.15,146.9572,12575054
2019-07-09T00:00,144.0,152.7,143.8,151.4,150.181,32532552
2019-07-08T00:00,150.9,151.35,143.45,144.05,142.8902,11965521
2019-07-05T00:00,157.5,157.5,148.95,152.2,150.9746,13934319
2019-07-04T00:00,155.5,157.1,155.3,156.55,155.2895,3433538
2019-07-03T00:00,155.95,157.2,155.2,156.15,154.8927,7300662
2019-07-02T00:00,152.55,154.95,151.5,154.7,153.4544,7110384
2019-07-01T00:00,155.9,156.2,149.3,151.65,150.429,12534939
2019-06-28T00:00,157.3,158.0,155.55,155.9,154.6448,6998831
2019-06-27T00:00,154.75,157.35,154.5,156.6,155.3391,17955015
2019-06-26T00:00,153.1,155.65,152.55,154.95,153.7024,6276777
2019-06-25T00:00,152.05,155.0,151.75,154.6,153.3552,5768459
2019-06-24T00:00,153.1,154.0,150.8,152.05,150.8258,5588771
2019-06-21T00:00,153.95,156.35,153.3,153.85,152.6113,12256650
2019-06-20T00:00,154.4,157.25,154.4,156.75,155.4879,4719691
2019-06-19T00:00,155.95,157.55,152.8,154.4,153.1568,4788995
2019-06-18T00:00,154.8,158.0,153.9,157.65,156.3807,4915688
2019-06-17T00:00,159.65,159.7,154.55,155.3,154.0496,4676014
2019-06-14T00:00,160.1,161.55,158.7,159.8,158.5134,4456656
2019-06-13T00:00,163.2,163.5,158.05,160.7,159.4061,7870399
2019-06-12T00:00,163.0,163.4,161.1,162.55,161.2412,4710283
2019-06-11T00:00,161.1,162.95,159.3,162.5,161.1916,5443668
2019-06-10T00:00,163.4,163.5,159.15,160.65,159.3565,6905925
2019-06-07T00:00,163.0,164.75,161.65,163.8,162.4812,6316945
2019-06-06T00:00,167.3,168.75,161.75,163.55,162.2332,10111320
2019-06-04T00:00,170.0,170.0,164.7,165.35,164.0187,9515155
2019-06-03T00:00,167.8,170.75,167.05,169.7,168.3336,18448513
2019-05-31T00:00,164.0,168.8,162.95,165.55,164.2171,21171057
2019-05-30T00:00,160.5,163.4,159.4,161.95,160.6461,21433409
2019-05-29T00:00,164.6,164.9,159.4,160.35,159.0589,8732638
2019-05-28T00:00,162.0,164.0,160.1,163.45,162.134,16148042
2019-05-27T00:00,156.0,162.85,155.4,162.2,160.894,12472892
2019-05-24T00:00,159.0,159.85,154.3,156.8,155.5375,16976732
2019-05-23T00:00,158.5,160.2,153.4,154.2,152.9584,14440150
2019-05-22T00:00,155.0,156.75,152.25,155.45,154.1984,8699597
2019-05-21T00:00,158.0,159.25,152.4,153.5,152.2641,8646559
2019-05-20T00:00,155.0,158.85,151.1,157.65,156.3807,12544327
2019-05-17T00:00,150.0,152.65,146.85,149.6,148.3955,22762517
2019-05-16T00:00,144.3,152.3,143.0,151.15,149.933,11507435
2019-05-15T00:00,145.0,147.15,143.8,145.75,144.5765,12492965
2019-05-14T00:00,142.6,144.85,141.5,143.6,142.4438,9252786
2019-05-13T00:00,146.2,147.85,142.0,142.6,141.4519,9712869
2019-05-10T00:00,149.9,150.25,147.05,147.6,146.4116,7220841
2019-05-09T00:00,152.2,152.95,150.0,150.6,149.3875,4834865
2019-05-08T00:00,154.0,155.2,151.7,152.2,150.9746,5788594
2019-05-07T00:00,156.7,156.7,152.2,153.45,152.2145,8413311
2019-05-06T00:00,157.5,158.4,155.15,156.7,155.4383,7947973
2019-05-03T00:00,159.95,160.0,155.7,156.15,154.8927,6920322
2019-05-02T00:00,159.0,160.3,156.2,158.1,156.8271,11858590
2019-04-30T00:00,155.0,159.0,153.65,158.05,156.7775,14156261
2019-04-26T00:00,153.9,157.1,151.5,152.85,151.6193,11983996
2019-04-25T00:00,153.6,155.45,151.85,152.7,151.4705,28773110
2019-04-24T00:00,151.0,154.15,150.45,153.8,152.5617,11867517
2019-04-23T00:00,149.4,150.9,146.85,149.4,148.1971,8417128
2019-04-22T00:00,152.5,152.75,148.85,149.75,148.5443,12552321
2019-04-18T00:00,157.45,157.45,154.15,156.1,154.8432,9175855
2019-04-16T00:00,155.6,158.5,153.75,155.7,154.4464,11692744
