Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,108.3,109.85,104.5,109.0,109.0,28386490
2019-09-12T00:00,108.2,113.95,106.55,107.25,107.25,46605814
2019-09-11T00:00,96.4,109.2,96.2,107.55,107.55,41216573
2019-09-09T00:00,95.5,98.9,93.5,95.5,95.5,28330816
2019-09-06T00:00,96.7,97.0,92.5,95.65,95.65,28342974
2019-09-05T00:00,97.0,99.65,95.0,96.1,96.1,21705698
2019-09-04T00:00,93.0,96.8,91.05,95.55,95.55,18711992
2019-09-03T00:00,95.65,96.85,92.3,92.8,92.8,13712721
2019-08-30T00:00,96.0,98.35,94.2,96.6,96.6,25710354
2019-08-29T00:00,95.8,96.45,91.1,94.05,94.05,26417279
2019-08-28T00:00,103.95,103.95,94.85,95.8,95.8,21128544
2019-08-27T00:00,102.5,105.0,101.25,104.05,104.05,16421579
2019-08-26T00:00,102.45,103.95,97.15,101.15,101.15,26352764
2019-08-23T00:00,96.9,102.85,95.1,101.95,101.95,21483497
2019-08-22T00:00,97.65,100.7,95.6,96.95,96.95,21182375
2019-08-21T00:00,103.15,104.5,97.7,98.9,98.9,17372474
2019-08-20T00:00,104.8,105.0,100.85,104.0,104.0,16250979
2019-08-19T00:00,104.9,106.15,102.7,104.8,104.8,16955000
2019-08-16T00:00,102.25,106.4,99.9,103.8,103.8,31732377
2019-08-14T00:00,95.8,105.5,95.8,103.8,103.8,36474132
2019-08-13T00:00,99.45,102.15,94.0,94.8,94.8,26382510
2019-08-09T00:00,101.25,103.5,98.35,99.7,99.7,24792213
2019-08-08T00:00,100.75,104.2,94.45,100.2,100.2,44589121
2019-08-07T00:00,113.65,114.7,97.8,102.25,102.25,21741535
2019-08-06T00:00,110.9,117.5,110.05,114.6,114.6,16799318
2019-08-05T00:00,117.4,117.4,111.75,112.55,112.55,20021403
2019-08-02T00:00,128.0,128.1,117.75,119.45,119.45,33420092
2019-08-01T00:00,134.1,134.4,126.55,128.65,128.65,17004827
2019-07-31T00:00,129.0,135.8,128.1,135.1,135.1,11616689
2019-07-30T00:00,136.0,137.5,129.1,130.15,130.15,11000787
2019-07-29T00:00,138.6,138.75,132.4,136.1,136.1,11372480
2019-07-26T00:00,135.0,142.4,133.75,138.05,138.05,12464765
2019-07-25T00:00,135.6,136.9,132.8,135.1,135.1,12137941
2019-07-24T00:00,146.6,146.85,134.6,135.35,135.35,16336488
2019-07-23T00:00,144.0,148.65,142.2,146.65,146.65,11767863
2019-07-22T00:00,138.45,143.9,137.3,143.15,143.15,12475641
2019-07-19T00:00,143.35,144.35,138.0,138.7,138.7,11727125
2019-07-18T00:00,143.6,145.2,140.55,142.8,142.8,7243163
2019-07-17T00:00,144.95,146.7,143.0,144.45,144.45,8972762
2019-07-16T00:00,141.0,145.8,139.65,145.25,145.25,11747814
2019-07-15T00:00,139.75,142.35,136.0,141.25,141.25,11664290
2019-07-12T00:00,133.8,141.7,133.25,139.05,139.05,19506693
2019-07-11T00:00,135.0,136.4,130.2,133.9,133.9,14559349
2019-07-10T00:00,134.8,137.1,129.8,131.8,131.8,13525312
2019-07-09T00:00,136.0,136.85,132.25,135.85,135.85,11756179
2019-07-08T00:00,132.75,137.9,131.5,135.35,135.35,13050455
2019-07-05T00:00,142.5,142.75,133.1,134.1,134.1,12851706
2019-07-04T00:00,144.5,146.3,141.0,142.1,142.1,12208125
2019-07-03T00:00,141.5,145.45,138.9,144.2,144.2,14031849
2019-07-02T00:00,139.9,142.2,136.5,140.8,140.8,16544253
2019-07-01T00:00,144.25,146.4,135.55,140.0,140.0,23349499
2019-06-28T00:00,147.8,148.85,140.7,142.05,142.05,11492579
2019-06-27T00:00,151.3,153.15,146.85,148.3,148.3,17755494
2019-06-26T00:00,142.35,152.3,141.65,151.35,151.35,15012396
2019-06-25T00:00,138.2,144.2,136.7,143.15,143.15,14377565
2019-06-24T00:00,147.0,147.4,139.25,140.2,140.2,14346939
2019-06-21T00:00,148.05,150.9,145.75,146.5,146.5,12875999
2019-06-20T00:00,146.2,149.5,141.9,148.8,148.8,17629331
2019-06-19T00:00,157.0,159.9,142.75,145.8,145.8,23973140
2019-06-18T00:00,155.25,157.45,150.3,151.55,151.55,11213185
2019-06-17T00:00,164.0,164.6,154.0,154.85,154.85,9667369
2019-06-14T00:00,168.45,169.4,162.25,164.65,164.65,6550362
2019-06-13T00:00,165.0,169.35,161.25,168.85,168.85,8032627
2019-06-12T00:00,163.4,170.8,162.1,165.7,165.7,14169021
2019-06-11T00:00,157.35,162.85,156.0,162.1,162.1,5865263
2019-06-10T00:00,158.75,161.55,154.35,156.4,156.4,6757517
2019-06-07T00:00,157.7,162.05,155.3,157.25,157.25,6924938
2019-06-06T00:00,161.8,162.6,156.7,157.4,157.4,6340364
2019-06-04T00:00,159.1,162.7,158.4,161.6,161.6,5068423
2019-06-03T00:00,159.95,162.4,155.7,160.35,160.35,8226967
2019-05-31T00:00,164.25,165.15,156.8,160.05,160.05,9429595
2019-05-30T00:00,163.0,164.8,161.45,163.7,163.7,5608051
2019-05-29T00:00,167.0,167.9,162.4,163.15,163.15,6282650
2019-05-28T00:00,168.0,171.4,166.0,168.3,168.3,9047549
2019-05-27T00:00,161.0,168.4,159.35,167.8,167.8,10751107
2019-05-24T00:00,152.95,161.9,150.5,160.95,160.95,12226554
2019-05-23T00:00,154.25,157.1,150.25,152.05,152.05,10057424
2019-05-22T00:00,154.0,158.0,143.6,152.4,152.4,33587510
2019-05-21T00:00,165.85,167.1,161.85,163.35,163.35,8077159
2019-05-20T00:00,162.0,168.8,160.0,165.15,165.15,7222113
2019-05-17T00:00,157.9,158.5,153.45,156.55,156.55,5453766
2019-05-16T00:00,156.25,159.2,153.65,158.1,158.1,6956610
2019-05-15T00:00,162.0,162.2,154.45,155.25,155.25,7707685
2019-05-14T00:00,150.75,163.2,150.15,161.2,161.2,13729074
2019-05-13T00:00,162.75,162.75,152.0,154.35,154.35,8109777
2019-05-10T00:00,165.1,167.0,161.1,163.25,163.25,11984102
2019-05-09T00:00,169.0,170.65,161.2,163.05,163.05,14432086
2019-05-08T00:00,166.9,171.7,165.75,170.15,170.15,11040004
2019-05-07T00:00,175.6,176.75,168.0,169.3,169.3,9914732
2019-05-06T00:00,175.0,177.2,172.15,173.55,173.55,13291591
2019-05-03T00:00,181.0,183.0,177.05,181.75,181.75,9299659
2019-05-02T00:00,177.5,181.7,175.1,180.45,180.45,12080585
2019-04-30T00:00,175.5,179.5,168.0,178.1,178.1,13337202
2019-04-26T00:00,169.4,178.4,168.05,175.15,175.15,20052673
2019-04-25T00:00,172.2,174.55,166.05,167.2,167.2,9974042
