Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,0.0,227.6,219.1,226.2,226.2,8633720
2019-09-12T00:00,228.0,232.25,221.2,222.05,222.05,9281412
2019-09-11T00:00,220.4,228.95,220.15,227.7,227.7,11404495
2019-09-09T00:00,218.0,224.5,213.85,219.5,219.5,9829589
2019-09-06T00:00,217.4,219.35,212.25,217.95,217.95,8494436
2019-09-05T00:00,217.1,222.3,213.5,216.25,216.25,10360712
2019-09-04T00:00,208.85,216.05,207.5,214.8,214.8,8097106
2019-09-03T00:00,214.0,215.5,209.3,210.15,210.15,5563093
2019-08-30T00:00,215.0,218.95,211.25,217.45,217.45,10442126
2019-08-29T00:00,203.8,214.55,201.75,211.95,211.95,18785875
2019-08-28T00:00,214.0,214.25,202.8,205.75,205.75,9056214
2019-08-27T00:00,217.4,217.5,212.8,213.4,213.4,12287346
2019-08-26T00:00,222.15,225.0,206.3,214.1,214.1,13555325
2019-08-23T00:00,214.5,223.6,213.75,220.65,220.65,4978377
2019-08-22T00:00,215.0,220.4,212.8,217.0,217.0,6938275
2019-08-21T00:00,223.5,226.0,217.7,219.0,219.0,5016435
2019-08-20T00:00,225.05,226.1,221.65,224.85,224.85,5107078
2019-08-19T00:00,228.3,230.85,224.75,226.2,226.2,4394801
2019-08-16T00:00,226.35,228.95,221.6,227.15,227.15,6083438
2019-08-14T00:00,222.6,229.9,220.75,227.75,227.75,6940915
2019-08-13T00:00,217.6,224.45,216.45,220.15,220.15,6628569
2019-08-09T00:00,221.7,228.45,219.3,220.6,220.6,9077239
2019-08-08T00:00,213.3,222.85,208.75,221.7,221.7,8752577
2019-08-07T00:00,217.7,217.8,210.6,212.25,212.25,7073513
2019-08-06T00:00,214.6,221.45,214.15,217.55,217.55,6703116
2019-08-05T00:00,220.8,221.25,212.25,217.7,217.7,7681043
2019-08-02T00:00,223.0,230.45,217.8,225.15,225.15,11444553
2019-08-01T00:00,235.1,235.8,222.7,225.25,225.25,7768510
2019-07-31T00:00,228.35,238.3,226.1,237.45,237.45,5983362
2019-07-30T00:00,243.05,248.0,220.0,230.25,230.25,8938349
2019-07-29T00:00,245.85,246.25,236.85,241.4,241.4,7935024
2019-07-26T00:00,248.95,253.35,247.1,249.7,249.7,5386836
2019-07-25T00:00,254.8,257.9,247.8,248.65,248.65,6895024
2019-07-24T00:00,263.0,263.85,246.75,255.25,255.25,10491930
2019-07-23T00:00,266.0,266.0,259.8,263.3,263.3,3534413
