Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,0.0,0.0,394.5,403.3,403.3,2944615
2019-09-12T00:00,406.9,412.3,404.15,406.2,406.2,3150755
2019-09-11T00:00,398.0,406.0,397.8,402.65,402.65,2075182
2019-09-09T00:00,397.0,402.15,392.5,399.15,399.15,2830713
2019-09-06T00:00,396.6,402.25,396.05,398.95,398.95,2716127
2019-09-05T00:00,407.0,407.65,389.0,394.85,394.85,8096551
2019-09-04T00:00,408.25,412.55,404.1,410.45,410.45,2600953
2019-09-03T00:00,421.8,421.8,408.8,411.25,411.25,2943447
2019-08-30T00:00,416.9,428.0,414.5,425.4,425.4,2937833
2019-08-29T00:00,415.0,418.4,405.6,414.45,414.45,2787055
2019-08-28T00:00,424.55,428.3,410.3,417.8,417.8,2728994
2019-08-27T00:00,430.6,438.0,423.4,427.6,427.6,3874210
2019-08-26T00:00,437.0,437.95,417.1,431.35,431.35,3421625
2019-08-23T00:00,414.05,429.4,396.0,424.85,424.85,7612779
2019-08-22T00:00,437.0,439.05,406.2,414.0,414.0,32190046
2019-08-21T00:00,471.2,476.8,457.3,463.4,463.4,1971105
2019-08-20T00:00,478.5,481.75,466.8,471.2,471.2,1401089
2019-08-19T00:00,485.0,488.85,476.65,478.45,478.45,866887
2019-08-16T00:00,481.0,485.95,473.5,480.3,472.7,1499189
2019-08-14T00:00,487.8,496.4,486.2,488.95,473.7334,1372055
2019-08-13T00:00,503.1,503.95,481.0,484.65,469.5672,1139273
2019-08-09T00:00,488.05,509.0,488.05,500.0,484.4395,1585834
2019-08-08T00:00,494.05,497.6,476.8,488.75,473.5396,1683413
2019-08-07T00:00,487.0,509.9,483.5,493.1,477.7542,3176030
2019-08-06T00:00,490.55,495.6,482.0,484.15,469.0828,4216334
2019-08-05T00:00,494.5,501.0,485.75,495.85,480.4187,2506985
2019-08-02T00:00,504.8,513.95,486.1,501.15,485.5537,3419438
2019-08-01T00:00,516.65,518.55,501.2,508.4,492.5781,1955897
2019-07-31T00:00,512.0,521.55,501.5,518.4,502.2669,2169131
2019-07-30T00:00,514.8,526.2,511.0,513.95,497.9554,1463096
2019-07-29T00:00,522.4,525.0,512.5,515.9,499.8447,962833
2019-07-26T00:00,525.0,528.9,518.45,523.4,507.1113,1271764
2019-07-25T00:00,520.0,527.5,519.2,525.15,508.8069,1266237
2019-07-24T00:00,520.6,523.4,510.45,519.75,503.5749,1383445
2019-07-23T00:00,512.45,523.8,508.25,520.5,504.3015,1794021
2019-07-22T00:00,520.5,523.3,507.25,512.45,496.5021,2544612
2019-07-19T00:00,534.8,536.25,520.7,522.9,506.6269,2124260
2019-07-18T00:00,550.0,550.0,532.0,533.95,517.333,1412175
2019-07-17T00:00,552.9,556.5,546.0,550.1,532.9803,1194180
2019-07-16T00:00,538.15,560.0,531.8,555.65,538.3576,1811470
2019-07-15T00:00,538.0,541.15,531.3,538.3,521.5475,1079131
2019-07-12T00:00,541.0,544.6,533.2,536.35,519.6582,1317491
2019-07-11T00:00,548.0,555.95,532.6,539.3,522.5164,4343666
2019-07-10T00:00,573.15,574.15,537.0,541.45,524.5995,2763155
2019-07-09T00:00,550.0,577.0,546.8,571.7,553.9081,2421372
2019-07-08T00:00,565.5,568.7,544.05,550.55,533.4163,1380089
2019-07-05T00:00,569.1,587.0,564.05,566.6,548.9669,4537205
2019-07-04T00:00,568.6,572.6,566.4,568.75,551.0499,1008095
2019-07-03T00:00,568.35,571.2,565.0,568.5,550.8077,1011670
2019-07-02T00:00,567.95,573.1,561.25,568.35,550.6624,1632417
2019-07-01T00:00,560.0,566.85,556.2,565.25,547.6589,1083892
2019-06-28T00:00,565.75,567.95,553.45,555.25,537.97,1252261
2019-06-27T00:00,559.35,568.85,556.5,564.95,547.3682,1925871
2019-06-26T00:00,549.95,560.0,543.4,556.9,539.5687,853780
2019-06-25T00:00,548.1,555.4,546.05,550.15,533.0288,1861393
2019-06-24T00:00,537.0,547.85,536.45,546.05,529.0563,918341
2019-06-21T00:00,539.0,541.85,529.2,536.7,519.9974,2317072
2019-06-20T00:00,542.55,545.95,534.65,539.85,523.0493,1390091
2019-06-19T00:00,543.15,556.65,533.4,541.2,524.3573,1750766
2019-06-18T00:00,526.0,549.0,526.0,539.8,523.0009,1593195
2019-06-17T00:00,536.5,537.0,526.4,529.9,513.409,1335996
2019-06-14T00:00,539.1,542.85,534.6,536.6,519.9005,1004023
2019-06-13T00:00,542.0,545.05,533.3,542.1,525.2293,1176296
2019-06-12T00:00,543.5,547.6,540.8,544.05,527.1186,789705
2019-06-11T00:00,551.1,554.45,544.25,546.25,529.2501,1233916
2019-06-10T00:00,557.7,563.6,545.6,550.8,533.6585,908190
2019-06-07T00:00,557.0,558.65,547.25,556.3,538.9874,1176127
2019-06-06T00:00,567.4,569.8,550.8,558.5,541.119,2225049
2019-06-04T00:00,558.4,569.0,555.0,566.1,548.4824,1603555
2019-06-03T00:00,559.4,562.9,554.3,559.1,541.7003,1112755
2019-05-31T00:00,554.35,566.8,550.0,558.6,541.2158,1534018
2019-05-30T00:00,555.5,564.25,553.25,556.55,539.2296,1935047
2019-05-29T00:00,552.75,559.25,547.5,556.8,539.4719,1413770
2019-05-28T00:00,542.4,555.7,542.4,552.25,535.0634,2548709
2019-05-27T00:00,539.4,544.6,533.55,542.35,525.4715,829256
2019-05-24T00:00,534.0,540.0,527.25,538.55,521.7898,1332119
2019-05-23T00:00,532.0,559.35,528.0,530.7,514.1841,2428295
2019-05-22T00:00,527.4,534.9,521.3,527.95,511.5197,1343609
2019-05-21T00:00,533.0,537.45,525.25,526.6,510.2116,1492529
2019-05-20T00:00,510.2,535.4,509.5,532.0,515.4436,1731877
2019-05-17T00:00,489.0,501.2,486.25,499.25,483.7129,1493704
2019-05-16T00:00,476.2,493.4,476.2,490.75,475.4774,1532479
2019-05-15T00:00,490.0,492.9,474.0,475.8,460.9926,1972328
2019-05-14T00:00,476.95,491.0,473.25,487.85,472.6676,1604202
2019-05-13T00:00,475.7,481.4,474.05,476.8,461.9615,971912
2019-05-10T00:00,477.1,485.0,473.25,475.75,460.9442,985405
2019-05-09T00:00,477.9,482.15,470.3,476.1,461.2833,1335801
2019-05-08T00:00,474.0,487.5,471.0,477.9,463.0273,2365548
2019-05-07T00:00,487.0,488.15,471.0,474.0,459.2487,1562394
2019-05-06T00:00,474.0,490.35,464.2,485.15,470.0517,3905585
2019-05-03T00:00,489.95,493.9,479.2,484.25,469.1797,1527392
2019-05-02T00:00,494.1,500.55,485.25,488.5,473.2974,1526658
2019-04-30T00:00,505.0,505.0,488.3,496.75,481.2906,1439001
2019-04-26T00:00,493.8,504.7,493.8,502.8,487.1523,816277
2019-04-25T00:00,503.9,505.9,491.15,492.55,477.2213,1573523
2019-04-24T00:00,497.95,503.85,493.35,501.45,485.8444,1597552
2019-04-23T00:00,504.0,507.0,497.2,498.65,483.1315,1592058
2019-04-22T00:00,515.9,520.2,501.05,504.3,488.6057,1066771
2019-04-18T00:00,523.4,528.8,515.05,517.45,501.3464,1333918
2019-04-16T00:00,527.05,528.0,521.25,523.4,507.1113,1219891
