Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,124.2,125.3,121.7,124.8,124.8,2359557
2019-09-12T00:00,125.45,126.5,124.0,124.55,124.55,3527584
2019-09-11T00:00,124.25,126.1,123.95,125.5,125.5,5115124
2019-09-09T00:00,118.0,124.85,116.25,123.8,123.8,5759695
2019-09-06T00:00,119.0,119.95,114.75,118.05,118.05,4259268
2019-09-05T00:00,119.6,120.7,118.65,119.55,119.55,2149382
2019-09-04T00:00,119.0,120.9,115.6,119.5,119.5,3721829
2019-09-03T00:00,119.2,120.15,118.05,118.5,118.5,2757600
2019-08-30T00:00,122.05,122.85,117.8,118.85,118.85,5431143
2019-08-29T00:00,120.55,122.95,119.1,122.35,122.35,2576148
2019-08-28T00:00,122.3,123.5,120.65,121.5,121.5,2607170
2019-08-27T00:00,122.1,125.6,122.0,122.4,122.4,8386754
2019-08-26T00:00,123.5,123.85,120.3,123.45,123.45,3874675
2019-08-23T00:00,116.1,120.95,113.9,120.1,120.1,4982484
2019-08-22T00:00,122.0,122.5,117.6,118.1,117.55,3443430
2019-08-21T00:00,122.2,123.9,120.7,122.65,122.0788,4489141
2019-08-20T00:00,122.75,123.3,117.7,121.9,121.3323,6526541
2019-08-19T00:00,120.95,123.85,120.65,122.4,121.83,5054341
2019-08-16T00:00,122.5,122.65,119.5,120.95,120.3867,7085994
2019-08-14T00:00,121.0,124.0,116.7,122.8,122.2281,11995396
2019-08-13T00:00,124.5,125.35,115.35,116.25,115.7086,5587254
2019-08-09T00:00,121.4,125.5,121.0,123.75,123.1737,5695330
2019-08-08T00:00,117.7,121.5,116.85,121.0,120.4365,5842543
2019-08-07T00:00,117.75,122.5,115.55,116.65,116.1068,8851342
2019-08-06T00:00,112.15,118.8,111.05,117.15,116.6044,8121530
2019-08-05T00:00,110.75,112.9,109.15,112.05,111.5282,6892504
2019-08-02T00:00,115.15,116.45,111.55,113.0,112.4737,5628944
2019-08-01T00:00,112.85,115.65,111.8,114.8,114.2654,5148164
2019-07-31T00:00,108.5,115.05,107.55,113.55,113.0212,5450805
2019-07-30T00:00,112.8,113.65,108.7,109.05,108.5421,3508980
2019-07-29T00:00,112.05,114.45,109.8,112.45,111.9263,6945832
2019-07-26T00:00,115.2,116.5,112.6,113.35,112.8221,4120894
2019-07-25T00:00,114.95,119.65,114.0,115.15,114.6137,5191603
2019-07-24T00:00,122.1,122.1,114.0,115.05,114.5142,5646067
2019-07-23T00:00,122.05,122.9,120.35,121.55,120.9839,2477305
2019-07-22T00:00,121.1,123.65,118.6,121.05,120.4863,5111241
2019-07-19T00:00,131.0,131.55,121.7,123.15,122.5765,5852209
2019-07-18T00:00,133.65,133.65,128.6,129.25,128.6481,4135402
2019-07-17T00:00,136.0,137.55,132.9,134.05,133.4257,5752549
2019-07-16T00:00,129.8,137.25,127.2,136.55,135.9141,8131361
2019-07-15T00:00,129.8,131.3,126.05,128.45,127.8518,3092192
2019-07-12T00:00,127.2,130.75,127.0,129.85,129.2453,3105874
2019-07-11T00:00,127.95,129.8,123.5,127.9,127.3044,6322991
2019-07-10T00:00,130.75,132.5,125.75,126.95,126.3588,3332566
2019-07-09T00:00,128.95,132.5,126.85,129.9,129.295,4614236
2019-07-08T00:00,136.3,136.45,128.8,129.55,128.9467,4947316
2019-07-05T00:00,136.25,138.9,133.55,136.1,135.4662,2293317
2019-07-04T00:00,137.35,138.25,135.75,136.25,135.6155,1556332
2019-07-03T00:00,138.0,138.2,135.6,137.35,136.7104,2888730
2019-07-02T00:00,136.5,138.0,135.05,136.65,136.0136,2385639
2019-07-01T00:00,139.0,140.0,135.1,135.9,135.2671,2807680
2019-06-28T00:00,139.5,141.05,135.8,138.2,137.5564,5728792
2019-06-27T00:00,141.0,144.95,139.25,139.85,139.1987,6368426
2019-06-26T00:00,139.55,142.8,138.05,141.7,141.0401,6096684
2019-06-25T00:00,132.15,142.25,132.0,141.25,140.5922,11940670
2019-06-24T00:00,132.45,132.45,128.6,131.3,130.6885,3275783
2019-06-21T00:00,135.7,136.45,130.0,131.45,130.8378,9867575
2019-06-20T00:00,135.75,138.8,133.7,136.7,136.0634,5309621
2019-06-19T00:00,143.1,143.75,132.7,135.45,134.8192,7952461
2019-06-18T00:00,140.6,142.7,139.2,142.0,141.3387,4012578
2019-06-17T00:00,142.0,143.15,139.55,140.2,139.5471,3749033
2019-06-14T00:00,139.5,143.9,139.5,142.0,141.3387,6313676
2019-06-13T00:00,137.05,140.5,137.05,140.2,139.5471,2754342
2019-06-12T00:00,140.85,141.2,137.1,139.75,139.0992,3125668
2019-06-11T00:00,137.95,140.7,136.55,139.6,138.9499,5074200
2019-06-10T00:00,133.05,139.2,133.05,138.1,137.4569,8158799
2019-06-07T00:00,135.0,136.55,122.6,132.1,131.4848,25915128
2019-06-06T00:00,139.95,142.1,135.55,137.75,137.1085,7002900
2019-06-04T00:00,134.05,141.2,134.05,138.95,138.3029,10650609
2019-06-03T00:00,136.45,136.45,132.7,134.5,133.8736,2146731
2019-05-31T00:00,136.75,137.85,133.65,134.8,134.1722,4206515
2019-05-30T00:00,131.0,137.0,130.65,135.9,135.2671,4613645
2019-05-29T00:00,135.0,136.0,130.5,131.4,130.7881,3437514
2019-05-28T00:00,135.5,137.8,131.85,132.6,131.9825,5383012
2019-05-27T00:00,138.15,138.45,134.5,135.5,134.869,2689952
2019-05-24T00:00,126.65,138.75,126.65,138.2,137.0089,9418256
2019-05-23T00:00,128.5,132.65,127.2,127.9,126.7977,3943451
2019-05-22T00:00,125.7,128.7,125.1,127.5,126.4012,3646102
2019-05-21T00:00,125.4,128.5,124.45,126.0,124.9141,4655346
2019-05-20T00:00,125.3,126.75,123.95,125.45,124.3688,3378040
2019-05-17T00:00,123.0,126.85,121.05,122.6,121.5434,7487956
2019-05-16T00:00,117.85,123.0,114.55,121.45,120.4033,9290420
2019-05-15T00:00,121.2,122.4,119.05,120.75,119.7093,4977269
2019-05-14T00:00,113.85,122.0,112.5,120.85,119.8085,7379459
2019-05-13T00:00,115.85,117.75,112.75,113.25,112.274,2150639
2019-05-10T00:00,112.9,117.8,112.9,116.5,115.496,2184876
2019-05-09T00:00,114.8,116.0,112.5,112.9,111.927,1602368
2019-05-08T00:00,115.5,117.25,114.5,114.9,113.9098,1468848
2019-05-07T00:00,118.0,118.6,115.7,116.35,115.3473,1769325
2019-05-06T00:00,116.5,118.95,114.15,117.5,116.4874,1895121
2019-05-03T00:00,117.15,119.7,117.0,117.75,116.7352,1866454
2019-05-02T00:00,117.6,119.85,116.7,117.35,116.3386,1877217
2019-04-30T00:00,118.6,119.4,114.9,117.95,116.9335,2352073
2019-04-26T00:00,119.75,121.6,117.7,119.25,118.2223,1818807
2019-04-25T00:00,119.85,121.6,119.2,119.8,118.7675,2231872
2019-04-24T00:00,118.45,120.9,118.4,119.25,118.2223,2108558
2019-04-23T00:00,120.5,121.75,117.4,118.35,117.33,2346856
2019-04-22T00:00,123.85,123.85,119.7,120.35,119.3128,2069096
2019-04-18T00:00,126.65,128.55,123.2,124.05,122.9809,4474972
2019-04-16T00:00,126.25,127.65,125.0,126.2,125.1124,1487825
