Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,671.0,679.0,669.05,676.65,676.65,317729
2019-09-12T00:00,682.75,683.9,667.0,670.35,670.35,455312
2019-09-11T00:00,685.8,685.95,676.2,679.65,679.65,313220
2019-09-09T00:00,685.5,688.75,678.0,682.75,682.75,329793
2019-09-06T00:00,697.0,701.95,682.0,685.5,685.5,369792
2019-09-05T00:00,684.9,697.0,682.2,694.4,694.4,390629
2019-09-04T00:00,680.0,688.55,674.5,680.45,680.45,337060
2019-09-03T00:00,682.35,703.7,680.55,684.3,684.3,605696
2019-08-30T00:00,684.25,690.9,668.6,688.6,688.6,1154057
2019-08-29T00:00,681.0,691.8,671.0,687.55,687.55,655855
2019-08-28T00:00,678.0,688.95,670.25,677.1,677.1,1276385
2019-08-27T00:00,706.0,706.0,678.0,680.7,680.7,2124267
2019-08-26T00:00,715.0,722.3,700.0,706.25,706.25,362089
2019-08-23T00:00,698.0,712.5,689.05,709.05,709.05,536201
2019-08-22T00:00,700.2,703.8,681.0,693.3,693.3,465046
2019-08-21T00:00,710.5,713.2,696.8,700.85,700.85,403803
2019-08-20T00:00,705.7,726.2,702.75,708.3,708.3,766450
2019-08-19T00:00,699.8,709.9,699.1,702.2,702.2,329205
2019-08-16T00:00,705.3,706.75,685.25,699.8,699.8,791075
2019-08-14T00:00,729.9,729.9,693.0,708.65,708.65,754339
2019-08-13T00:00,754.7,755.0,715.9,721.45,721.45,966776
2019-08-09T00:00,750.0,756.8,740.55,752.15,752.15,666075
2019-08-08T00:00,749.95,752.5,734.0,747.8,747.8,790462
2019-08-07T00:00,716.0,758.0,712.3,745.3,745.3,2440146
2019-08-06T00:00,700.0,719.5,700.0,712.3,712.3,462628
2019-08-05T00:00,704.6,716.45,693.55,707.6,707.6,758207
2019-08-02T00:00,691.8,707.75,675.0,704.6,704.6,758317
2019-08-01T00:00,716.0,716.0,685.0,691.95,691.95,1190224
2019-07-31T00:00,711.0,727.0,700.4,716.3,716.3,1889509
2019-07-30T00:00,703.5,717.95,679.6,711.75,711.75,2631156
2019-07-29T00:00,690.0,704.5,688.35,700.45,700.45,1100703
2019-07-26T00:00,691.55,697.9,683.0,689.95,689.95,1181780
2019-07-25T00:00,684.0,698.6,682.2,695.15,695.15,1343445
2019-07-24T00:00,693.0,704.2,671.05,686.55,686.55,2134013
2019-07-23T00:00,680.05,706.35,680.05,692.6,692.6,2322178
2019-07-22T00:00,670.0,688.0,652.05,681.95,681.95,2588431
2019-07-19T00:00,705.0,708.0,661.35,667.6,667.6,3987027
2019-07-18T00:00,695.4,726.25,670.95,690.65,690.65,12637247
