Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,0.0,108.0,103.25,107.55,107.55,14852222
2019-09-12T00:00,103.95,106.35,102.4,103.1,103.1,8971807
2019-09-11T00:00,99.7,105.0,99.4,103.4,103.4,16242254
2019-09-09T00:00,98.85,100.0,97.7,99.25,99.25,7301603
2019-09-06T00:00,98.65,100.9,97.3,98.9,98.9,9649735
2019-09-05T00:00,95.9,98.0,95.35,97.65,97.65,4193963
2019-09-04T00:00,95.0,96.15,93.0,95.0,95.0,7174913
2019-09-03T00:00,96.05,96.7,94.3,94.95,94.95,3833793
2019-08-30T00:00,97.95,98.45,96.2,98.0,98.0,4194317
2019-08-29T00:00,96.65,98.75,94.95,96.95,96.95,4613882
2019-08-28T00:00,102.0,104.25,96.75,97.6,97.6,10172681
2019-08-27T00:00,98.0,103.15,97.8,101.75,101.75,11716630
2019-08-26T00:00,103.5,103.5,93.55,97.8,97.8,11446430
2019-08-23T00:00,96.0,98.75,91.1,97.8,97.8,14128611
2019-08-22T00:00,96.9,97.45,94.9,96.75,96.75,14628668
2019-08-21T00:00,98.25,99.6,95.3,96.9,96.9,6668250
2019-08-20T00:00,97.8,100.55,97.35,98.1,98.1,5727758
2019-08-19T00:00,99.5,99.65,96.85,97.65,97.65,6139849
2019-08-16T00:00,98.0,99.95,96.5,98.05,98.05,6373720
2019-08-14T00:00,98.7,101.9,97.8,98.9,98.9,13209720
2019-08-13T00:00,106.0,107.0,96.2,97.3,97.3,24686592
2019-08-09T00:00,100.0,111.0,99.5,107.35,107.35,32920680
2019-08-08T00:00,96.9,99.0,91.25,98.35,98.35,14867565
2019-08-07T00:00,101.55,102.9,96.8,97.45,95.95,5275438
2019-08-06T00:00,99.1,103.05,99.1,102.45,99.3961,5833590
2019-08-05T00:00,103.0,103.0,98.7,99.8,96.8251,13019525
2019-08-02T00:00,104.0,104.25,101.4,103.0,99.9297,15924384
2019-08-01T00:00,106.0,106.8,104.4,105.4,102.2582,3840895
2019-07-31T00:00,103.6,108.25,103.0,106.75,103.568,3506862
2019-07-30T00:00,108.0,108.1,103.25,103.6,100.5118,5886723
2019-07-29T00:00,113.3,113.7,106.2,107.95,104.7322,5767892
2019-07-26T00:00,112.0,115.15,110.3,113.0,109.6317,4460596
2019-07-25T00:00,111.1,112.75,109.5,111.75,108.4189,3976952
2019-07-24T00:00,112.85,113.75,109.7,110.3,107.0121,4787189
2019-07-23T00:00,112.25,113.8,110.4,113.05,109.6802,5917386
2019-07-22T00:00,110.2,113.15,106.1,111.6,108.2734,8847930
2019-07-19T00:00,116.5,117.1,110.0,110.5,107.2062,5781987
2019-07-18T00:00,118.3,118.3,115.15,116.5,113.0273,4790366
2019-07-17T00:00,117.35,118.95,116.7,118.45,114.9192,2668561
2019-07-16T00:00,118.5,119.2,116.65,117.2,113.7065,5580677
2019-07-15T00:00,118.6,120.55,117.4,118.5,114.9677,3163649
2019-07-12T00:00,121.0,121.45,118.1,118.55,115.0162,3592892
2019-07-11T00:00,118.4,121.0,118.25,120.2,116.617,2929910
2019-07-10T00:00,118.55,119.15,117.05,118.15,114.6281,3136989
2019-07-09T00:00,118.4,119.35,117.6,118.2,114.6766,4066266
2019-07-08T00:00,121.0,121.3,116.5,118.1,114.5796,7497398
2019-07-05T00:00,127.1,127.3,122.05,122.9,119.2365,5590571
2019-07-04T00:00,127.0,127.35,124.65,126.85,123.0688,3160760
2019-07-03T00:00,127.0,127.25,124.3,126.65,122.8748,4546851
2019-07-02T00:00,126.85,126.95,125.35,126.35,122.5837,8109844
2019-07-01T00:00,122.95,126.4,122.6,126.0,122.2441,8964847
2019-06-28T00:00,121.5,124.0,120.55,121.95,118.3149,5515758
2019-06-27T00:00,119.35,121.85,118.2,121.45,117.8298,20500879
2019-06-26T00:00,119.0,120.55,117.4,118.8,115.2588,11909436
2019-06-25T00:00,119.0,120.3,115.7,119.45,115.8894,14174668
2019-06-24T00:00,126.7,127.0,120.2,121.15,117.5387,11494503
2019-06-21T00:00,128.35,128.35,124.65,126.5,122.7292,10573696
2019-06-20T00:00,125.25,128.3,123.75,127.85,124.039,8853222
2019-06-19T00:00,125.3,127.15,123.55,125.3,121.565,8914936
2019-06-18T00:00,123.95,126.65,123.3,124.4,120.6918,8763166
2019-06-17T00:00,123.25,125.65,121.6,123.0,119.3336,8105346
2019-06-14T00:00,124.8,125.4,122.7,123.25,119.5761,8650767
2019-06-13T00:00,122.35,125.9,121.9,124.8,121.0799,16710378
2019-06-12T00:00,119.05,122.9,118.8,122.35,118.7029,16093420
2019-06-11T00:00,119.95,120.7,117.3,118.3,114.7737,6875195
2019-06-10T00:00,115.75,120.0,115.35,119.05,115.5013,13373348
2019-06-07T00:00,114.1,116.05,112.35,114.55,111.1354,9085209
2019-06-06T00:00,115.5,116.35,113.7,114.1,110.6989,8838440
2019-06-04T00:00,114.0,117.95,113.0,114.85,111.4265,13969002
2019-06-03T00:00,115.3,116.8,111.65,113.75,110.3593,17204591
2019-05-31T00:00,118.8,119.55,113.55,115.35,111.9116,14287150
2019-05-30T00:00,120.05,120.2,116.7,117.9,114.3856,21557414
2019-05-29T00:00,119.9,121.2,118.05,119.8,116.229,20077715
2019-05-28T00:00,116.7,121.65,115.75,119.15,115.5983,33302880
2019-05-27T00:00,118.0,121.8,115.7,116.15,112.6878,23524587
2019-05-24T00:00,116.05,121.45,114.8,118.25,114.7252,13238668
2019-05-23T00:00,122.0,122.6,113.75,114.35,110.9414,15096675
2019-05-22T00:00,121.45,121.7,117.3,118.75,115.2103,7193580
2019-05-21T00:00,127.5,127.7,120.1,120.5,116.9081,10560254
2019-05-20T00:00,122.0,128.0,119.85,127.05,123.2628,10308433
2019-05-17T00:00,119.0,119.0,114.15,117.15,113.658,10399024
2019-05-16T00:00,119.7,122.4,115.75,118.45,114.9192,12710159
2019-05-15T00:00,122.15,123.35,115.8,117.95,114.4341,7956456
2019-05-14T00:00,120.0,123.75,119.65,121.85,118.2178,6281540
2019-05-13T00:00,127.0,127.75,121.6,122.2,118.5574,6076185
2019-05-10T00:00,130.6,131.4,127.0,127.7,123.8935,7543743
2019-05-09T00:00,129.0,131.1,128.2,129.05,125.2032,6396274
2019-05-08T00:00,130.6,132.5,129.65,130.5,126.61,6140016
2019-05-07T00:00,133.6,135.65,131.3,131.65,127.7257,7688093
2019-05-06T00:00,139.2,139.2,132.9,133.6,129.6176,12616501
2019-05-03T00:00,140.0,142.0,139.0,141.6,137.3791,6966496
2019-05-02T00:00,145.4,145.4,139.2,140.3,136.1179,9219460
2019-04-30T00:00,144.5,148.0,141.4,146.5,142.1331,5293600
2019-04-26T00:00,148.15,149.25,143.85,144.5,140.1927,5458195
2019-04-25T00:00,149.2,150.5,146.8,148.15,143.7339,3916013
2019-04-24T00:00,151.3,151.7,146.4,148.85,144.413,5164116
2019-04-23T00:00,154.0,154.45,148.8,150.1,145.6258,4699784
2019-04-22T00:00,157.25,157.25,150.05,152.6,148.0513,4085281
2019-04-18T00:00,159.75,162.9,156.2,157.15,152.4656,7772035
2019-04-16T00:00,155.7,160.75,155.0,158.2,153.4843,11067827
