Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,43.95,45.0,42.9,44.75,44.75,5620595
2019-09-12T00:00,44.6,45.55,43.6,43.8,43.8,7526883
2019-09-11T00:00,42.85,44.65,42.5,44.35,44.35,6733955
2019-09-09T00:00,43.1,44.05,42.9,43.6,42.35,6319945
2019-09-06T00:00,42.4,43.75,41.7,43.25,42.01,5658814
2019-09-05T00:00,40.95,42.6,40.85,42.1,40.893,9915856
2019-09-04T00:00,40.15,40.75,39.5,40.5,39.3389,4168056
2019-09-03T00:00,41.0,41.25,40.0,40.1,38.9503,5343159
2019-08-30T00:00,40.35,41.95,38.9,41.65,40.4559,13878926
2019-08-29T00:00,39.8,40.35,38.95,40.15,38.9989,4405129
2019-08-28T00:00,40.8,41.0,39.4,39.85,38.7075,4029756
2019-08-27T00:00,40.4,40.9,40.1,40.8,39.6303,5092468
2019-08-26T00:00,41.0,41.0,38.8,40.2,39.0475,6494053
2019-08-23T00:00,38.0,39.9,36.9,39.75,38.6104,8875520
2019-08-22T00:00,39.0,39.3,37.7,38.0,36.9105,8247526
2019-08-21T00:00,40.7,40.7,39.0,39.2,38.0761,5075256
2019-08-20T00:00,41.2,41.4,40.3,40.6,39.436,2935167
2019-08-19T00:00,41.3,41.65,40.9,41.1,39.9217,3150863
2019-08-16T00:00,41.05,41.5,40.65,41.25,40.0674,4468238
2019-08-14T00:00,41.25,42.45,39.3,41.85,40.6502,19716937
2019-08-13T00:00,43.7,43.7,42.5,42.9,41.6701,7079837
2019-08-09T00:00,44.4,44.75,43.55,43.75,42.4957,3830333
2019-08-08T00:00,43.15,43.95,42.65,43.8,42.5443,3923987
2019-08-07T00:00,44.2,44.35,43.0,43.05,41.8158,4990967
2019-08-06T00:00,42.55,44.5,42.55,44.2,42.9328,6257591
2019-08-05T00:00,43.65,43.65,42.5,43.05,41.8158,6395085
2019-08-02T00:00,44.1,44.8,43.75,43.95,42.69,5611087
2019-08-01T00:00,45.0,45.3,44.4,44.85,43.5642,6275154
2019-07-31T00:00,44.0,45.8,43.35,45.55,44.2441,7259996
2019-07-30T00:00,45.45,45.65,43.9,44.05,42.7871,6722750
2019-07-29T00:00,45.85,46.45,45.2,45.5,44.1955,6691058
2019-07-26T00:00,45.15,46.1,44.85,45.85,44.5355,4595237
2019-07-25T00:00,45.5,46.0,44.65,45.0,43.7099,8789647
2019-07-24T00:00,46.4,46.4,45.0,45.5,44.1955,8278625
2019-07-23T00:00,46.0,46.55,45.8,46.05,44.7298,5810560
2019-07-22T00:00,45.7,46.2,45.3,45.8,44.4869,7298585
2019-07-19T00:00,46.65,46.75,45.6,45.75,44.4384,6251491
2019-07-18T00:00,47.2,47.45,46.35,46.45,45.1183,5467934
2019-07-17T00:00,47.2,47.95,47.15,47.5,46.1382,4900538
2019-07-16T00:00,46.95,47.3,46.7,47.0,45.6525,5685690
2019-07-15T00:00,47.65,47.8,46.6,46.9,45.5554,6530359
