Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,84.7,86.5,83.9,86.2,86.2,4889602
2019-09-12T00:00,85.1,85.5,83.4,84.35,84.35,3724661
2019-09-11T00:00,83.0,85.15,83.0,84.45,84.45,2651115
2019-09-09T00:00,83.6,84.05,82.0,82.95,82.95,2681506
2019-09-06T00:00,81.0,84.2,80.7,83.6,83.6,3508146
2019-09-05T00:00,79.5,82.75,79.4,81.05,81.05,4345946
2019-09-04T00:00,80.1,80.5,78.6,79.6,79.6,2986873
2019-09-03T00:00,82.5,82.5,80.2,80.5,80.5,3755154
2019-08-30T00:00,80.5,83.65,79.6,83.15,83.15,5327624
2019-08-29T00:00,80.5,81.4,77.15,79.55,79.55,5232449
2019-08-28T00:00,83.8,83.8,80.4,81.0,81.0,4611787
2019-08-27T00:00,79.8,84.8,78.65,83.8,83.8,10687742
2019-08-26T00:00,81.4,82.1,77.15,79.5,79.5,7625506
2019-08-23T00:00,78.1,81.6,74.8,80.05,80.05,12564864
2019-08-22T00:00,89.4,90.25,77.8,78.7,78.7,22563884
2019-08-21T00:00,89.75,94.15,86.0,86.35,86.35,22191342
2019-08-20T00:00,101.85,102.0,89.65,90.15,90.15,18917458
2019-08-19T00:00,103.1,103.6,101.6,101.9,101.9,2507104
2019-08-16T00:00,104.7,104.7,101.6,102.85,102.85,4656428
2019-08-14T00:00,103.45,105.35,102.05,104.65,104.65,5293547
2019-08-13T00:00,102.0,104.95,100.45,101.2,101.2,4230832
2019-08-09T00:00,102.45,103.1,101.0,101.85,101.85,2306358
2019-08-08T00:00,102.0,102.65,100.2,101.95,101.95,2542198
2019-08-07T00:00,104.6,104.6,101.0,101.6,101.6,3217562
2019-08-06T00:00,100.25,105.35,99.0,104.7,104.7,2590719
2019-08-05T00:00,104.8,104.8,101.4,101.85,101.85,3543331
2019-08-02T00:00,107.95,108.2,104.05,105.5,105.5,3737984
2019-08-01T00:00,108.4,110.6,107.5,108.65,108.65,4160673
2019-07-31T00:00,107.0,109.85,106.3,108.7,108.7,2941820
2019-07-30T00:00,109.55,111.2,106.9,107.3,107.3,5134922
2019-07-29T00:00,111.95,111.95,108.55,109.45,109.45,2865793
2019-07-26T00:00,108.3,112.0,107.75,111.25,111.25,2671873
2019-07-25T00:00,111.6,112.5,107.7,108.45,108.45,3908566
2019-07-24T00:00,114.9,114.9,111.25,111.65,111.65,2823902
2019-07-23T00:00,113.7,115.1,111.8,114.4,114.4,2265753
2019-07-22T00:00,115.3,115.35,111.5,113.55,113.55,2215508
