Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,64.55,65.2,62.8,64.9,64.9,21371659
2019-09-12T00:00,64.55,65.5,64.25,64.55,64.55,21906337
2019-09-11T00:00,62.6,65.0,62.6,64.85,64.85,24414845
2019-09-09T00:00,61.3,62.85,60.65,62.6,62.6,21700960
2019-09-06T00:00,61.35,61.6,60.8,61.3,61.3,19597727
2019-09-05T00:00,61.65,61.9,60.5,61.1,61.1,30641680
2019-09-04T00:00,59.9,60.35,58.7,59.9,59.9,34213414
2019-09-03T00:00,62.0,62.4,59.05,59.4,59.4,68369998
2019-08-30T00:00,65.25,65.9,63.35,64.9,64.9,25573307
2019-08-29T00:00,65.55,66.15,63.75,65.05,65.05,14663681
2019-08-28T00:00,67.3,67.95,64.9,65.65,65.65,17166214
2019-08-27T00:00,66.8,68.2,66.3,67.15,67.15,22567673
2019-08-26T00:00,68.0,68.0,63.4,65.75,65.75,31694402
2019-08-23T00:00,61.5,64.0,60.95,63.6,63.6,20845415
2019-08-22T00:00,64.1,64.3,61.1,61.45,61.45,18829140
2019-08-21T00:00,65.75,66.4,63.25,64.05,64.05,19166301
2019-08-20T00:00,67.5,67.75,64.6,65.6,65.6,17727108
2019-08-19T00:00,67.95,69.1,66.9,67.3,67.3,20209221
2019-08-16T00:00,65.55,68.45,64.95,68.1,68.1,25110812
2019-08-14T00:00,65.9,66.35,64.9,65.55,65.55,18151481
2019-08-13T00:00,66.7,67.55,65.05,65.35,65.35,17405138
2019-08-09T00:00,66.75,67.55,65.55,66.55,66.55,21976833
2019-08-08T00:00,64.6,66.9,64.2,66.65,66.65,27336537
2019-08-07T00:00,68.25,68.7,63.55,64.05,64.05,40538912
2019-08-06T00:00,66.7,68.35,66.1,67.95,67.95,26632468
2019-08-05T00:00,67.0,68.25,64.4,66.6,66.6,32274653
2019-08-02T00:00,67.5,68.9,66.7,67.65,67.65,29730137
2019-08-01T00:00,69.0,69.2,66.4,67.5,67.5,21663053
2019-07-31T00:00,67.0,69.5,66.6,69.2,69.2,27462579
2019-07-30T00:00,69.2,69.65,66.3,66.9,66.9,27726952
2019-07-29T00:00,68.85,70.3,67.65,69.3,69.3,37353477
2019-07-26T00:00,66.5,69.65,65.95,68.0,68.0,58777562
2019-07-25T00:00,68.4,69.0,65.6,66.05,66.05,25800387
2019-07-24T00:00,68.4,69.8,67.75,68.2,68.2,25494368
2019-07-23T00:00,72.8,73.0,68.0,68.4,68.4,35441004
2019-07-22T00:00,72.7,73.55,71.45,72.5,72.5,16500579
2019-07-19T00:00,73.55,73.8,72.3,72.8,72.8,16487819
2019-07-18T00:00,75.35,75.75,72.45,73.2,73.2,19957328
2019-07-17T00:00,75.8,76.15,74.4,75.35,75.35,18013838
2019-07-16T00:00,73.9,76.15,73.6,75.75,75.75,17846669
2019-07-15T00:00,75.0,75.25,72.7,73.45,73.45,21449333
2019-07-12T00:00,74.6,75.9,73.6,75.4,75.4,22566078
2019-07-11T00:00,73.05,74.85,72.75,74.55,74.55,20781285
2019-07-10T00:00,74.8,74.9,72.0,72.75,72.75,24105866
2019-07-09T00:00,71.8,74.65,71.0,74.35,74.35,43627267
