Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,40.3,40.8,38.5,40.15,40.15,15485721
2019-09-12T00:00,40.6,42.3,39.7,40.05,40.05,18922820
2019-09-11T00:00,38.4,41.5,38.1,40.5,40.5,21615403
2019-09-09T00:00,37.8,39.95,37.3,38.7,38.7,15286022
2019-09-06T00:00,37.5,38.15,36.55,37.7,37.7,15396193
2019-09-05T00:00,36.1,38.05,34.8,37.35,37.35,24897496
2019-09-04T00:00,36.3,37.4,35.4,35.9,35.9,16358663
2019-09-03T00:00,37.0,39.4,36.0,36.35,36.35,20521730
2019-08-30T00:00,36.65,39.4,35.7,38.85,38.85,26696385
2019-08-29T00:00,37.15,38.05,34.9,36.3,36.3,18217908
2019-08-28T00:00,40.15,41.2,37.35,38.3,38.3,18797832
2019-08-27T00:00,41.9,42.45,39.35,40.15,40.15,32169097
2019-08-26T00:00,38.4,44.35,36.35,42.75,42.75,45228096
2019-08-23T00:00,35.9,38.95,33.05,37.75,37.75,31069750
2019-08-22T00:00,42.2,42.9,34.35,36.7,36.7,26781604
2019-08-21T00:00,43.0,43.65,41.05,42.0,42.0,21377146
2019-08-20T00:00,43.75,44.45,41.75,42.55,42.55,24162866
2019-08-19T00:00,46.5,47.45,43.2,44.3,44.3,25689217
2019-08-16T00:00,48.7,50.3,45.3,46.3,46.3,30149698
2019-08-14T00:00,46.8,51.0,46.45,49.4,49.4,41108903
2019-08-13T00:00,47.7,48.5,44.35,45.05,45.05,20379086
2019-08-09T00:00,48.0,49.65,46.15,47.45,47.45,20980560
2019-08-08T00:00,50.95,51.1,44.0,46.5,46.5,33311475
2019-08-07T00:00,50.95,53.7,50.0,50.65,50.65,24124038
2019-08-06T00:00,48.0,51.0,47.8,50.25,50.25,19676689
2019-08-05T00:00,49.0,50.9,47.65,48.5,48.5,24498203
2019-08-02T00:00,48.15,51.3,47.15,50.05,50.05,30091081
2019-08-01T00:00,47.0,52.8,46.7,50.1,50.1,48356350
2019-07-31T00:00,43.0,48.9,42.85,47.15,47.15,26708681
2019-07-30T00:00,47.05,47.95,42.15,42.85,42.85,22137558
2019-07-29T00:00,50.5,50.55,44.35,46.4,46.4,32991421
2019-07-26T00:00,47.3,51.4,46.9,50.5,50.5,36322166
2019-07-25T00:00,45.0,50.95,44.3,47.15,47.15,51118467
2019-07-24T00:00,44.9,48.4,43.45,44.75,44.75,28664499
2019-07-23T00:00,43.3,46.95,43.3,44.45,44.45,27237483
