Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,0.0,60.0,57.3,59.65,59.65,6913637
2019-09-12T00:00,62.5,62.5,58.1,58.7,58.7,7411982
2019-09-11T00:00,56.5,61.9,56.5,61.45,61.45,12821902
2019-09-09T00:00,54.1,55.95,53.0,55.7,55.7,5498806
2019-09-06T00:00,53.35,55.5,52.3,55.0,55.0,5976948
2019-09-05T00:00,50.45,53.65,50.1,53.35,53.35,9969732
2019-09-04T00:00,51.0,51.5,48.3,49.95,49.95,6772039
2019-09-03T00:00,51.75,52.6,50.8,51.1,51.1,4433368
2019-08-30T00:00,53.1,53.85,51.2,53.5,53.5,5061309
2019-08-29T00:00,53.0,53.9,51.15,52.85,52.85,6089043
2019-08-28T00:00,56.15,57.75,53.1,53.65,53.65,7501502
2019-08-27T00:00,52.25,56.6,52.25,55.85,55.85,10432517
2019-08-26T00:00,54.75,54.75,50.3,52.2,52.2,6016082
2019-08-23T00:00,51.9,52.6,50.5,52.3,52.3,8162801
2019-08-22T00:00,52.5,53.1,50.2,50.85,50.85,8755426
2019-08-21T00:00,57.45,57.45,52.1,52.7,52.7,12321291
2019-08-20T00:00,56.45,57.8,56.0,57.45,57.45,6281178
2019-08-19T00:00,57.0,57.4,55.9,56.75,56.75,4436144
2019-08-16T00:00,56.9,57.25,55.1,56.5,56.5,9903480
2019-08-14T00:00,57.95,58.7,55.9,57.35,57.35,4332778
2019-08-13T00:00,59.2,60.35,57.35,57.7,57.7,5362144
2019-08-09T00:00,59.0,60.4,57.4,58.2,58.2,4484064
2019-08-08T00:00,55.65,59.4,55.5,58.75,58.75,5367071
2019-08-07T00:00,58.5,58.95,55.0,55.65,55.65,7687109
2019-08-06T00:00,58.0,60.05,57.35,58.2,58.2,8170704
2019-08-05T00:00,61.4,61.4,58.2,58.75,58.75,8597787
2019-08-02T00:00,60.8,63.85,60.55,62.25,62.25,9630083
2019-08-01T00:00,64.95,65.45,61.4,62.75,62.75,4795330
2019-07-31T00:00,64.4,66.05,64.0,65.15,65.15,2987910
2019-07-30T00:00,66.9,68.05,64.3,64.6,64.6,4452709
