Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,64.25,64.75,62.5,64.3,64.3,10916346
2019-09-12T00:00,62.0,65.1,61.65,63.9,63.9,33622565
2019-09-11T00:00,59.0,61.7,59.0,61.2,61.2,9565117
2019-09-09T00:00,58.9,61.75,57.75,60.4,60.4,13876046
2019-09-06T00:00,56.0,59.25,55.2,58.2,58.2,10295942
2019-09-05T00:00,54.1,55.7,53.9,55.3,55.3,5761504
2019-09-04T00:00,53.9,54.6,53.0,54.1,54.1,7314423
2019-09-03T00:00,55.1,56.15,53.7,53.85,53.85,7278914
2019-08-30T00:00,55.5,57.0,55.0,56.75,56.75,8245510
2019-08-29T00:00,54.85,55.95,54.4,55.5,55.5,7509337
2019-08-28T00:00,55.4,55.85,53.75,55.45,55.45,7447749
2019-08-27T00:00,56.1,56.7,55.1,55.35,55.35,11904371
2019-08-26T00:00,54.85,56.45,53.85,55.95,55.95,7338648
2019-08-23T00:00,53.45,55.8,52.2,54.5,54.5,11745308
2019-08-22T00:00,51.4,55.75,50.95,53.4,53.4,20698816
2019-08-21T00:00,56.0,56.0,50.35,51.1,51.1,20675582
2019-08-20T00:00,57.25,57.45,54.05,56.0,56.0,8336718
2019-08-19T00:00,56.15,58.1,56.15,57.25,57.25,5798705
2019-08-16T00:00,55.6,56.35,54.05,56.1,56.1,5629413
2019-08-14T00:00,56.3,56.4,54.7,55.5,55.5,7587853
2019-08-13T00:00,58.0,58.0,55.4,55.75,55.75,9698903
2019-08-09T00:00,58.2,59.7,56.75,57.5,57.5,12338857
2019-08-08T00:00,59.2,59.45,57.15,57.75,57.75,16880937
2019-08-07T00:00,59.4,60.2,58.65,59.05,59.05,5497938
2019-08-06T00:00,58.05,59.95,58.05,59.3,59.3,5274512
2019-08-05T00:00,58.5,58.95,57.35,57.9,57.9,4471359
2019-08-02T00:00,58.9,60.45,57.75,59.15,59.15,9264426
2019-08-01T00:00,60.3,60.85,58.5,59.75,59.75,6467008
2019-07-31T00:00,58.9,60.8,57.85,60.55,60.55,8823980
2019-07-30T00:00,61.95,61.95,58.4,58.9,58.9,8542201
2019-07-29T00:00,62.35,63.25,61.15,61.4,61.4,8028637
2019-07-26T00:00,61.3,63.15,60.95,62.3,62.3,5026025
2019-07-25T00:00,64.0,64.3,61.25,61.55,61.55,10579797
2019-07-24T00:00,66.4,66.6,63.0,63.85,63.85,12131637
2019-07-23T00:00,67.2,67.95,66.05,66.25,66.25,4302826
2019-07-22T00:00,66.7,67.3,65.5,67.1,67.1,3031714
2019-07-19T00:00,66.35,67.3,65.2,66.55,66.55,6236877
2019-07-18T00:00,69.65,70.0,66.1,66.35,66.35,6841872
2019-07-17T00:00,68.1,69.7,68.0,69.05,69.05,5283091
2019-07-16T00:00,68.6,69.4,67.55,67.95,67.95,4176351
2019-07-15T00:00,68.55,69.15,67.0,68.55,68.55,5917414
2019-07-12T00:00,67.65,69.05,67.2,68.15,68.15,5451127
2019-07-11T00:00,67.0,67.75,66.65,67.4,67.4,3017441
2019-07-10T00:00,68.95,69.1,66.1,66.35,66.35,6342661
2019-07-09T00:00,68.2,69.05,67.85,68.5,68.5,4835452
2019-07-08T00:00,70.2,70.4,67.35,68.6,68.6,5025170
2019-07-05T00:00,72.15,72.5,70.2,70.6,70.6,4542388
2019-07-04T00:00,73.5,74.05,71.8,72.15,72.15,4570483
2019-07-03T00:00,73.4,74.15,71.5,73.85,73.85,13757355
2019-07-02T00:00,71.05,73.4,70.15,73.1,73.1,20164926
2019-07-01T00:00,69.35,71.0,68.15,70.7,70.7,6683580
2019-06-28T00:00,68.85,70.2,68.1,69.0,69.0,6407062
2019-06-27T00:00,68.55,69.3,68.35,68.65,68.65,3985838
2019-06-26T00:00,67.0,69.5,66.7,68.55,68.55,7878180
2019-06-25T00:00,65.0,67.55,64.75,66.3,66.3,8164192
2019-06-24T00:00,65.0,65.7,64.5,65.05,65.05,3456625
2019-06-21T00:00,64.6,65.5,64.1,65.25,65.25,7069181
2019-06-20T00:00,63.5,64.85,63.0,64.6,64.6,3388105
2019-06-19T00:00,65.2,65.35,63.2,63.5,63.5,6911446
2019-06-18T00:00,64.25,65.1,63.9,64.3,64.3,2523540
2019-06-17T00:00,65.55,65.55,63.6,64.5,64.5,6489309
2019-06-14T00:00,66.0,66.95,64.9,65.15,65.15,7474667
2019-06-13T00:00,66.1,66.35,65.1,65.85,65.85,10026686
2019-06-12T00:00,66.55,67.75,65.85,66.25,66.25,4196963
2019-06-11T00:00,66.5,67.2,66.05,66.35,66.35,2979053
2019-06-10T00:00,66.65,67.3,65.95,66.55,66.55,4586585
2019-06-07T00:00,65.0,66.6,64.05,66.3,66.3,4984037
2019-06-06T00:00,66.75,66.95,64.65,65.1,65.1,4982307
2019-06-04T00:00,67.5,68.0,66.45,66.7,65.4,4864404
2019-06-03T00:00,69.0,69.25,67.75,68.35,65.7432,4792922
2019-05-31T00:00,70.5,70.6,68.0,68.8,66.176,7040284
2019-05-30T00:00,68.0,71.0,67.8,70.5,67.8112,4710748
2019-05-29T00:00,70.5,70.7,68.2,68.65,66.0317,4104774
2019-05-28T00:00,71.45,71.45,69.95,70.55,67.8593,10842080
2019-05-27T00:00,67.5,71.0,67.1,70.8,68.0997,7770706
2019-05-24T00:00,65.0,68.0,64.8,67.7,65.118,7448138
2019-05-23T00:00,66.0,67.5,64.3,64.6,62.1362,8012364
2019-05-22T00:00,64.5,65.05,64.1,64.8,62.3286,10055230
2019-05-21T00:00,66.35,66.35,63.6,64.4,61.9438,5274759
2019-05-20T00:00,63.4,67.9,63.25,65.75,63.2423,12597503
2019-05-17T00:00,61.4,61.85,60.85,61.4,59.0583,3714715
2019-05-16T00:00,61.6,61.9,60.85,61.35,59.0102,4252067
2019-05-15T00:00,63.4,63.6,61.0,61.35,59.0102,3881241
