Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,281.8,282.55,277.9,280.3,280.3,845366
2019-09-12T00:00,280.2,285.95,279.5,280.8,280.8,678897
2019-09-11T00:00,279.45,285.35,277.35,279.1,279.1,1272289
2019-09-09T00:00,273.4,279.6,271.65,278.1,278.1,564880
2019-09-06T00:00,273.45,276.0,272.9,273.9,273.9,573732
2019-09-05T00:00,271.95,276.5,270.2,272.2,272.2,592445
2019-09-04T00:00,272.2,273.8,269.6,270.6,270.6,378915
2019-09-03T00:00,277.0,278.15,271.25,273.25,273.25,436862
2019-08-30T00:00,277.2,281.9,275.35,278.0,278.0,802298
2019-08-29T00:00,280.75,281.0,276.0,276.95,276.95,902248
2019-08-28T00:00,284.0,288.0,278.1,280.85,280.85,912918
2019-08-27T00:00,290.25,291.8,282.2,283.35,283.35,882564
2019-08-26T00:00,286.0,289.8,282.2,288.8,288.8,515528
2019-08-23T00:00,282.0,287.45,282.0,283.9,283.9,722222
2019-08-22T00:00,281.85,287.85,279.85,281.95,281.95,1162968
2019-08-21T00:00,291.6,292.5,280.65,281.8,281.8,1362363
2019-08-20T00:00,286.75,292.2,286.75,290.4,290.4,859692
2019-08-19T00:00,290.0,295.0,285.05,285.95,285.95,1023508
2019-08-16T00:00,284.0,292.4,283.95,288.9,288.9,1262756
2019-08-14T00:00,286.05,294.6,283.45,285.05,285.05,1282492
2019-08-13T00:00,288.0,296.0,282.0,285.1,285.1,1518073
2019-08-09T00:00,292.9,296.7,286.0,288.8,288.8,769333
2019-08-08T00:00,296.5,297.15,286.9,292.7,292.7,740296
2019-08-07T00:00,297.75,302.0,293.4,294.65,294.65,1031208
2019-08-06T00:00,287.75,304.8,284.3,295.95,295.95,5453552
2019-08-05T00:00,298.0,298.0,279.55,284.0,284.0,3300719
2019-08-02T00:00,301.0,303.95,297.25,299.3,299.3,696180
2019-08-01T00:00,304.45,305.8,299.15,303.75,303.75,522164
2019-07-31T00:00,294.5,306.5,292.0,305.3,305.3,535641
2019-07-30T00:00,306.85,308.25,295.6,299.1,299.1,888454
2019-07-29T00:00,305.8,309.25,301.55,306.7,306.7,596610
2019-07-26T00:00,298.5,306.0,298.1,304.3,304.3,694162
2019-07-25T00:00,307.6,308.75,297.65,300.65,300.65,1131486
2019-07-24T00:00,308.0,310.9,302.4,306.85,306.85,1367074
2019-07-23T00:00,308.7,311.2,306.1,308.45,308.45,892355
2019-07-22T00:00,305.3,311.05,302.1,308.75,308.75,924240
2019-07-19T00:00,303.8,306.95,301.2,305.3,305.3,1116882
2019-07-18T00:00,312.5,312.5,303.6,304.3,304.3,1206963
2019-07-17T00:00,312.5,312.75,307.25,310.55,310.55,904488
2019-07-16T00:00,307.0,313.7,305.0,311.0,311.0,993540
2019-07-15T00:00,307.35,311.85,302.1,309.25,309.25,1556349
2019-07-12T00:00,306.05,309.0,304.65,307.65,307.65,3784418
2019-07-11T00:00,297.65,307.5,295.6,304.85,304.85,5422019
2019-07-10T00:00,299.1,303.7,292.55,296.15,296.15,1224965
2019-07-09T00:00,294.0,300.7,291.4,299.15,299.15,1358745
2019-07-08T00:00,293.0,301.7,291.75,294.3,294.3,2145725
2019-07-05T00:00,302.7,305.95,294.6,296.2,296.2,2087541
2019-07-04T00:00,308.2,313.0,302.0,303.7,303.7,2495658
2019-07-03T00:00,301.0,310.2,298.65,308.55,308.55,4139834
2019-07-02T00:00,291.0,303.45,286.8,301.15,301.15,3805486
2019-07-01T00:00,283.1,292.8,282.0,290.65,290.65,3361232
2019-06-28T00:00,286.3,288.0,280.1,281.3,281.3,1241279
2019-06-27T00:00,280.25,289.7,278.8,286.25,286.25,2819901
2019-06-26T00:00,269.0,286.85,267.3,283.3,283.3,5098413
2019-06-25T00:00,244.0,274.2,244.0,271.7,271.7,7730501
2019-06-24T00:00,245.0,245.2,241.55,242.1,242.1,541854
2019-06-21T00:00,244.9,245.8,241.8,244.5,244.5,457013
2019-06-20T00:00,243.4,245.95,239.7,244.9,244.9,582689
2019-06-19T00:00,245.05,247.5,243.15,244.75,244.75,363937
2019-06-18T00:00,245.7,247.5,244.2,245.4,245.4,447024
2019-06-17T00:00,246.5,247.3,243.6,245.0,245.0,551799
2019-06-14T00:00,250.5,251.6,243.2,245.3,245.3,1077296
