Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,59.25,59.75,56.35,59.35,59.35,13265939
2019-09-12T00:00,60.0,60.3,58.65,59.15,59.15,9794060
2019-09-11T00:00,56.45,59.95,56.3,59.7,59.7,10448953
2019-09-09T00:00,55.3,56.8,54.4,56.3,56.3,8513587
2019-09-06T00:00,54.8,55.9,54.2,55.1,55.1,8495003
2019-09-05T00:00,54.0,54.85,53.15,54.55,54.55,10457052
2019-09-04T00:00,53.3,54.75,52.4,53.7,53.7,13706474
2019-09-03T00:00,59.75,59.75,51.8,53.6,53.6,20506863
2019-08-30T00:00,60.0,60.4,57.6,58.85,58.85,14455985
2019-08-29T00:00,59.9,60.7,58.5,59.65,59.65,6468842
2019-08-28T00:00,62.9,63.45,59.8,60.3,60.3,9706964
2019-08-27T00:00,62.3,64.85,61.55,62.65,62.65,19468560
2019-08-26T00:00,62.0,62.8,59.3,61.45,61.45,10644199
2019-08-23T00:00,58.0,59.95,57.6,59.4,59.4,8302965
2019-08-22T00:00,60.1,60.75,58.0,58.55,58.55,7526923
2019-08-21T00:00,61.5,62.25,59.5,60.25,60.25,8620741
2019-08-20T00:00,64.3,64.45,61.35,61.75,61.75,9159600
2019-08-19T00:00,65.15,65.25,63.5,64.15,64.15,6658503
2019-08-16T00:00,63.0,65.1,62.25,64.35,64.35,8615614
2019-08-14T00:00,63.25,64.3,62.7,63.15,63.15,7329705
2019-08-13T00:00,64.55,65.5,62.6,62.95,62.95,6934344
2019-08-09T00:00,64.75,65.85,63.75,64.75,64.75,8938472
2019-08-08T00:00,63.55,64.9,61.8,64.35,64.35,14868207
2019-08-07T00:00,65.5,66.7,63.0,63.55,63.55,11784798
2019-08-06T00:00,64.5,66.65,64.0,65.55,65.55,9534242
2019-08-05T00:00,63.7,65.9,61.9,64.95,64.95,14495829
2019-08-02T00:00,65.1,66.25,63.6,64.7,64.7,10827678
2019-08-01T00:00,67.5,67.75,64.7,65.6,65.6,9233059
2019-07-31T00:00,67.0,68.25,66.25,67.6,67.6,7503701
2019-07-30T00:00,70.7,70.9,66.65,67.0,67.0,9757170
2019-07-29T00:00,70.15,71.7,68.7,70.4,70.4,9238304
2019-07-26T00:00,70.0,73.5,69.5,70.15,70.15,11517415
2019-07-25T00:00,70.95,71.6,69.4,69.9,69.9,7779410
2019-07-24T00:00,72.5,72.9,70.05,70.65,70.65,8206191
2019-07-23T00:00,75.0,75.5,71.8,72.4,72.4,8461147
2019-07-22T00:00,74.0,75.25,73.05,74.65,74.65,8868318
2019-07-19T00:00,75.3,75.9,73.2,73.9,73.9,6134692
2019-07-18T00:00,77.5,78.05,74.4,74.95,74.95,8506491
2019-07-17T00:00,77.45,78.6,76.1,77.4,77.4,8344571
2019-07-16T00:00,74.6,77.8,74.5,77.55,77.55,7752075
2019-07-15T00:00,78.65,78.75,74.1,74.7,74.7,10650978
2019-07-12T00:00,78.05,79.4,77.4,78.55,78.55,6753009
2019-07-11T00:00,77.5,78.8,76.5,78.45,78.45,7144574
2019-07-10T00:00,79.4,79.4,76.35,77.05,77.05,9697661
2019-07-09T00:00,76.95,78.5,76.1,78.15,78.15,8843265
2019-07-08T00:00,83.5,83.75,76.65,77.05,77.05,14518857
2019-07-05T00:00,85.2,86.15,83.35,84.1,84.1,15217156
2019-07-04T00:00,84.35,86.6,84.1,84.85,84.85,14709092
2019-07-03T00:00,82.65,84.35,82.15,83.75,83.75,7703994
2019-07-02T00:00,84.0,84.2,81.65,82.6,82.6,11001361
