Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,0.0,367.25,335.3,350.5,350.5,2784749
2019-09-12T00:00,354.75,358.95,335.3,346.4,346.4,4778261
2019-09-11T00:00,366.4,367.25,352.5,354.45,354.45,4379279
2019-09-09T00:00,360.1,367.4,356.8,362.95,362.95,2156163
2019-09-06T00:00,361.75,366.8,358.65,361.25,361.25,2378166
2019-09-05T00:00,356.5,363.3,354.3,360.8,360.8,2699787
2019-09-04T00:00,362.0,366.0,348.35,355.5,355.5,4848241
2019-09-03T00:00,367.65,369.95,358.7,361.0,361.0,2968075
2019-08-30T00:00,363.6,376.0,362.25,373.1,373.1,4850836
2019-08-29T00:00,364.2,367.0,358.2,362.1,362.1,3030633
2019-08-28T00:00,362.0,369.95,360.8,364.2,364.2,4279391
2019-08-27T00:00,361.0,367.6,361.0,363.75,363.75,4847123
2019-08-26T00:00,352.0,369.8,346.2,364.9,364.9,7275260
2019-08-23T00:00,330.0,354.3,326.55,351.15,351.15,8092013
2019-08-22T00:00,342.15,343.9,323.2,328.95,328.95,5478339
2019-08-21T00:00,350.0,351.75,342.55,344.2,344.2,4703700
2019-08-20T00:00,349.5,354.85,346.55,350.85,350.85,5975057
2019-08-19T00:00,345.55,351.85,342.65,348.05,348.05,6986559
2019-08-16T00:00,343.7,347.8,336.3,346.6,346.6,5719534
2019-08-14T00:00,331.15,346.9,331.15,341.6,341.6,8277699
2019-08-13T00:00,328.7,337.5,325.8,327.3,327.3,8077371
2019-08-09T00:00,333.0,338.8,324.3,328.1,328.1,8625986
2019-08-08T00:00,322.0,334.8,320.2,331.45,331.45,9559063
2019-08-07T00:00,313.05,340.75,313.05,327.9,327.9,21918018
2019-08-06T00:00,328.0,330.0,304.7,312.45,312.45,19901832
2019-08-05T00:00,340.45,341.5,325.25,330.95,330.95,9700604
2019-08-02T00:00,346.0,353.1,340.0,341.5,341.5,9741289
2019-08-01T00:00,357.0,361.0,335.6,346.85,346.85,18541033
2019-07-31T00:00,382.5,391.9,357.45,361.6,361.6,14884681
2019-07-30T00:00,387.45,392.35,379.0,381.1,381.1,5335270
2019-07-29T00:00,401.45,402.55,384.15,387.15,387.15,6958407
2019-07-26T00:00,392.1,405.2,389.4,403.9,403.9,14751785
2019-07-25T00:00,376.3,394.65,375.45,391.95,391.95,18014267
2019-07-24T00:00,364.4,383.5,358.45,379.6,379.6,20283703
2019-07-23T00:00,363.55,367.2,354.5,360.8,360.8,7846302
2019-07-22T00:00,350.0,367.25,348.3,364.05,364.05,9232951
2019-07-19T00:00,361.0,363.35,343.8,352.95,352.95,9466701
